mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
prob_mean,121,0.34207644758824973,0.4664849104033564,0.40428067899580306,1049,197,1246,267
logit_mean,121,0.3413108076564393,0.46511864197804265,0.40321472481724097,1061,191,1252,267
hysteresis,1.0,0.3452650273522522,0.45943902593603547,0.4023520266441438,924,279,1203,267
label_majority,121,0.3367920257665654,0.4603359830890528,0.39856400442780915,1086,207,1293,267
logit_mean,61,0.3299547397035739,0.44669602926689383,0.3883253844852339,1754,347,2101,267
prob_mean,61,0.3293920159735999,0.44667862938449243,0.38803532267904617,1723,343,2066,267
label_majority,61,0.32682243732661964,0.43946974706485364,0.38314609219573664,1739,343,2082,267
hysteresis,0.5,0.3285546392029077,0.42636513711922963,0.3774598881610687,2035,566,2601,267
prob_mean,31,0.32571805552581157,0.4285401218386557,0.3771290886822336,2698,539,3237,267
logit_mean,31,0.3259455477023311,0.42829796946320753,0.3771217585827693,2723,542,3265,267
label_majority,31,0.32361672672812203,0.42324097232384794,0.373428849525985,2722,533,3255,267
logit_ema,0.15,0.3240187214516144,0.4208237759583052,0.37242124870495985,3850,799,4649,267
prob_mean,15,0.32358683108931796,0.420513712643495,0.3720502718664065,3821,758,4579,267
logit_mean,15,0.3235520384683347,0.4205180560830944,0.37203504727571457,3844,761,4605,267
logit_ema,0.25,0.32343680905925387,0.4184070447983921,0.370921926928823,4569,1010,5579,267
prob_mean,9,0.3232230238447287,0.41779917677706435,0.3705111003108965,4485,940,5425,267
logit_mean,9,0.3231420948469701,0.4178799436809242,0.37051101926394714,4508,943,5451,267
hysteresis,0.25,0.3236645357325756,0.417153764026968,0.3704091498797718,3172,849,4021,267
label_majority,15,0.3228011445188759,0.41723764050696793,0.37001939251292193,3773,778,4551,267
logit_ema,0.4,0.32294393817545736,0.4169745384787532,0.3699592383271053,5251,1275,6526,267
prob_mean,5,0.32282751512796365,0.41671147862385743,0.36976949687591054,5128,1164,6292,267
logit_mean,5,0.32273481968383166,0.41679772977167456,0.36976627472775314,5140,1165,6305,267
label_majority,9,0.32288014369071893,0.4163823217731706,0.36963123273194476,4457,920,5377,267
prob_mean,3,0.32258573322902506,0.416158020636481,0.36937187693275303,5701,1408,7109,267
logit_mean,3,0.3225802271416031,0.41604192736321427,0.3693110772524087,5716,1411,7127,267
label_majority,5,0.3225945639408243,0.41587786856742337,0.36923621625412384,5101,1169,6270,267
logit_ema,0.6,0.32250680969970563,0.41594188384990166,0.36922434677480365,5909,1531,7440,267
label_majority,3,0.32245450626978944,0.41542282350141635,0.3689386648856029,5736,1397,7133,267
baseline,none,0.3223310305886096,0.4144815579904786,0.3684062942895441,7095,2157,9252,267
