domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,42061,0.9131023988968403,0.8101335245849769,0.8585416014664461,38406,3655,9001
CR,baseline,none,task,1,4384,151,0.059602649006622516,0.002052919708029197,0.003969128996692392,9,142,4375
CR,baseline,none,task,2,1298,13545,0.09531192321889996,0.9946070878274268,0.17395405241527992,1291,12254,7
CR,baseline,none,task,3,12257,9589,0.7812076337470018,0.6111609692420658,0.6858006042296073,7491,2098,4766
CR,baseline,none,social,0,954,6848,0.08820093457943926,0.6331236897274634,0.15483209433478598,604,6244,350
CR,baseline,none,social,1,3077,3450,0.7855072463768116,0.880727981800455,0.830396813237322,2710,740,367
CR,baseline,none,social,2,11812,6997,0.9819922824067457,0.5816965797494074,0.7306076878090275,6871,126,4941
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,3,task,0,47407,42135,0.9132312804082117,0.8116733815681229,0.8594625985571017,38479,3656,8928
CR,logit_mean,3,task,1,4384,148,0.07432432432432433,0.002509124087591241,0.0048543689320388345,11,137,4373
CR,logit_mean,3,task,2,1298,13460,0.0961367013372957,0.9969183359013868,0.1753625152459683,1294,12166,4
CR,logit_mean,3,task,3,12257,9603,0.7814224721441216,0.6122215876641919,0.6865507776761207,7504,2099,4753
CR,logit_mean,3,social,0,954,6839,0.08875566603304577,0.6362683438155137,0.15578082894905687,607,6232,347
CR,logit_mean,3,social,1,3077,3450,0.787536231884058,0.8830029249268768,0.8325417496552782,2717,733,360
CR,logit_mean,3,social,2,11812,7006,0.9818726805595204,0.5823738570944802,0.7311085131257306,6879,127,4933
CR,logit_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,3,task,0,47407,42138,0.913237457876501,0.8117366633619507,0.85950080964878,38482,3656,8925
CR,prob_mean,3,task,1,4384,148,0.07432432432432433,0.002509124087591241,0.0048543689320388345,11,137,4373
CR,prob_mean,3,task,2,1298,13460,0.0961367013372957,0.9969183359013868,0.1753625152459683,1294,12166,4
CR,prob_mean,3,task,3,12257,9600,0.781875,0.6123847597291344,0.6868280184837809,7506,2094,4751
CR,prob_mean,3,social,0,954,6837,0.08878162936960655,0.6362683438155137,0.1558208188935952,607,6230,347
CR,prob_mean,3,social,1,3077,3450,0.787536231884058,0.8830029249268768,0.8325417496552782,2717,733,360
CR,prob_mean,3,social,2,11812,7008,0.9818778538812786,0.5825431764307484,0.7312433581296494,6881,127,4931
CR,prob_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,3,task,0,47407,42097,0.9128679003254389,0.8106186850043242,0.8587102252413299,38429,3668,8978
CR,label_majority,3,task,1,4384,149,0.053691275167785234,0.0018248175182481751,0.003529671299360247,8,141,4376
CR,label_majority,3,task,2,1298,13507,0.09572814096394462,0.9961479198767335,0.1746707193515704,1293,12214,5
CR,label_majority,3,task,3,12257,9593,0.7818200771395809,0.6118952435343069,0.6864988558352403,7500,2093,4757
CR,label_majority,3,social,0,954,6829,0.08859276614438424,0.6341719077568134,0.15546704355646923,605,6224,349
CR,label_majority,3,social,1,3077,3458,0.7862926547137074,0.8836529086772831,0.8321346595256311,2719,739,358
CR,label_majority,3,social,2,11812,7008,0.9818778538812786,0.5825431764307484,0.7312433581296494,6881,127,4931
CR,label_majority,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,3,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,5,task,0,47407,42152,0.9134086164357563,0.8121585419874702,0.8598130841121495,38502,3650,8905
CR,logit_mean,5,task,1,4384,143,0.07692307692307693,0.002509124087591241,0.0048597305058537665,11,132,4373
CR,logit_mean,5,task,2,1298,13464,0.09618241235888295,0.99768875192604,0.17545048096463892,1295,12169,3
CR,logit_mean,5,task,3,12257,9587,0.7831438406175029,0.6125479317940768,0.6874198864676798,7508,2079,4749
CR,logit_mean,5,social,0,954,6834,0.08882060286801288,0.6362683438155137,0.1558808423215203,607,6227,347
CR,logit_mean,5,social,1,3077,3454,0.7880718008106543,0.8846278843028924,0.8335630071964477,2722,732,355
CR,logit_mean,5,social,2,11812,7007,0.9824461253032681,0.5827971554351506,0.731601041500611,6884,123,4928
CR,logit_mean,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,5,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,5,task,0,47407,42151,0.9134065621218951,0.8121374480561943,0.859800352843967,38501,3650,8906
CR,prob_mean,5,task,1,4384,144,0.0763888888888889,0.002509124087591241,0.004858657243816254,11,133,4373
CR,prob_mean,5,task,2,1298,13472,0.09612529691211401,0.99768875192604,0.1753554502369668,1295,12177,3
CR,prob_mean,5,task,3,12257,9579,0.7833803110971918,0.6122215876641919,0.6873053672833852,7504,2075,4753
CR,prob_mean,5,social,0,954,6835,0.08880760790051206,0.6362683438155137,0.15586082937475929,607,6228,347
CR,prob_mean,5,social,1,3077,3454,0.7880718008106543,0.8846278843028924,0.8335630071964477,2722,732,355
CR,prob_mean,5,social,2,11812,7006,0.9824436197544961,0.5827124957670166,0.7315336380061643,6883,123,4929
CR,prob_mean,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,5,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,5,task,0,47407,42134,0.9129206816347842,0.8113780665302592,0.8591594911828101,38465,3669,8942
CR,label_majority,5,task,1,4384,146,0.0547945205479452,0.0018248175182481751,0.003532008830022075,8,138,4376
CR,label_majority,5,task,2,1298,13502,0.09568952747741076,0.9953775038520801,0.17459459459459462,1292,12210,6
CR,label_majority,5,task,3,12257,9564,0.784086156419908,0.6118136575018357,0.6873195545575362,7499,2065,4758
CR,label_majority,5,social,0,954,6824,0.08865767878077374,0.6341719077568134,0.15556698380046285,605,6219,349
CR,label_majority,5,social,1,3077,3463,0.7860236788911349,0.8846278843028924,0.8324159021406728,2722,741,355
CR,label_majority,5,social,2,11812,7008,0.9818778538812786,0.5825431764307484,0.7312433581296494,6881,127,4931
CR,label_majority,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,5,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,9,task,0,47407,42290,0.9139276424686688,0.815280443816314,0.8617902493951861,38650,3640,8757
CR,logit_mean,9,task,1,4384,134,0.04477611940298507,0.0013686131386861315,0.002656042496679947,6,128,4378
CR,logit_mean,9,task,2,1298,13356,0.09703504043126684,0.9984591679506933,0.17688003275556163,1296,12060,2
CR,logit_mean,9,task,3,12257,9566,0.7829813924315283,0.6110793832095945,0.686431746322687,7490,2076,4767
CR,logit_mean,9,social,0,954,6854,0.08870732419025387,0.6373165618448637,0.15573770491803282,608,6246,346
CR,logit_mean,9,social,1,3077,3444,0.7886178861788617,0.8826779330516737,0.8330010734549915,2716,728,361
CR,logit_mean,9,social,2,11812,6997,0.9837073031299128,0.5827124957670166,0.7318836727098729,6883,114,4929
CR,logit_mean,9,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,9,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,9,task,0,47407,42277,0.9139484826264872,0.8150484105722784,0.861669863074796,38639,3638,8768
