domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.7222630306369173,0.44589850462888686,5,65341,25,1734,0.00038260816332777274,0.02653770220841432,69.36,1709
CR,baseline,none,social,17295,0.5888985255854293,0.38306461135207026,4,17291,6,423,0.0003470013301717657,0.02446359377710948,70.5,417
CR,logit_mean,3,task,65346,0.7236556177883879,0.4477592333467027,5,65341,25,1128,0.00038260816332777274,0.017263280329349106,45.12,1103
CR,logit_mean,3,social,17295,0.5899392888117954,0.38432462137972584,4,17291,6,283,0.0003470013301717657,0.016366896073101614,47.166666666666664,277
CR,prob_mean,3,task,65346,0.7237321335659413,0.44788489402530685,5,65341,25,1125,0.00038260816332777274,0.017217367349749775,45.0,1100
CR,prob_mean,3,social,17295,0.5900549291702805,0.38443114724765515,4,17291,6,283,0.0003470013301717657,0.016366896073101614,47.166666666666664,277
CR,label_majority,3,task,65346,0.7227680347687693,0.4464669881731512,5,65341,25,1102,0.00038260816332777274,0.016865367839488225,44.08,1077
CR,label_majority,3,social,17295,0.5900549291702805,0.3843786588296815,4,17291,6,295,0.0003470013301717657,0.017060898733445146,49.166666666666664,289
CR,logit_mean,5,task,65346,0.7240841061426866,0.4484624322362508,5,65341,25,914,0.00038260816332777274,0.013988154451263371,36.56,889
CR,logit_mean,5,social,17295,0.5905174906042209,0.3851330273070983,4,17291,6,251,0.0003470013301717657,0.01451622231218553,41.833333333333336,245
CR,prob_mean,5,task,65346,0.7240075903651333,0.448343233400541,5,65341,25,913,0.00038260816332777274,0.013972850124730261,36.52,888
CR,prob_mean,5,social,17295,0.5904596704249783,0.38507972384717387,4,17291,6,251,0.0003470013301717657,0.01451622231218553,41.833333333333336,245
CR,label_majority,5,task,65346,0.723288342056132,0.4471493856505361,5,65341,25,914,0.00038260816332777274,0.013988154451263371,36.56,889
CR,label_majority,5,social,17295,0.5902283897080081,0.38460635148431066,4,17291,6,255,0.0003470013301717657,0.014747556532300041,42.5,249
CR,logit_mean,9,task,65346,0.7260123037370306,0.4507470316846896,5,65341,25,728,0.00038260816332777274,0.011141549716104742,29.12,703
CR,logit_mean,9,social,17295,0.5901705695287656,0.3850128556771587,4,17291,6,215,0.0003470013301717657,0.012434214331154936,35.833333333333336,209
CR,prob_mean,9,task,65346,0.7258286658709026,0.45055250896863996,5,65341,25,725,0.00038260816332777274,0.01109563673650541,29.0,700
CR,prob_mean,9,social,17295,0.5902862098872507,0.3850458445854888,4,17291,6,215,0.0003470013301717657,0.012434214331154936,35.833333333333336,209
CR,label_majority,9,task,65346,0.724803354451688,0.4491099306782806,5,65341,25,703,0.00038260816332777274,0.01075894155277697,28.12,678
CR,label_majority,9,social,17295,0.5891876264816421,0.3836547128680605,4,17291,6,217,0.0003470013301717657,0.01254988144121219,36.166666666666664,211
CR,logit_mean,15,task,65346,0.7289964190616105,0.45424219252562814,5,65341,25,572,0.00038260816332777274,0.00875407477693944,22.88,547
CR,logit_mean,15,social,17295,0.5908644116796762,0.38679391964056065,4,17291,6,189,0.0003470013301717657,0.010930541900410618,31.5,183
CR,prob_mean,15,task,65346,0.7289199032840572,0.45424004467440776,5,65341,25,569,0.00038260816332777274,0.008708161797340108,22.76,544
CR,prob_mean,15,social,17295,0.5909800520381613,0.3867873806125823,4,17291,6,189,0.0003470013301717657,0.010930541900410618,31.5,183
CR,label_majority,15,task,65346,0.7269151899121599,0.451324492099122,5,65341,25,591,0.00038260816332777274,0.009044856981068548,23.64,566
CR,label_majority,15,social,17295,0.5883781439722463,0.38315078891481386,4,17291,6,187,0.0003470013301717657,0.010814874790353363,31.166666666666668,181
CR,logit_mean,31,task,65346,0.7355155633091544,0.46285477162538957,5,65341,25,411,0.00038260816332777274,0.006290078205108584,16.44,386
CR,logit_mean,31,social,17295,0.596357328707719,0.39374116730102543,4,17291,6,131,0.0003470013301717657,0.0075761957087502165,21.833333333333332,125
CR,prob_mean,31,task,65346,0.7351941970434304,0.462629956864806,5,65341,25,408,0.00038260816332777274,0.006244165225509251,16.32,383
CR,prob_mean,31,social,17295,0.5972246313963573,0.3944502868125054,4,17291,6,131,0.0003470013301717657,0.0075761957087502165,21.833333333333332,125
