domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CC,baseline,none,task,0,124893,112371,0.8056527039894634,0.724876494279103,0.7631330501045249,90532,21839,34361
CC,baseline,none,task,1,19302,24461,0.19643514165406156,0.24893793389286084,0.21959189269474214,4805,19656,14497
CC,baseline,none,task,2,26642,29357,0.30425452191981467,0.3352601156069364,0.31900569653029515,8932,20425,17710
CC,baseline,none,task,3,44855,49503,0.46338605741066197,0.5114034109909709,0.48621208588566944,22939,26564,21916
CC,baseline,none,social,0,13381,26014,0.3139463365879911,0.6103430236903071,0.41462114481533185,8167,17847,5214
CC,baseline,none,social,1,13735,7744,0.24612603305785125,0.1387695668001456,0.17747567391405558,1906,5838,11829
CC,baseline,none,social,2,60794,26818,0.6625400850175256,0.29226568411356385,0.4056065379171803,17768,9050,43026
CC,baseline,none,social,3,2700,3311,0.02476593174267593,0.03037037037037037,0.027283313924471805,82,3229,2618
CC,baseline,none,social,4,94006,120729,0.6519394677335189,0.8372657064442696,0.7330709944815703,78708,42021,15298
CC,logit_mean,3,task,0,124893,112420,0.8055950898416652,0.725140720456711,0.7632535933556105,90565,21855,34328
CC,logit_mean,3,task,1,19302,24448,0.19670320680628273,0.24914516630400996,0.21984,4809,19639,14493
CC,logit_mean,3,task,2,26642,29306,0.30444277622329896,0.33488476841077996,0.31893901479945663,8922,20384,17720
CC,logit_mean,3,task,3,44855,49518,0.46375055535360876,0.5119607624568052,0.486664618058131,22964,26554,21891
CC,logit_mean,3,social,0,13381,25962,0.3142284877898467,0.6096704282191167,0.4147116386650738,8158,17804,5223
CC,logit_mean,3,social,1,13735,7750,0.2472258064516129,0.13949763378230798,0.1783569932511054,1916,5834,11819
CC,logit_mean,3,social,2,60794,26846,0.662556805483126,0.29257821495542324,0.40591054313099045,17787,9059,43007
CC,logit_mean,3,social,3,2700,3294,0.024893746205221615,0.03037037037037037,0.027360694027360695,82,3212,2618
CC,logit_mean,3,social,4,94006,120764,0.6519326951740585,0.8374997340595282,0.733156399869628,78730,42034,15276
CC,prob_mean,3,task,0,124893,112421,0.8055701336938829,0.7251247067489771,0.7632335218318347,90563,21858,34330
CC,prob_mean,3,task,1,19302,24431,0.19675821701936064,0.2490415500984354,0.21983399263713901,4807,19624,14495
CC,prob_mean,3,task,2,26642,29318,0.30448871000750394,0.3350724420088582,0.31904932094353106,8927,20391,17715
CC,prob_mean,3,task,3,44855,49522,0.46371309720932113,0.5119607624568052,0.4866439916505081,22964,26558,21891
CC,prob_mean,3,social,0,13381,25977,0.3141240327982446,0.6098198938793812,0.4146552162203364,8160,17817,5221
CC,prob_mean,3,social,1,13735,7748,0.24703149199793495,0.1393520203858755,0.1781874039938556,1914,5834,11821
CC,prob_mean,3,social,2,60794,26842,0.6624692645853513,0.2924959699970392,0.4058149618878087,17782,9060,43012
CC,prob_mean,3,social,3,2700,3296,0.025182038834951456,0.030740740740740742,0.027685123415610406,83,3213,2617
CC,prob_mean,3,social,4,94006,120753,0.652000364380181,0.8375103716784035,0.733203265055248,78731,42022,15275
CC,label_majority,3,task,0,124893,112412,0.8055901505177383,0.7250846724796426,0.7632203282695267,90558,21854,34335
CC,label_majority,3,task,1,19302,24436,0.1965133409723359,0.24878250958449902,0.2195802277196031,4802,19634,14500
CC,label_majority,3,task,2,26642,29323,0.30436858438768205,0.3349973725696269,0.3189493433395873,8925,20398,17717
CC,label_majority,3,task,3,44855,49521,0.46345994628541426,0.5116709396945714,0.4863736543188947,22951,26570,21904
CC,label_majority,3,social,0,13381,26022,0.3138498193835985,0.6103430236903071,0.41453696419054387,8167,17855,5214
CC,label_majority,3,social,1,13735,7750,0.24670967741935484,0.13920640698944303,0.17798464044682338,1912,5838,11823
CC,label_majority,3,social,2,60794,26815,0.6628006712660824,0.2923479290719479,0.40573457064913426,17773,9042,43021
CC,label_majority,3,social,3,2700,3279,0.024702653247941447,0.03,0.027094831911690917,81,3198,2619
CC,label_majority,3,social,4,94006,120750,0.6519337474120083,0.8374039954896496,0.733120378476038,78721,42029,15285
CC,logit_mean,5,task,0,124893,112444,0.8056187969122408,0.725316871241783,0.7633618019946322,90587,21857,34306
CC,logit_mean,5,task,1,19302,24431,0.19708566984568784,0.2494560149207336,0.22019984908421558,4815,19616,14487
CC,logit_mean,5,task,2,26642,29292,0.304110337293459,0.33435928233616097,0.3185182536560947,8908,20384,17734
CC,logit_mean,5,task,3,44855,49525,0.4637253912165573,0.512005350574072,0.4866709048527231,22966,26559,21889
CC,logit_mean,5,social,0,13381,25934,0.3148762242615871,0.6102682908601749,0.41541396413582604,8166,17768,5215
CC,logit_mean,5,social,1,13735,7783,0.2474624180907105,0.14022570076447033,0.17901291941630262,1926,5857,11809
CC,logit_mean,5,social,2,60794,26809,0.6628744078481107,0.29231503108859425,0.4057166991997991,17771,9038,43023
CC,logit_mean,5,social,3,2700,3268,0.023255813953488372,0.028148148148148148,0.02546916890080429,76,3192,2624
CC,logit_mean,5,social,4,94006,120822,0.6519839102150271,0.8379677892900453,0.7333680898206938,78774,42048,15232
CC,prob_mean,5,task,0,124893,112446,0.8056489337104032,0.7253569055111175,0.7633975031495036,90592,21854,34301
CC,prob_mean,5,task,1,19302,24416,0.197206749672346,0.2494560149207336,0.22027540143647925,4815,19601,14487
CC,prob_mean,5,task,2,26642,29306,0.3041015491708183,0.3345094212146235,0.3185815400014299,8912,20394,17730
CC,prob_mean,5,task,3,44855,49524,0.4638962927065665,0.512183703043139,0.48684559065046246,22974,26550,21881
CC,prob_mean,5,social,0,13381,25946,0.31480767748400523,0.6104177565204394,0.4153889185546825,8168,17778,5213
CC,prob_mean,5,social,1,13735,7788,0.2473035439137134,0.14022570076447033,0.17897133299261253,1926,5862,11809
CC,prob_mean,5,social,2,60794,26805,0.6630479388173848,0.2923479290719479,0.4057808879096793,17773,9032,43021
CC,prob_mean,5,social,3,2700,3267,0.023262932353841446,0.028148148148148148,0.02547343723814312,76,3191,2624
CC,prob_mean,5,social,4,94006,120810,0.6520403940071187,0.8379571516711699,0.7333997467600178,78773,42037,15233
CC,label_majority,5,task,0,124893,112404,0.8056385893740436,0.7250766656257757,0.7632376304799471,90557,21847,34336
