mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
hysteresis,1.0,0.3452650273522522,0.38452044409204694,0.36489273572214953,924,111,1035,267
prob_mean,121,0.34207644758824973,0.37976732079198944,0.3609218841901196,1049,171,1220,267
logit_mean,121,0.3413108076564393,0.3800597339105349,0.3606852707834871,1061,162,1223,267
label_majority,121,0.3367920257665654,0.37779024068754496,0.3572911332270552,1086,154,1240,267
logit_mean,61,0.3299547397035739,0.37726955001353357,0.35361214485855375,1754,280,2034,267
prob_mean,61,0.3293920159735999,0.3775123671899037,0.3534521915817518,1723,271,1994,267
label_majority,61,0.32682243732661964,0.37660050861105576,0.3517114729688377,1739,293,2032,267
hysteresis,0.5,0.3285546392029077,0.3704687518930655,0.34951169554798656,2035,330,2365,267
logit_mean,31,0.3259455477023311,0.3725852533095868,0.34926540050595895,2723,489,3212,267
prob_mean,31,0.32571805552581157,0.37277360649454716,0.34924583101017936,2698,484,3182,267
label_majority,31,0.32361672672812203,0.3706963892283786,0.3471565579782503,2722,503,3225,267
logit_ema,0.15,0.3240187214516144,0.36951949544961965,0.34676910845061704,3850,743,4593,267
hysteresis,0.25,0.3236645357325756,0.36895444810744094,0.34630949192000826,3172,637,3809,267
logit_mean,15,0.3235520384683347,0.36885905689328163,0.34620554768080813,3844,750,4594,267
prob_mean,15,0.32358683108931796,0.3687811063809687,0.34618396873514334,3821,747,4568,267
prob_mean,9,0.3232230238447287,0.36656048194623714,0.3448917528954829,4485,903,5388,267
logit_mean,9,0.3231420948469701,0.36650970568475993,0.344825900265865,4508,912,5420,267
logit_ema,0.25,0.32343680905925387,0.3661642106445089,0.3448005098518814,4569,973,5542,267
label_majority,15,0.3228011445188759,0.36620279033043385,0.3445019674246549,3773,744,4517,267
label_majority,9,0.32288014369071893,0.3643729635186386,0.34362655360467875,4457,901,5358,267
logit_ema,0.4,0.32294393817545736,0.3642615776354472,0.34360275790545225,5251,1166,6417,267
prob_mean,5,0.32282751512796365,0.36423164091724425,0.343529578022604,5128,1090,6218,267
logit_mean,5,0.32273481968383166,0.3642555255033527,0.3434951725935922,5140,1094,6234,267
label_majority,5,0.3225945639408243,0.36355838990589234,0.3430764769233583,5101,1099,6200,267
prob_mean,3,0.32258573322902506,0.3635159966385382,0.3430508649337816,5701,1296,6997,267
logit_mean,3,0.3225802271416031,0.3634912296840637,0.3430357284128334,5716,1298,7014,267
logit_ema,0.6,0.32250680969970563,0.36352532858433045,0.34301606914201804,5909,1404,7313,267
label_majority,3,0.32245450626978944,0.36296507260561794,0.3427097894377037,5736,1315,7051,267
baseline,none,0.3223310305886096,0.3623589212722131,0.34234497593041135,7095,1896,8991,267
