domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,40091,0.9205058491930858,0.7784504398084671,0.8435392808978491,36904,3187,10503
CR,baseline,none,task,1,4384,381,0.3963254593175853,0.03444343065693431,0.0633788037775446,151,230,4233
CR,baseline,none,task,2,1298,7203,0.17923087602387894,0.9946070878274268,0.3037289730619927,1291,5912,7
CR,baseline,none,task,3,12257,17671,0.5519212268688812,0.7957085746920127,0.6517642341619887,9753,7918,2504
CR,baseline,none,social,0,954,8103,0.05664568678267309,0.4811320754716981,0.10135806558463067,459,7644,495
CR,baseline,none,social,1,3077,4604,0.5721112076455256,0.8560285992850178,0.6858481968493685,2634,1970,443
CR,baseline,none,social,2,11812,4588,0.9899738448125545,0.38452421266508635,0.5539024390243902,4542,46,7270
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,3,task,0,47407,40174,0.9206700851296858,0.7802012361043728,0.8446352519382057,36987,3187,10420
CR,logit_mean,3,task,1,4384,368,0.3967391304347826,0.0333029197080292,0.061447811447811446,146,222,4238
CR,logit_mean,3,task,2,1298,7186,0.17979404397439466,0.9953775038520801,0.3045733144743046,1292,5894,6
CR,logit_mean,3,task,3,12257,17618,0.5542059257577477,0.7966060210491964,0.6536569037656904,9764,7854,2493
CR,logit_mean,3,social,0,954,8090,0.05648949320148331,0.4790356394129979,0.10106147722246794,457,7633,497
CR,logit_mean,3,social,1,3077,4612,0.5715524718126627,0.8566785830354241,0.6856548315775783,2636,1976,441
CR,logit_mean,3,social,2,11812,4593,0.9904202046592641,0.38511683034202504,0.5545870161536117,4549,44,7263
CR,logit_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,3,task,0,47407,40174,0.9206949768506995,0.7802223300356488,0.8446580879414484,36988,3186,10419
CR,prob_mean,3,task,1,4384,368,0.3967391304347826,0.0333029197080292,0.061447811447811446,146,222,4238
CR,prob_mean,3,task,2,1298,7187,0.17976902741060247,0.9953775038520801,0.30453741897466113,1292,5895,6
CR,prob_mean,3,task,3,12257,17617,0.554294147698246,0.7966876070816676,0.6537457320747138,9765,7852,2492
CR,prob_mean,3,social,0,954,8088,0.05650346191889219,0.4790356394129979,0.10108383101083833,457,7631,497
CR,prob_mean,3,social,1,3077,4614,0.5713047247507586,0.8566785830354241,0.6854765310102717,2636,1978,441
CR,prob_mean,3,social,2,11812,4593,0.9904202046592641,0.38511683034202504,0.5545870161536117,4549,44,7263
CR,prob_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,3,task,0,47407,40128,0.9205542264752791,0.7792098213344021,0.8440052550408408,36940,3188,10467
CR,label_majority,3,task,1,4384,374,0.39572192513368987,0.03375912408759124,0.062211013030685165,148,226,4236
CR,label_majority,3,task,2,1298,7208,0.17910654827968922,0.9946070878274268,0.3035504349870679,1291,5917,7
CR,label_majority,3,task,3,12257,17636,0.5531299614425039,0.7958717467569552,0.652661158130666,9755,7881,2502
CR,label_majority,3,social,0,954,8096,0.05669466403162055,0.4811320754716981,0.10143646408839778,459,7637,495
CR,label_majority,3,social,1,3077,4610,0.5726681127982647,0.8579785505362366,0.6868739430206843,2640,1970,437
CR,label_majority,3,social,2,11812,4589,0.9899760296360863,0.38460887233322044,0.5539906103286385,4543,46,7269
CR,label_majority,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,3,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,5,task,0,47407,40203,0.9210506678606074,0.7810871812179636,0.845314461819427,37029,3174,10378
CR,logit_mean,5,task,1,4384,359,0.40947075208913647,0.033531021897810216,0.061986084756483234,147,212,4237
CR,logit_mean,5,task,2,1298,7167,0.18013115669038648,0.9946070878274268,0.30502067336089783,1291,5876,7
CR,logit_mean,5,task,3,12257,17617,0.5547482545268775,0.7973402953414376,0.6542813148557274,9773,7844,2484
CR,logit_mean,5,social,0,954,8083,0.056167264629469256,0.4758909853249476,0.10047582162221977,454,7629,500
CR,logit_mean,5,social,1,3077,4612,0.5722029488291414,0.8576535586610334,0.6864351671218624,2639,1973,438
CR,logit_mean,5,social,2,11812,4600,0.9904347826086957,0.3857094480189638,0.5552035096271022,4556,44,7256
CR,logit_mean,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,5,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,5,task,0,47407,40202,0.920998955275857,0.7810238994241356,0.8452556244221484,37026,3176,10381
