domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.7360664769075383,0.47381929918148263,5,65341,25,1530,0.00038260816332777274,0.023415619595659694,61.2,1505
CR,baseline,none,social,17295,0.4414570685169124,0.25089854336294354,4,17291,6,366,0.0003470013301717657,0.021167081140477707,61.0,360
CR,logit_mean,3,task,65346,0.7374437609034983,0.4757803866677537,5,65341,25,1008,0.00038260816332777274,0.015426761145375797,40.32,983
CR,logit_mean,3,social,17295,0.44186180977161027,0.25120207270037376,4,17291,6,290,0.0003470013301717657,0.016771730958302006,48.333333333333336,284
CR,prob_mean,3,task,65346,0.7374743672145196,0.47584418107349635,5,65341,25,1006,0.00038260816332777274,0.015396152492309577,40.24,981
CR,prob_mean,3,social,17295,0.44186180977161027,0.25118781220358005,4,17291,6,290,0.0003470013301717657,0.016771730958302006,48.333333333333336,284
CR,label_majority,3,task,65346,0.7366020873504117,0.4745679797987507,5,65341,25,1024,0.00038260816332777274,0.015671630369905574,40.96,999
CR,label_majority,3,social,17295,0.44186180977161027,0.25136216541248513,4,17291,6,291,0.0003470013301717657,0.016829564513330633,48.5,285
CR,logit_mean,5,task,65346,0.7382242218345423,0.47702114627481296,5,65341,25,832,0.00038260816332777274,0.012733199675548278,33.28,807
CR,logit_mean,5,social,17295,0.4422665510263082,0.2514899047318924,4,17291,6,262,0.0003470013301717657,0.015152391417500433,43.666666666666664,256
CR,prob_mean,5,task,65346,0.7382089186790316,0.4770145079827578,5,65341,25,828,0.00038260816332777274,0.012671982369415833,33.12,803
CR,prob_mean,5,social,17295,0.44220873084706563,0.2514487738517307,4,17291,6,262,0.0003470013301717657,0.015152391417500433,43.666666666666664,256
CR,label_majority,5,task,65346,0.7373978514369663,0.4758510686729792,5,65341,25,831,0.00038260816332777274,0.012717895349015167,33.24,806
CR,label_majority,5,social,17295,0.44174616941312517,0.25126571113880547,4,17291,6,268,0.0003470013301717657,0.0154993927476722,44.666666666666664,262
CR,logit_mean,9,task,65346,0.7400606004958222,0.47986656056923876,5,65341,25,670,0.00038260816332777274,0.01025389877718431,26.8,645
CR,logit_mean,9,social,17295,0.44365423532812953,0.25315285080028116,4,17291,6,242,0.0003470013301717657,0.013995720316927881,40.333333333333336,236
CR,prob_mean,9,task,65346,0.7401065099623543,0.4799894612890565,5,65341,25,662,0.00038260816332777274,0.010131464164919423,26.48,637
CR,prob_mean,9,social,17295,0.44365423532812953,0.25313150260341777,4,17291,6,241,0.0003470013301717657,0.013937886761899254,40.166666666666664,235
CR,label_majority,9,task,65346,0.7382854344565849,0.47729824662484027,5,65341,25,662,0.00038260816332777274,0.010131464164919423,26.48,637
CR,label_majority,9,social,17295,0.44186180977161027,0.251447680412437,4,17291,6,239,0.0003470013301717657,0.013822219651841999,39.833333333333336,233
CR,logit_mean,15,task,65346,0.7424019832889542,0.4831536071010375,5,65341,25,551,0.00038260816332777274,0.008432683919744112,22.04,526
CR,logit_mean,15,social,17295,0.44440589765828276,0.25456450668552577,4,17291,6,199,0.0003470013301717657,0.011508877450696894,33.166666666666664,193
CR,prob_mean,15,task,65346,0.7420653138677196,0.4827642021301083,5,65341,25,548,0.00038260816332777274,0.00838677094014478,21.92,523
CR,prob_mean,15,social,17295,0.44475281873373806,0.2547980106318291,4,17291,6,199,0.0003470013301717657,0.011508877450696894,33.166666666666664,193
CR,label_majority,15,task,65346,0.7394484742753956,0.47947030215882586,5,65341,25,544,0.00038260816332777274,0.008325553634012335,21.76,519
CR,label_majority,15,social,17295,0.44296039317721886,0.25293527850204184,4,17291,6,200,0.0003470013301717657,0.011566711005725521,33.333333333333336,194
CR,logit_mean,31,task,65346,0.7492731001132433,0.492487970453486,5,65341,25,352,0.00038260816332777274,0.005387122939655041,14.08,327
CR,logit_mean,31,social,17295,0.4392599017056953,0.25268253616568764,4,17291,6,137,0.0003470013301717657,0.007923197038921982,22.833333333333332,131
CR,prob_mean,31,task,65346,0.7485844581152634,0.4917167510403402,5,65341,25,347,0.00038260816332777274,0.005310601306989486,13.88,322
CR,prob_mean,31,social,17295,0.4409366869037294,0.2538304619487541,4,17291,6,137,0.0003470013301717657,0.007923197038921982,22.833333333333332,131
CR,label_majority,31,task,65346,0.7457992838123221,0.4881125231683085,5,65341,25,361,0.00038260816332777274,0.0055248618784530384,14.44,336
CR,label_majority,31,social,17295,0.44139924833766986,0.2532802552884487,4,17291,6,142,0.0003470013301717657,0.00821236481406512,23.666666666666668,136
CR,logit_mean,61,task,65346,0.7572001346677685,0.5027798661945131,5,65341,25,205,0.00038260816332777274,0.003137386939287737,8.2,180
CR,logit_mean,61,social,17295,0.4352124891587164,0.2517592338325541,4,17291,6,75,0.0003470013301717657,0.004337516627147071,12.5,69
CR,prob_mean,61,task,65346,0.7566492210693845,0.5021870209121727,5,65341,25,196,0.00038260816332777274,0.0029996480004897386,7.84,171
CR,prob_mean,61,social,17295,0.43671581381902286,0.25283771346763473,4,17291,6,75,0.0003470013301717657,0.004337516627147071,12.5,69
CR,label_majority,61,task,65346,0.7552872402289352,0.5011233908060768,5,65341,25,212,0.00038260816332777274,0.003244517225019513,8.48,187
CR,label_majority,61,social,17295,0.4342295461115929,0.2520776264160347,4,17291,6,81,0.0003470013301717657,0.004684517957318836,13.5,75
CR,logit_mean,121,task,65346,0.764698680867995,0.5110604087566417,5,65341,25,122,0.00038260816332777274,0.0018671278370395311,4.88,97
CR,logit_mean,121,social,17295,0.42428447528187335,0.24905905906442807,4,17291,6,40,0.0003470013301717657,0.0023133422011451044,6.666666666666667,34
