mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
prob_mean,121,0.34207644758824973,0.1675682580572635,0.2548223528227566,1049,279,1328,267
hysteresis,1.0,0.3452650273522522,0.1621789632906671,0.25372199532145967,924,463,1387,267
logit_mean,121,0.3413108076564393,0.16471291809923877,0.25301186287783906,1061,265,1326,267
prob_mean,61,0.3293920159735999,0.17279608226044146,0.2510940491170207,1723,463,2186,267
logit_mean,61,0.3299547397035739,0.1683119480777607,0.24913334389066732,1754,470,2224,267
label_majority,121,0.3367920257665654,0.1609244545627183,0.24885824016464186,1086,264,1350,267
prob_mean,31,0.32571805552581157,0.1713763404565684,0.24854719799119,2698,780,3478,267
logit_mean,31,0.3259455477023311,0.1702833791462402,0.24811446342428564,2723,782,3505,267
label_majority,61,0.32682243732661964,0.16654752726624983,0.24668498229643473,1739,485,2224,267
hysteresis,0.5,0.3285546392029077,0.16382262467689784,0.24618863193990276,2035,1037,3072,267
logit_ema,0.15,0.3240187214516144,0.168312943365984,0.24616583240879922,3850,1329,5179,267
prob_mean,15,0.32358683108931796,0.1661271936498362,0.24485701236957708,3821,1205,5026,267
logit_mean,15,0.3235520384683347,0.1659609015761388,0.24475647002223674,3844,1207,5051,267
label_majority,31,0.32361672672812203,0.1651545970986726,0.24438566191339733,2722,779,3501,267
logit_ema,0.25,0.32343680905925387,0.16503172710412028,0.24423426808168708,4569,1708,6277,267
prob_mean,9,0.3232230238447287,0.16407580165000862,0.24364941274736865,4485,1557,6042,267
logit_mean,9,0.3231420948469701,0.16408408715474554,0.24361309100085782,4508,1555,6063,267
logit_ema,0.4,0.32294393817545736,0.1638794730951089,0.24341170563528314,5251,2197,7448,267
label_majority,9,0.32288014369071893,0.16340876590071107,0.243144454795715,4457,1525,5982,267
label_majority,15,0.3228011445188759,0.1634179733373646,0.24310955892812025,3773,1196,4969,267
prob_mean,5,0.32282751512796365,0.1630906531852122,0.24295908415658793,5128,2036,7164,267
logit_ema,0.6,0.32250680969970563,0.16321699188952898,0.2428619007946173,5909,2770,8679,267
logit_mean,5,0.32273481968383166,0.1629832672401882,0.24285904346200993,5140,2034,7174,267
hysteresis,0.25,0.3236645357325756,0.1612131910538511,0.24243886339321336,3172,1706,4878,267
label_majority,5,0.3225945639408243,0.1622547577810189,0.2424246608609216,5101,2005,7106,267
baseline,none,0.3223310305886096,0.1625110121214128,0.2424210213550112,7095,3851,10946,267
label_majority,3,0.32245450626978944,0.1621403022338618,0.2422974042518256,5736,2531,8267,267
prob_mean,3,0.32258573322902506,0.16200561176473646,0.24229567249688078,5701,2513,8214,267
logit_mean,3,0.3225802271416031,0.1619575451274227,0.24226888613451292,5716,2524,8240,267
