domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,baseline,none,task,0,47407,47975,0.8060865033871808,0.8157445103043854,0.8108867501205679,38672,9303,8735
CR,baseline,none,task,1,4384,2038,0.3886162904808636,0.18065693430656934,0.24665213329180943,792,1246,3592
CR,baseline,none,task,2,1298,4332,0.1458910433979686,0.4869029275808937,0.2245115452930728,632,3700,666
CR,baseline,none,task,3,12257,11001,0.33078811017180254,0.29689157216284573,0.3129245850890016,3639,7362,8618
CR,baseline,none,social,0,954,9894,0.03951890034364261,0.40985324947589097,0.07208702064896755,391,9503,563
CR,baseline,none,social,1,3077,1165,0.5982832618025751,0.2265193370165746,0.3286185761433286,697,468,2380
CR,baseline,none,social,2,11812,6236,0.8062860808210391,0.4256688113782594,0.5571808510638299,5028,1208,6784
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,baseline,none,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,3,task,0,47407,48137,0.8056796227434199,0.8180859366760183,0.8118353847442016,38783,9354,8624
CR,logit_mean,3,task,1,4384,2012,0.38866799204771374,0.17837591240875914,0.24452782989368355,782,1230,3602
CR,logit_mean,3,task,2,1298,4291,0.14611978559776276,0.4830508474576271,0.22436929683306495,627,3664,671
CR,logit_mean,3,task,3,12257,10906,0.3327526132404181,0.2960757118381333,0.31334455813150286,3629,7277,8628
CR,logit_mean,3,social,0,954,9948,0.039404905508644957,0.4109014675052411,0.0719134103834159,392,9556,562
CR,logit_mean,3,social,1,3077,1155,0.5991341991341992,0.22489437764055897,0.3270321361058601,692,463,2385
CR,logit_mean,3,social,2,11812,6192,0.8053940568475452,0.42219776498476125,0.5539880026660741,4987,1205,6825
CR,logit_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,3,task,0,47407,48115,0.805777823963421,0.8178117155694307,0.8117501727350768,38770,9345,8637
CR,prob_mean,3,task,1,4384,2020,0.38811881188118813,0.17883211678832117,0.2448469706433479,784,1236,3600
CR,prob_mean,3,task,2,1298,4291,0.14635283150780704,0.48382126348228044,0.22472714260153873,628,3663,670
CR,prob_mean,3,task,3,12257,10920,0.3326007326007326,0.29632046993554706,0.31341416059024035,3632,7288,8625
CR,prob_mean,3,social,0,954,9947,0.03940886699507389,0.4109014675052411,0.07192000733877625,392,9555,562
CR,prob_mean,3,social,1,3077,1154,0.5996533795493935,0.22489437764055897,0.3271094303947057,692,462,2385
CR,prob_mean,3,social,2,11812,6194,0.8052954472069745,0.42228242465289534,0.5540375430412086,4988,1206,6824
CR,prob_mean,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,3,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,3,task,0,47407,48143,0.8054961261242548,0.8180015609509145,0.8117006802721088,38779,9364,8628
CR,label_majority,3,task,1,4384,2010,0.3900497512437811,0.17883211678832117,0.24522990303409448,784,1226,3600
CR,label_majority,3,task,2,1298,4287,0.1464893865173781,0.48382126348228044,0.22488809310653535,628,3659,670
CR,label_majority,3,task,3,12257,10906,0.3328443058866679,0.2961572978706046,0.3134309027328066,3630,7276,8627
CR,label_majority,3,social,0,954,9940,0.039336016096579475,0.40985324947589097,0.07178263264182118,391,9549,563
CR,label_majority,3,social,1,3077,1156,0.5960207612456747,0.22391940201494961,0.3255374438932199,689,467,2388
CR,label_majority,3,social,2,11812,6199,0.8067430230682369,0.4233830003386387,0.5553272999833435,5001,1198,6811
CR,label_majority,3,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,3,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,5,task,0,47407,48273,0.8055849025335073,0.8203007994599953,0.812876254180602,38888,9385,8519
CR,logit_mean,5,task,1,4384,1990,0.38743718592964826,0.1758667883211679,0.2419203012237214,771,1219,3613
CR,logit_mean,5,task,2,1298,4249,0.14850553071310896,0.4861325115562404,0.22751036596358387,631,3618,667
CR,logit_mean,5,task,3,12257,10834,0.3341332841055935,0.29534143754589215,0.31354207266900525,3620,7214,8637
CR,logit_mean,5,social,0,954,9955,0.03937719738824711,0.4109014675052411,0.07186726556054633,392,9563,562
CR,logit_mean,5,social,1,3077,1155,0.6008658008658009,0.22554436139096523,0.3279773156899811,694,461,2383
CR,logit_mean,5,social,2,11812,6185,0.8075990299110751,0.4228750423298341,0.5550925154192365,4995,1190,6817
CR,logit_mean,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,5,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,5,task,0,47407,48244,0.8057996849349142,0.8200265783534078,0.812850884988134,38875,9369,8532
CR,prob_mean,5,task,1,4384,1996,0.3897795591182365,0.17746350364963503,0.2438871473354232,778,1218,3606
CR,prob_mean,5,task,2,1298,4253,0.14860098753820833,0.4869029275808937,0.22770671950999824,632,3621,666
CR,prob_mean,5,task,3,12257,10853,0.33419331060536256,0.2959125397731908,0.31389009086975334,3627,7226,8630
CR,prob_mean,5,social,0,954,9955,0.03937719738824711,0.4109014675052411,0.07186726556054633,392,9563,562
CR,prob_mean,5,social,1,3077,1153,0.601040763226366,0.2252193695157621,0.3276595744680851,693,460,2384
CR,prob_mean,5,social,2,11812,6187,0.8070147082592533,0.42270572299356585,0.5548086004778043,4993,1194,6819
CR,prob_mean,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,5,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,5,task,0,47407,48284,0.8053185320188883,0.8202164237348915,0.8126992089120189,38884,9400,8523
CR,label_majority,5,task,1,4384,1991,0.3917629331993973,0.17791970802919707,0.2447058823529412,780,1211,3604
CR,label_majority,5,task,2,1298,4258,0.14772193518083607,0.48459167950693377,0.22642188624910006,629,3629,669
CR,label_majority,5,task,3,12257,10813,0.33394987515028207,0.294607163253651,0.3130472475075856,3611,7202,8646
CR,label_majority,5,social,0,954,9968,0.039225521669341894,0.40985324947589097,0.0715986083134957,391,9577,563
CR,label_majority,5,social,1,3077,1163,0.5975924333619949,0.22586935326616833,0.3278301886792453,695,468,2382
CR,label_majority,5,social,2,11812,6164,0.8062946138870863,0.42075855062648154,0.5529595015576324,4970,1194,6842
CR,label_majority,5,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,5,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,9,task,0,47407,48534,0.8058474471504512,0.8250047461345371,0.815313578136563,39111,9423,8296
CR,logit_mean,9,task,1,4384,1959,0.39714139867279225,0.17746350364963503,0.24530979032003783,778,1181,3606
CR,logit_mean,9,task,2,1298,4188,0.15090735434574976,0.4869029275808937,0.23040466642362376,632,3556,666
CR,logit_mean,9,task,3,12257,10665,0.3401781528363807,0.2959941258056621,0.3165517843120147,3628,7037,8629
CR,logit_mean,9,social,0,954,10019,0.03932528196426789,0.4129979035639413,0.07181263100337192,394,9625,560
CR,logit_mean,9,social,1,3077,1142,0.5980735551663747,0.2219694507637309,0.32377340602038396,683,459,2394
CR,logit_mean,9,social,2,11812,6134,0.806488425171177,0.41881137825939724,0.5513206285523237,4947,1187,6865
CR,logit_mean,9,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,logit_mean,9,social,4,0,0,nan,nan,nan,0,0,0
CR,prob_mean,9,task,0,47407,48481,0.8061096099502898,0.8243719281962579,0.8151384949107291,39081,9400,8326
CR,prob_mean,9,task,1,4384,1977,0.3975720789074355,0.1792883211678832,0.24713095425247603,786,1191,3598
CR,prob_mean,9,task,2,1298,4177,0.15082595163993295,0.48536209553158705,0.23013698630136983,630,3547,668
CR,prob_mean,9,task,3,12257,10711,0.33955746428904865,0.29672840009790324,0.3167014977359805,3637,7074,8620
CR,prob_mean,9,social,0,954,10014,0.03934491711603755,0.4129979035639413,0.07184536834427425,394,9620,560
CR,prob_mean,9,social,1,3077,1139,0.5970149253731343,0.22099447513812154,0.3225806451612903,680,459,2397
CR,prob_mean,9,social,2,11812,6142,0.8060892217518724,0.4191500169319336,0.5515205525231146,4951,1191,6861
CR,prob_mean,9,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,prob_mean,9,social,4,0,0,nan,nan,nan,0,0,0
CR,label_majority,9,task,0,47407,48486,0.8053252485253475,0.8236547345328749,0.8143868686974022,39047,9439,8360
CR,label_majority,9,task,1,4384,1968,0.39939024390243905,0.1792883211678832,0.24748110831234257,786,1182,3598
CR,label_majority,9,task,2,1298,4188,0.1497134670487106,0.4830508474576271,0.2285818446955888,627,3561,671
CR,label_majority,9,task,3,12257,10704,0.33763079222720477,0.2948519213510647,0.31479465180087973,3614,7090,8643
CR,label_majority,9,social,0,954,10023,0.03901027636436197,0.40985324947589097,0.0712398651726337,391,9632,563
CR,label_majority,9,social,1,3077,1151,0.5916594265855778,0.22131946701332467,0.32213812677388837,681,470,2396
CR,label_majority,9,social,2,11812,6121,0.8091815062898219,0.41931933626820184,0.5523894496180226,4953,1168,6859
CR,label_majority,9,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,label_majority,9,social,4,0,0,nan,nan,nan,0,0,0
CR,logit_mean,15,task,0,47407,48901,0.8049937629087339,0.830362604678634,0.8174814137974,39365,9536,8042
CR,logit_mean,15,task,1,4384,1952,0.4067622950819672,0.18111313868613138,0.2506313131313131,794,1158,3590
CR,logit_mean,15,task,2,1298,4091,0.1576631630408213,0.49691833590138673,0.23937650770087215,645,3446,653
CR,logit_mean,15,task,3,12257,10402,0.3469525091328591,0.2944439911887085,0.3185489209585595,3609,6793,8648
CR,logit_mean,15,social,0,954,10065,0.03944361649279682,0.4161425576519916,0.07205735547690352,397,9668,557
CR,logit_mean,15,social,1,3077,1144,0.5996503496503497,0.22294442638934026,0.3250414593698176,686,458,2391
