domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,baseline,none,task,65346,0.6692835062589906,0.23514458514664255,5,65341,25,2751,0.00038260816332777274,0.04210220229258811,110.04,2726
CR,baseline,none,social,17295,0.3536282162474704,0.08987743909618308,4,17291,6,1100,0.0003470013301717657,0.06361691053149036,183.33333333333334,1094
CR,logit_mean,3,task,65346,0.6705995776329079,0.23555991655623704,5,65341,25,1830,0.00038260816332777274,0.028006917555592967,73.2,1805
CR,logit_mean,3,social,17295,0.35102630818155534,0.08835517369860833,4,17291,6,694,0.0003470013301717657,0.040136487189867565,115.66666666666667,688
CR,prob_mean,3,task,65346,0.6704924555443332,0.2356587122166586,5,65341,25,1822,0.00038260816332777274,0.027884482943328077,72.88,1797
CR,prob_mean,3,social,17295,0.35108412836079794,0.08835251131281431,4,17291,6,691,0.0003470013301717657,0.039962986524781675,115.16666666666667,685
CR,label_majority,3,task,65346,0.6705995776329079,0.23544752674307048,5,65341,25,1830,0.00038260816332777274,0.028006917555592967,73.2,1805
CR,label_majority,3,social,17295,0.3516045099739809,0.08883307772465311,4,17291,6,701,0.0003470013301717657,0.040541322075067956,116.83333333333333,695
CR,logit_mean,5,task,65346,0.6719615584733573,0.23647412853282873,5,65341,25,1484,0.00038260816332777274,0.02271162057513659,59.36,1459
CR,logit_mean,5,social,17295,0.3516045099739809,0.08949240594754768,4,17291,6,550,0.0003470013301717657,0.03180845526574518,91.66666666666667,544
CR,prob_mean,5,task,65346,0.6719921647843785,0.23700718364909112,5,65341,25,1485,0.00038260816332777274,0.022726924901669703,59.4,1460
CR,prob_mean,5,social,17295,0.35143104943625325,0.08917412272133332,4,17291,6,551,0.0003470013301717657,0.03186628882077381,91.83333333333333,545
CR,label_majority,5,task,65346,0.6718697395402932,0.2361437728141094,5,65341,25,1463,0.00038260816332777274,0.022390229717941263,58.52,1438
CR,label_majority,5,social,17295,0.350159005492917,0.08836574274792837,4,17291,6,542,0.0003470013301717657,0.03134578682551616,90.33333333333333,536
CR,logit_mean,9,task,65346,0.6756190126404065,0.2408129690787557,5,65341,25,1139,0.00038260816332777274,0.017431627921213326,45.56,1114
CR,logit_mean,9,social,17295,0.34830875975715525,0.0873552052307354,4,17291,6,416,0.0003470013301717657,0.024058758891909084,69.33333333333333,410
CR,prob_mean,9,task,65346,0.6753894653077465,0.24105946973652542,5,65341,25,1141,0.00038260816332777274,0.01746223657427955,45.64,1116
CR,prob_mean,9,social,17295,0.3483665799363978,0.08709213356349184,4,17291,6,416,0.0003470013301717657,0.024058758891909084,69.33333333333333,410
CR,label_majority,9,task,65346,0.6744712759771064,0.23886020578928668,5,65341,25,1110,0.00038260816332777274,0.01698780245175311,44.4,1085
CR,label_majority,9,social,17295,0.3483665799363978,0.08795732601213543,4,17291,6,415,0.0003470013301717657,0.024000925336880457,69.16666666666667,409
CR,logit_mean,15,task,65346,0.6796590456952224,0.24446332822411143,5,65341,25,869,0.00038260816332777274,0.01329945975727338,34.76,844
CR,logit_mean,15,social,17295,0.3468054350968488,0.08745847492816618,4,17291,6,338,0.0003470013301717657,0.019547741599676132,56.333333333333336,332
CR,prob_mean,15,task,65346,0.679536620451137,0.24519725608798149,5,65341,25,870,0.00038260816332777274,0.013314764083806493,34.8,845
CR,prob_mean,15,social,17295,0.34686325527609135,0.08705713121169092,4,17291,6,335,0.0003470013301717657,0.01937424093459025,55.833333333333336,329
CR,label_majority,15,task,65346,0.6775319070792397,0.24010281885426724,5,65341,25,864,0.00038260816332777274,0.013222938124607826,34.56,839
CR,label_majority,15,social,17295,0.3466897947383637,0.08673312782046198,4,17291,6,332,0.0003470013301717657,0.019200740269504368,55.333333333333336,326
CR,logit_mean,31,task,65346,0.6896673093991981,0.25160731495032984,5,65341,25,562,0.00038260816332777274,0.008601031511608332,22.48,537
CR,logit_mean,31,social,17295,0.3464585140213935,0.08895944334215056,4,17291,6,220,0.0003470013301717657,0.012723382106298075,36.666666666666664,214
CR,prob_mean,31,task,65346,0.6895448841551128,0.2546566607292945,5,65341,25,561,0.00038260816332777274,0.00858572718507522,22.44,536
CR,prob_mean,31,social,17295,0.3461694131251807,0.0880960201838423,4,17291,6,219,0.0003470013301717657,0.012665548551269447,36.5,213
CR,label_majority,31,task,65346,0.6831634683071649,0.24388688170408204,5,65341,25,563,0.00038260816332777274,0.008616335838141443,22.52,538
CR,label_majority,31,social,17295,0.3440300664932061,0.0864223124932632,4,17291,6,216,0.0003470013301717657,0.012492047886183563,36.0,210
CR,logit_mean,61,task,65346,0.6962170599577633,0.2530127030836087,5,65341,25,337,0.00038260816332777274,0.005157558041658377,13.48,312
CR,logit_mean,61,social,17295,0.332466030644695,0.08361119307191271,4,17291,6,133,0.0003470013301717657,0.007691862818807472,22.166666666666668,127
CR,prob_mean,61,task,65346,0.6979616196859793,0.2616368879636612,5,65341,25,330,0.00038260816332777274,0.0050504277559266005,13.2,305
CR,prob_mean,61,social,17295,0.3339115351257589,0.08395527655722172,4,17291,6,133,0.0003470013301717657,0.007691862818807472,22.166666666666668,127
CR,label_majority,61,task,65346,0.6958803905365286,0.25081294073764987,5,65341,25,351,0.00038260816332777274,0.0053718186131219295,14.04,326
CR,label_majority,61,social,17295,0.33229257010696733,0.08228211379484981,4,17291,6,134,0.0003470013301717657,0.0077496963738361,22.333333333333332,128
CR,logit_mean,121,task,65346,0.7037156061579898,0.2514738701476066,5,65341,25,189,0.00038260816332777274,0.0028925177147579623,7.56,164
CR,logit_mean,121,social,17295,0.3177218849378433,0.07795196605087099,4,17291,6,76,0.0003470013301717657,0.004395350182175698,12.666666666666666,70
CR,prob_mean,121,task,65346,0.7033177241147125,0.2561655225355159,5,65341,25,200,0.00038260816332777274,0.003060865306622182,8.0,175
CR,prob_mean,121,social,17295,0.320497253541486,0.0789709935790111,4,17291,6,79,0.0003470013301717657,0.004568850847261581,13.166666666666666,73
CR,label_majority,121,task,65346,0.7032718146481804,0.2397918731928921,5,65341,25,181,0.00038260816332777274,0.002770083102493075,7.24,156
CR,label_majority,121,social,17295,0.32448684590922233,0.08205703593254454,4,17291,6,83,0.0003470013301717657,0.004800185067376092,13.833333333333334,77
CR,logit_ema,0.15,task,65346,0.6810363296911823,0.24684695308543253,5,65341,25,951,0.00038260816332777274,0.014554414532988476,38.04,926
CR,logit_ema,0.15,social,17295,0.3492917028042787,0.08977893364653552,4,17291,6,378,0.0003470013301717657,0.021861083800821236,63.0,372
CR,logit_ema,0.25,task,65346,0.6761699262387905,0.2408762742954778,5,65341,25,1229,0.00038260816332777274,0.01880901730919331,49.16,1204
CR,logit_ema,0.25,social,17295,0.35039028620988727,0.08918717991276276,4,17291,6,479,0.0003470013301717657,0.027702272858712625,79.83333333333333,473
CR,logit_ema,0.4,task,65346,0.6726961099378692,0.23763262825688033,5,65341,25,1583,0.00038260816332777274,0.02422674890191457,63.32,1558
CR,logit_ema,0.4,social,17295,0.3520092512286788,0.09012631793333745,4,17291,6,614,0.0003470013301717657,0.03550980278757735,102.33333333333333,608
CR,logit_ema,0.6,task,65346,0.6710739754537386,0.23629470952714376,5,65341,25,1982,0.00038260816332777274,0.030333175188625824,79.28,1957
CR,logit_ema,0.6,social,17295,0.35264527320034694,0.0901392742519142,4,17291,6,788,0.0003470013301717657,0.045572841362558555,131.33333333333334,782
CR,hysteresis,0.25,task,65346,0.6728338383374652,0.2380743159938421,5,65341,25,1252,0.00038260816332777274,0.01916101681945486,50.08,1227
CR,hysteresis,0.25,social,17295,0.349118242266551,0.0843520661138601,4,17291,6,454,0.0003470013301717657,0.026256433982996936,75.66666666666667,448
CR,hysteresis,0.5,task,65346,0.6782511553882411,0.24436787521849046,5,65341,25,776,0.00038260816332777274,0.011876157389694067,31.04,751
CR,hysteresis,0.5,social,17295,0.34830875975715525,0.0832773741353052,4,17291,6,261,0.0003470013301717657,0.015094557862471806,43.5,255
CR,hysteresis,1.0,task,65346,0.6876778991828115,0.24332948259760587,5,65341,25,365,0.00038260816332777274,0.005586079184585482,14.6,340
CR,hysteresis,1.0,social,17295,0.32338826250361374,0.08102844398372834,4,17291,6,98,0.0003470013301717657,0.005667688392805506,16.333333333333332,92
CR,baseline,none,mean,82641,0.5114558612532305,0.1625110121214128,9,82632,31,3851,0.0003751573240391132,0.046604221124987896,124.2258064516129,3820
CR,hysteresis,0.25,mean,82641,0.5109760403020082,0.1612131910538511,9,82632,31,1706,0.0003751573240391132,0.020645754671313778,55.03225806451613,1675
CR,hysteresis,0.5,mean,82641,0.5132799575726982,0.16382262467689784,9,82632,31,1037,0.0003751573240391132,0.012549617581566464,33.45161290322581,1006
CR,hysteresis,1.0,mean,82641,0.5055330808432126,0.1621789632906671,9,82632,31,463,0.0003751573240391132,0.005603156162261594,14.935483870967742,432
CR,label_majority,121,mean,82641,0.5138793302787014,0.1609244545627183,9,82632,31,264,0.0003751573240391132,0.003194888178913738,8.516129032258064,233
CR,label_majority,15,mean,82641,0.5121108509088017,0.1634179733373646,9,82632,31,1196,0.0003751573240391132,0.014473811598412238,38.58064516129032,1165
CR,label_majority,3,mean,82641,0.5111020438034444,0.1621403022338618,9,82632,31,2531,0.0003751573240391132,0.030629780230419207,81.64516129032258,2500
CR,label_majority,31,mean,82641,0.5135967674001856,0.1651545970986726,9,82632,31,779,0.0003751573240391132,0.009427340497628037,25.129032258064516,748
CR,label_majority,5,mean,82641,0.5110143725166051,0.1622547577810189,9,82632,31,2005,0.0003751573240391132,0.024264207570916838,64.6774193548387,1974
CR,label_majority,61,mean,82641,0.514086480321748,0.16654752726624983,9,82632,31,485,0.0003751573240391132,0.005869396843837738,15.64516129032258,454
CR,label_majority,9,mean,82641,0.5114189279567521,0.16340876590071107,9,82632,31,1525,0.0003751573240391132,0.01845531997289186,49.193548387096776,1494
CR,logit_ema,0.15,mean,82641,0.5151640162477304,0.168312943365984,9,82632,31,1329,0.0003751573240391132,0.016083357537031658,42.87096774193548,1298
CR,logit_ema,0.25,mean,82641,0.5132801062243388,0.16503172710412028,9,82632,31,1708,0.0003751573240391132,0.02066995836963888,55.096774193548384,1677
CR,logit_ema,0.4,mean,82641,0.512352680583274,0.1638794730951089,9,82632,31,2197,0.0003751573240391132,0.02658776261012683,70.87096774193549,2166
CR,logit_ema,0.6,mean,82641,0.5118596243270428,0.16321699188952898,9,82632,31,2770,0.0003751573240391132,0.03352212218026915,89.35483870967742,2739
CR,logit_mean,121,mean,82641,0.5107187455479165,0.16471291809923877,9,82632,31,265,0.0003751573240391132,0.0032069900280762903,8.548387096774194,234
CR,logit_mean,15,mean,82641,0.5132322403960357,0.1659609015761388,9,82632,31,1207,0.0003751573240391132,0.01460693193920031,38.935483870967744,1176
CR,logit_mean,3,mean,82641,0.5108129429072317,0.1619575451274227,9,82632,31,2524,0.0003751573240391132,0.030545067286281345,81.41935483870968,2493
CR,logit_mean,31,mean,82641,0.5180629117102957,0.1702833791462402,9,82632,31,782,0.0003751573240391132,0.009463646045115693,25.225806451612904,751
CR,logit_mean,5,mean,82641,0.5117830342236691,0.1629832672401882,9,82632,31,2034,0.0003751573240391132,0.024615161196630844,65.61290322580645,2003
