dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,086,35050,0.8759152370100712,0.044081521365424876,0.05721565002656205,0.8810461538204644
noxij,101,58300,0.8511303971781153,0.03423635413343052,0.04290234293479197,0.852046755355637
noxij,102,51800,0.926393657359477,0.03290338308108129,0.04149987043400322,0.9274309407012284
noxij,103,44900,0.864430880574706,0.049634532613868,0.06194801279138162,0.8822496278048472
noxij,104,44150,0.913623112696381,0.04927439431776952,0.06158290015379179,0.9209660464774914
noxij,105,41250,0.8811841172176474,0.043486017909815364,0.05570614617610656,0.884331149945357
noxij,106,43750,0.8837666465201426,0.04554820991505203,0.05863741378925201,0.8846491507221236
noxij,107,32750,0.9694596628615363,0.040654117026732425,0.05215917533935117,0.9718634350439955
noxij,108,32200,0.9327984603196059,0.03574814143249337,0.045764079066054654,0.9347217456548863
noxij,109,46300,0.8474023553250273,0.04074938331354514,0.052652124878125824,0.8514571388227478
noxij,110,44300,0.9263261202980958,0.032684016587973715,0.04263366794062422,0.9327068307453178
noxij,111,52900,0.8743338249811795,0.042693468975968346,0.05351059365356822,0.8744411241456902
noxij,112,34050,0.896313439423921,0.038095265529316774,0.049303724505296874,0.8982768366756586
noxij,113,32350,0.9447911426716021,0.03903688106737697,0.04957890472847761,0.9507691277516853
noxij,114,46950,0.8097932237536142,0.03913508126307854,0.049296404663210024,0.8101830451000297
noxij,115,34000,0.7956390905910478,0.043907389975645965,0.055824516864287854,0.7970367058249651
noxij,116,32500,0.8889569182179106,0.04165314222041231,0.054362484410961066,0.8944714235606177
noxij,117,31250,0.8936749389555081,0.04238490752887726,0.05368507007476317,0.8956742910783188
noxij,118,38100,0.8874140704997788,0.04118612691970283,0.054222435924492676,0.8903976623421197
noxij,119,32900,0.9176031030540148,0.04456069076452178,0.05676345200819518,0.9212142822284579
noxij,120,39000,0.8986429951404576,0.039966412004369956,0.049545383486757265,0.900355493605519
noxij,133,57150,0.8497854554771521,0.057323415438177705,0.07017896156455923,0.8930438213813877
noxij,134,49950,0.7638205936079575,0.04289632873313205,0.05630190803275821,0.8151523708567898
noxij,135,42150,0.8376931923636763,0.03510048678354719,0.04587940024336442,0.86914108510133
noxij,136,43200,0.8292349270187014,0.035642837241843896,0.04507432694833397,0.8582757079292181
noxij,137,43200,0.8237480413040452,0.05593465616857564,0.07560934313229895,0.8535276225413365
noxij,138,43200,0.8564649151749881,0.029018599556207104,0.03804191312184112,0.8702671817246822
noxij,139,37850,0.9602522985679225,0.03648853664412539,0.04898470295442891,0.9659069692587987
noxij,140,40350,0.8939622589920266,0.04686772938480755,0.06180771829379617,0.8942443145574398
noxij,141,61250,0.9010135244547378,0.029672506271059416,0.03967050200757813,0.9283423494062422
noxij,142,48250,0.7762539050790785,0.029331560429513764,0.03980688470640375,0.8199194076938929
