dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28100,0.6961934807268425,0.06561321952217838,0.09624183313708679,0.7454018167666916
noxij,122,31700,0.6742857232102931,0.06460502560112379,0.08346899070137087,0.6747848836202442
noxij,123,35150,0.5849701515087259,0.07615410654507525,0.10480397019151302,0.6580775775804117
noxij,124,34400,0.6822910696279368,0.05657024439575887,0.08353616398122325,0.7462138737131894
noxij,125,32750,0.6369802665936114,0.07331619495289926,0.09580595004955864,0.6937297962145232
noxij,126,30800,0.6014204519408278,0.06954468011444846,0.09463013247360783,0.6242961096284142
noxij,143,42050,0.5231784087455247,0.042681361678877004,0.06360480202089606,0.540978856280617
noxij,144,38500,0.5938997570590305,0.04493700122833252,0.06531768155547858,0.7287570864764088
noxij,145,54700,0.509021412538098,0.059379915902806085,0.08529804363404303,0.67042253453955
noxij,146,72600,0.561328098369916,0.05005138722846166,0.06600867147805682,0.7180107855156898
