dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,086,35050,0.9270134011570452,0.034244186606964946,0.04300177871352279,0.92882131871744
noxij,101,58300,0.8872658350467855,0.030247417052961745,0.03942323242965033,0.9069103129925848
noxij,102,51800,0.9348173543234853,0.03097401061372177,0.04047152925778012,0.941514546269754
noxij,103,44900,0.9090976714726974,0.038351875031133596,0.05117737270320633,0.9139501256144689
noxij,104,44150,0.9537209556165174,0.03642397187034244,0.04530588381676744,0.9653214703254515
noxij,105,41250,0.9108531271270542,0.041622835335880515,0.055885891688177244,0.9429457940194416
noxij,106,43750,0.9413602386280083,0.034595581486469934,0.04370753705990796,0.9448086047819428
noxij,107,32750,0.9701512088949531,0.03460942486452493,0.049535869083976634,0.9703605970543213
noxij,108,32200,0.917556699425505,0.039112161446987474,0.051579918043594984,0.9195184161983229
noxij,109,46300,0.8610695830630113,0.03916276042391878,0.049463190947583315,0.8619462650460004
noxij,110,44300,0.9137067956634238,0.03553319087886918,0.04595149543469008,0.9201967280438031
noxij,111,52900,0.9028703411686595,0.035236995066392864,0.04683544159269945,0.9098736969079579
noxij,112,34050,0.9017108267169824,0.03773571218644295,0.048919406161516674,0.9092400296035298
noxij,113,32350,0.9458936766820949,0.037579270393070886,0.047686929809648136,0.9473756958924969
noxij,114,46950,0.8489081368034833,0.03334822995594134,0.04272050588827197,0.8649888968779086
noxij,115,34000,0.779301832881945,0.04055683290432481,0.054891983343769594,0.789500009409319
noxij,116,32500,0.8682586081241165,0.03616551273098359,0.05340002666769932,0.875532375086538
noxij,117,31250,0.9323826661348646,0.034959209327220915,0.04455927127691214,0.9354256201177347
noxij,118,38100,0.8791276326311763,0.042374239469685264,0.056116222359168036,0.8858376434448277
noxij,119,32900,0.9185268805787996,0.04066525961716849,0.055600969683275166,0.9271806181247411
noxij,120,39000,0.9092306524066204,0.03713300364674666,0.04773233386169738,0.9100396342239437
noxij,133,57150,0.9084510369686067,0.04865084417744467,0.062492599239985014,0.9457420563497541
noxij,134,49950,0.7691353830124203,0.03511990689181231,0.05988562394267463,0.787960270072823
noxij,135,42150,0.8199009964120788,0.03249196738190286,0.047938882884217174,0.8206925142289272
noxij,136,43200,0.7056921096433814,0.032995133594851254,0.0512033605362446,0.7187519086706909
noxij,137,43200,0.9030148797558881,0.0393586028639779,0.0569284773471729,0.9048123725271545
noxij,138,43200,0.8584527035223174,0.025567295008373483,0.035650688756204904,0.8609140593487472
noxij,139,37850,0.949593475437324,0.033838948992867136,0.05283094651521541,0.9496875913049108
noxij,140,40350,0.8817838016208559,0.04808522240601508,0.06785694149344129,0.8834481694946701
noxij,141,61250,0.8701099040393805,0.03038393993474999,0.04525120916401295,0.889327136036641
noxij,142,48250,0.8371205254978461,0.025127385438415053,0.033088784593012746,0.851305956386056
