dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28100,0.6077557311478555,0.08568609152241109,0.11437702734467792,0.6287776415554114
noxij,122,31700,0.2341958480800852,0.08968817203578888,0.1189783754983366,0.2655485848539918
noxij,123,35150,0.4187717281664581,0.10209690664604751,0.13223542023944318,0.5397159502888708
noxij,124,34400,0.474330803040096,0.09169963826945182,0.12588710162118702,0.5362071850570154
noxij,125,32750,0.2301247440034769,0.1426892618728048,0.17385078339075938,0.3150374765856228
noxij,126,30800,0.40606840224104157,0.08924131853747871,0.11467117480572606,0.5002738228041396
noxij,143,42050,0.31382274976600105,0.04893019109999808,0.07122322336982526,0.3238916035088011
noxij,144,38500,0.30107116283090335,0.04147390508342099,0.0628253044489558,0.305735816907681
noxij,145,54700,0.628401578940172,0.04202688592715935,0.05750363072023994,0.679929323533029
noxij,146,72600,0.4991320310867574,0.05083905024223091,0.06994268466814345,0.5898920731401521
