dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28116,0.5307897363823403,0.08545849319276591,0.12539581209199868,0.6228825946143398
noxij,122,31706,0.16947719282604515,0.11450214243827013,0.14961815926874172,0.250890565479906
noxij,123,35160,0.6576005774856863,0.10168368540668757,0.1218569069533081,0.7240959077132552
noxij,124,34448,0.522589659677329,0.07838872149980317,0.11018792819759893,0.5348706944911166
noxij,125,32760,0.39819648788224404,0.15788019435214146,0.184212257567226,0.6390740357654789
noxij,126,30808,0.36994229466414924,0.15614905839830553,0.18479952154611257,0.6351303677765842
noxij,143,42050,0.3855250935737417,0.09602841322698966,0.11933666584682337,0.7392622150150047
noxij,144,38506,0.24025683517565735,0.09821110147880188,0.13714809434957748,0.48751779461101413
noxij,145,54698,0.30350761536262183,0.09949689231287308,0.12412912064845653,0.519350090242956
noxij,146,72608,0.39664972435520274,0.09194925626071433,0.12060848555264617,0.6337831830627864
