dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,001,53284,0.9188318458701531,0.06436110828656848,0.08372775566342468,0.9300017695171122
noxi,003,38074,0.9277413180645357,0.04669308503570348,0.061805504333374034,0.929012242916901
noxi,013,67744,0.9083170682898406,0.04783653732791445,0.0621290937637997,0.9139619738519301
noxi,020,33130,0.8819513740282103,0.04626103040282669,0.06305199053946875,0.9014221233564487
noxi,021,43282,0.9308929124857037,0.04522678269589831,0.06077608365574299,0.939846010076463
noxi,022,52894,0.8256035433760449,0.03866333361680145,0.0491756300583335,0.8299274245892612
noxi,023,61748,0.8684956444503045,0.04467983457439717,0.0567962601706102,0.87837644095775
noxi,026,36102,0.949140943650264,0.04767134361094169,0.06048672504130184,0.953852316384776
noxi,027,33498,0.9289422057550023,0.04713969961442522,0.05989370723508834,0.9290741235048137
noxi,028,58400,0.8937875351610404,0.05384356031748099,0.06892006749865576,0.9078489010147643
noxi,029,41134,0.8743860116847296,0.058202782034676506,0.07176790879952029,0.8828567606362492
noxi,030,32640,0.8355584491467103,0.044569724566513196,0.058200202649233305,0.8423015099627132
noxi,031,47739,0.855677549602937,0.04839139886720684,0.06347597007554258,0.8813807874746608
noxi,038,35402,0.8663520758040376,0.05900751525191899,0.07456196397955148,0.8785862541949235
noxi,039,26818,0.9194970208417603,0.04576161849962653,0.05938036651976909,0.9231278405659754
noxi,040,53792,0.9133099651733014,0.04895120327104162,0.06500064698779695,0.9297791949947278
noxi,042,37144,0.9195967636320423,0.04604450304130327,0.06009376023453804,0.9200375363405118
noxi,043,32000,0.901698082307339,0.04114627467608079,0.05214852862346372,0.9152852896518818
noxi,044,62382,0.9324595310767125,0.03895044148972015,0.05164971728296946,0.9358976562649393
noxi,045,85680,0.9432459648424988,0.05138424636809595,0.06420778883686326,0.9548721822588875
noxi,046,53094,0.9330229131204993,0.04445882818122016,0.057788814322344395,0.9381442596807453
noxi,047,65212,0.8908575563265838,0.047711362335393345,0.06117210277460633,0.8909754072162936
noxi,048,51626,0.8146825617429825,0.049397546907794534,0.06203899800707188,0.8429601762086946
noxi,049,64542,0.8545487964843034,0.052505309876101684,0.06576241288535009,0.877152095092523
noxi,050,70134,0.851952412192553,0.04461200758717575,0.05627834160963937,0.8580153114724742
noxi,052,29720,0.8675569177788355,0.046305352384331075,0.061566128388219794,0.8732306973057709
noxi,055,44930,0.9142000588015168,0.043267204314529364,0.05541936515866119,0.92546436061282
noxi,056,43592,0.9211577336890865,0.049293148455087483,0.06350947477108955,0.9241282635516684
noxi,057,50254,0.8987514853949617,0.04586871520382663,0.05845316320711355,0.9016825029637565
noxi,064,34458,0.8985033434136628,0.037254964340202174,0.047844868586399324,0.8997189326286017
noxi,066,57024,0.9289819036973187,0.050611090635257434,0.06376165152141963,0.9307670859998538
noxi,067,95336,0.926446907959397,0.0330564237417061,0.043365242586608455,0.9283133060256389
noxi,068,50530,0.9406646885835996,0.03897369450510032,0.049413157768679286,0.9484840206979992
noxi,069,95726,0.9148086260352623,0.04383551476804737,0.05674785476410657,0.9164229418503319
noxi,070,52188,0.9394144511300101,0.04523733382163174,0.06055722673537675,0.9495087226323417
noxi,072,43498,0.9415062498265843,0.04248255340887235,0.055357624110455715,0.9457475089985298
noxi,073,45064,0.9205001753535538,0.043724905836790486,0.05507680566156664,0.9229243445257794
noxi,077,45198,0.8805773229187565,0.05430531292012523,0.06864147383803726,0.8809389856206303
