dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108646,0.9101274409342784,0.05652841452796698,0.0732684427421305,0.9130229584017266
noxi,009,45214,0.5781576976042265,0.0669267379243795,0.08517980453951328,0.5923812453554621
noxi,011,72012,0.8676385194075636,0.05565515334979575,0.07824610252453842,0.8699513229566711
noxi,014,53448,0.739213664338429,0.06895621015929405,0.08374178087450282,0.7935646487906844
noxi,058,75506,0.6544805411583443,0.05707120423464738,0.07536340065767567,0.6591458361629617
noxi,062,67790,0.5123968596219703,0.09246183747888245,0.1153127037836363,0.6280406908012032
noxi,063,31996,0.7797245320072815,0.08902216027657435,0.11518247872459768,0.8184287619299024
noxi,074,47718,0.7938394132275156,0.0539748297921985,0.06993353800996105,0.8034949937582366
noxi,075,49752,0.8603731721346195,0.051936678865875885,0.07038606944766392,0.8785305760513936
noxi,076,25070,0.7391035187764088,0.06053703961294705,0.08026408957755742,0.7902339304993053
