dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,001,53252,0.7951906264650244,0.09977979184754057,0.1321283807683496,0.8076865167483496
noxi,003,38074,0.7304256780434245,0.0955917599554437,0.12291160044723706,0.7308507748062132
noxi,013,67744,0.7485999306139824,0.08447964526981014,0.10717355161722596,0.7513167742309553
noxi,020,33130,0.7119451915178228,0.09086722297844983,0.11244567883803011,0.7592328828675436
noxi,021,43282,0.8184327501596191,0.07533655982651766,0.09830131591115635,0.8209475438693251
noxi,022,52894,0.25781013648820295,0.08395652835194564,0.10558562565515017,0.2655048291159969
noxi,023,61748,0.5857503758165845,0.07619037032743167,0.10218652717182221,0.5882162299128093
noxi,026,36102,0.79837204111855,0.08757773300644288,0.11577239372140763,0.8063249152333466
noxi,027,33498,0.7617095995876882,0.08143980127062593,0.11015145366365513,0.7676548084133457
noxi,028,58400,0.7107673723917405,0.09011456340525861,0.12166967034551043,0.7295774974344634
noxi,029,41134,0.5792051205986986,0.10449899062416496,0.13582440843184573,0.5801919292811905
noxi,030,32640,0.5638896234779175,0.08864710850900212,0.11358461887107812,0.5878863780913679
noxi,031,47739,0.6859074972895287,0.08110588078552067,0.11007402924156104,0.7545952912022723
noxi,038,35402,0.6875364997826751,0.09455664100274436,0.12166120230482741,0.7070629713110682
noxi,039,26818,0.7563141131822906,0.08361768293961881,0.11048652245272006,0.7708885333339078
noxi,040,53792,0.7849159053621432,0.08470495692718481,0.10999370735488867,0.799657506095183
noxi,042,37144,0.676672553031208,0.09701614652996718,0.12990131099351976,0.6921858384656729
noxi,043,32000,0.7571759090457509,0.07677026128993748,0.0984454198527619,0.7804057543431533
noxi,044,62382,0.7190920160417297,0.08447348291486438,0.11231731689590779,0.7317847220540987
noxi,045,85680,0.8794294606327163,0.08177168948961079,0.10409860146827736,0.8860974308537672
noxi,046,53094,0.7304364901080311,0.09389792317085677,0.12427574795971402,0.7334663713380473
noxi,047,65212,0.6383734214770275,0.1046155185561456,0.12750504660315834,0.6611954799891155
noxi,048,51626,0.5361083053249979,0.08144235610182594,0.10727951637273138,0.5693735085783098
noxi,049,64542,0.6856770204449576,0.0782609066254651,0.10076196950268736,0.6873238186906956
noxi,050,70134,0.5830370814679561,0.0869069894558753,0.11207392631295103,0.6006111992088091
noxi,052,29720,0.6708942429150884,0.08874569860514828,0.11558058519740329,0.695827754960918
noxi,055,44930,0.7267974177804095,0.08404910990217153,0.10958354158430454,0.7615144652152249
noxi,056,43592,0.771877860610031,0.08298022273645937,0.10935064947517754,0.7737674446998003
noxi,057,50254,0.7157343708979511,0.08646627488432396,0.10769591270258548,0.7294374616710517
noxi,064,34458,0.6607528680789765,0.07444307891136515,0.0961953989657163,0.6741891202796936
noxi,066,57024,0.7325766717746369,0.09414831421648288,0.12493495943707657,0.7387894030075957
noxi,067,95336,0.7864765078070834,0.0709994710544729,0.08937533277805394,0.8432368939064023
noxi,068,50530,0.8361318767053362,0.07180426293284042,0.0906229702512895,0.8654185195223324
noxi,069,95726,0.7613441895360531,0.0886033460094597,0.11102000255485396,0.8003700947984305
noxi,070,52188,0.8288939495214933,0.08409636010368704,0.10628955257158204,0.8532443843715586
noxi,072,43498,0.8593463370820611,0.06741565572460338,0.09019838808980718,0.871102181156995
noxi,073,45064,0.7758305328533966,0.08136456093539102,0.10371330021248344,0.8041586302671041
noxi,077,45198,0.6082724348945753,0.10485115882629573,0.13238345835781562,0.612516509876479
