dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108646,0.8517886097923328,0.07865505874971908,0.09938829428315193,0.8701530114352058
noxi,009,45214,0.40993107690327424,0.13610498128549406,0.16286623763555674,0.5840606636014467
noxi,011,72012,0.7642569737399233,0.08811844587087955,0.10896572404983919,0.7857369371198941
noxi,014,53448,0.3788322997474223,0.10893191207674105,0.1340214598079528,0.4978575838934666
noxi,058,75506,0.5505221400676408,0.09108052837605636,0.11251998032945028,0.6184605003862378
noxi,062,67790,0.3000964800380874,0.14211457085197807,0.17246088424079822,0.4545239880386681
noxi,063,31996,0.7350062414133802,0.10227313779236509,0.13498750044582034,0.7541528593466255
noxi,074,47718,0.6671645859296189,0.09439455930028365,0.11462209713861873,0.7515397495805529
noxi,075,49752,0.6921368219147026,0.08723269897498827,0.12144169241408018,0.7609815523812151
noxi,076,25070,0.5899117458886715,0.08392986726340115,0.10966475439285144,0.6423809532479312
