dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,001,53286,0.9331446693383784,0.061445122370393686,0.0768553611460236,0.9430789724738079
noxi,003,38076,0.9052328952960987,0.06093430888702472,0.07569064179140822,0.926470539695114
noxi,013,67740,0.845945417930397,0.06568037035881662,0.08160495613905586,0.9137467819460366
noxi,020,33130,0.8804491768014335,0.04859846768036474,0.061878812507200544,0.9062581819637253
noxi,021,43282,0.9014729995241597,0.057131975857862935,0.07178082896642037,0.9353869481901995
noxi,022,52892,0.7423018700185933,0.04868531443045819,0.061296611243333944,0.8114806811036552
noxi,023,61744,0.8281120845418464,0.05459901242305787,0.06753460087243604,0.8667876335608571
noxi,026,36102,0.9473508866802283,0.04895627086246504,0.06321085329900644,0.9495686047830115
noxi,027,33500,0.9088563642755192,0.05140832101973816,0.06539406296152299,0.9110047801679765
noxi,028,58400,0.9161591720800499,0.050280997816912594,0.06461727580758252,0.9197493964648299
noxi,029,41132,0.8972291241036499,0.05350288570847489,0.0689822734194618,0.8972591037461976
noxi,030,32640,0.7770149583992909,0.05287362067764322,0.06542414712117996,0.796640572407168
noxi,031,47739,0.8743111837805428,0.041922921184127715,0.055675914585293536,0.8786965917605386
noxi,038,35400,0.8685429662005394,0.056934489378903594,0.07207954695897888,0.8713036840157562
noxi,039,26822,0.8843452590417654,0.052629516810558205,0.06723789819481754,0.8894373932204321
noxi,040,53796,0.9295035083151979,0.04487013076791189,0.057392252274658793,0.9299553403854828
noxi,042,37146,0.8785204954937564,0.056388020789124145,0.0726374535466635,0.8788354137427025
noxi,043,32002,0.8516752170823274,0.05045295586036217,0.06537545152947263,0.8652043246002408
noxi,044,62384,0.9056924537963111,0.046072032195962453,0.061572083105553684,0.9131725599551791
noxi,045,85678,0.9346575175833125,0.05427135735081724,0.07029599314819988,0.9429906382694229
noxi,046,53094,0.9057384671211223,0.05234037671401728,0.06856487476840271,0.9124113462759298
noxi,047,65212,0.8695758323857085,0.050586294538135755,0.06640606613057344,0.8728975883837787
noxi,048,51626,0.8454368105893514,0.04235323360304709,0.0536362203998014,0.8538259931922136
noxi,049,64540,0.8559950802456048,0.04836532138157789,0.06386811589463977,0.8640668307209622
noxi,050,70136,0.8227328906210518,0.0462536393633758,0.05969849651131956,0.8310336820125649
noxi,052,29718,0.9001560610829834,0.04212746054520883,0.05614388547498167,0.9002072347539051
noxi,055,44930,0.9173078874851547,0.041012242560504154,0.05151855192927674,0.934735968716788
noxi,056,43592,0.9110302246361195,0.05074982204992161,0.06351987941097252,0.9222526545786385
noxi,057,50250,0.8786125512424813,0.04904369896451076,0.06254414313567071,0.8877792853307991
noxi,064,34458,0.8790972839242529,0.03914339133379437,0.05214398961457622,0.880061196570341
noxi,066,57024,0.8731949529722448,0.06295270383567374,0.08125956605211235,0.9035106988373436
noxi,067,95334,0.8713008632664944,0.04493053601085821,0.0571936412824199,0.9103428460490623
noxi,068,50532,0.9275543956857865,0.04189868006838441,0.05418116756866626,0.9354476914140191
noxi,069,95728,0.9045430552828028,0.0438705084719226,0.05609850664993691,0.9110698595132765
noxi,070,52188,0.9235392413575291,0.05270310813676221,0.06568761735596823,0.9472679091675102
noxi,072,43498,0.9357241220064053,0.04387537928850105,0.0562681281244297,0.9424640351054517
noxi,073,45062,0.8804040364609853,0.05145231619399086,0.06461563102059123,0.9079048792255661
noxi,077,45196,0.9236604519125013,0.04226262865314356,0.054937118117162974,0.9305360977559406
