dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8865451020020154,0.06220701813081425,0.07832432173318428,0.9227746777302774
noxi,009,45214,0.3243148224573494,0.08172261839174813,0.09848226277953026,0.429555196314934
noxi,011,72010,0.8328697093920686,0.07296474407373793,0.09415836843930897,0.8464868938890798
noxi,014,53448,0.5296604913137501,0.08159364295177286,0.10035365655022814,0.6561131449093474
noxi,058,75508,0.6504999569684473,0.07469897859961411,0.09084820613104044,0.6872875108153556
noxi,062,67788,0.5629825195972731,0.0668051123401444,0.08541777345663226,0.6087720605870665
noxi,063,31992,0.7749016330264613,0.08073194672161695,0.1098521565911679,0.7843478192502911
noxi,074,47716,0.7988760227982915,0.06068727713125123,0.07653987734133551,0.827212004134647
noxi,075,49752,0.3056747821007862,0.13011187395778742,0.15647354169875036,0.4476397547950052
noxi,076,25068,0.6603596752581529,0.05837065984841017,0.0744283373971411,0.6789385461845379
