corpus,branch,source_mode,smoother,param,dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,metadata_head,single_visual_videomae,identity,none,noxi,007,108642,0.8865698684498623,0.062191740056179216,0.07830654836471679,0.9228442095982079
noxi,metadata_head,single_visual_videomae,identity,none,noxi,009,45214,0.3243087956450804,0.08172236502852524,0.09848176046329145,0.4295517308114918
noxi,metadata_head,single_visual_videomae,identity,none,noxi,011,72010,0.8350908481822106,0.07213344680831298,0.09263768076550717,0.8485696769233197
noxi,metadata_head,single_visual_videomae,identity,none,noxi,014,53448,0.5296604913137503,0.08159364295177286,0.10035365655022815,0.6561131449093479
noxi,metadata_head,single_visual_videomae,identity,none,noxi,058,75506,0.6505039371044834,0.07469823159117536,0.09084785902644893,0.6872956344738556
noxi,metadata_head,single_visual_videomae,identity,none,noxi,062,67788,0.5629825195972732,0.0668051123401444,0.08541777345663226,0.6087720605870665
noxi,metadata_head,single_visual_videomae,identity,none,noxi,063,31992,0.773638274498726,0.08025275610145732,0.10958970571743618,0.7846439955031653
noxi,metadata_head,single_visual_videomae,identity,none,noxi,074,47716,0.7989669750427458,0.06068000903251543,0.07651158475995189,0.8272561910693733
noxi,metadata_head,single_visual_videomae,identity,none,noxi,075,49752,0.30567478210078625,0.13011187395778742,0.15647354169875036,0.4476397547950054
noxi,metadata_head,single_visual_videomae,identity,none,noxi,076,25068,0.6603596752581528,0.05837065984841017,0.0744283373971411,0.6789385461845375
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,007,108642,0.8832316112887219,0.06276087101262756,0.07902550777007829,0.9223465064322818
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,009,45214,0.3167120938924722,0.08125566321655266,0.09758548559788295,0.42921011440067586
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,011,72010,0.8272480608815536,0.07319451699145134,0.09402096501742467,0.8406759860193814
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,014,53448,0.505721317973507,0.08222452742557461,0.1015587848210989,0.6342115593618752
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,058,75506,0.6542192680567421,0.07391124981378852,0.08963582322455083,0.6885957812838734
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,062,67788,0.5657058133153621,0.06564249435626894,0.08409743904720746,0.6101670722811987
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,063,31992,0.779905155294609,0.07859739342135831,0.10737236142894845,0.7931618822211041
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,074,47716,0.7998664053763908,0.060059444170963094,0.07578551830996255,0.825769114834495
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,075,49752,0.29924278849810887,0.12950213882541922,0.15596325662370256,0.4445163331534124
noxi,metadata_head,single_visual_videomae,ema,0.05,noxi,076,25068,0.6534535928330115,0.05797631024906275,0.07423550104833591,0.6765585660101768
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,007,108642,0.8859939822212536,0.062186370626652984,0.07831322113859449,0.9235911376477892
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,009,45214,0.3222297950846159,0.08135592839151261,0.09789091024115408,0.4315224356659057
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,011,72010,0.8318354143117902,0.07254198556867925,0.09324276307788343,0.8452825971272934
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,014,53448,0.5214056917873833,0.08169512126068984,0.10069888364351076,0.6490314547988297
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,058,75506,0.6536642766079473,0.07420759289986359,0.09007914373227471,0.6893406260565773
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,062,67788,0.565720676779844,0.06615997473125991,0.08464568111596141,0.6109786161441635
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,063,31992,0.7771670126555968,0.07936077917272197,0.1084119835121897,0.7891869949742265
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,074,47716,0.8010325335282137,0.060244388600062315,0.07583256179517318,0.828131544102509
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,075,49752,0.3032381316541459,0.12984501823316852,0.15625068234358042,0.4465880868824393
noxi,metadata_head,single_visual_videomae,ema,0.1,noxi,076,25068,0.6596289818454324,0.05799964441758912,0.07410463923059639,0.6801216247747854
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,007,108642,0.8864563379436311,0.06215067002189783,0.0782739028948785,0.9232328071551456
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,009,45214,0.32355789245917865,0.08155621106434305,0.09822840994312623,0.43042199004369913
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,011,72010,0.8337154909310731,0.07231711300538728,0.09291661041866638,0.8471838518789745
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,014,53448,0.5267529703656787,0.08161354799401815,0.10048426874812573,0.6535874660907379
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,058,75506,0.6519768256886834,0.07447757967225958,0.0905201063365061,0.6883587862303844
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,062,67788,0.5643285302870302,0.06653399812205617,0.08509348474155526,0.6099467543570217
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,063,31992,0.775155841402878,0.07987958819721684,0.10909332648178154,0.7865615749361553
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,074,47716,0.8000996284724236,0.060486868812958505,0.0761810423125223,0.8279172538991514
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,075,49752,0.30470776917881587,0.13004060369835352,0.15642260910811104,0.447056071943446
noxi,metadata_head,single_visual_videomae,ema,0.2,noxi,076,25068,0.6605813895800176,0.05820088223887758,0.07426591732216532,0.6798172989122957
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,007,108642,0.886466327036356,0.06218986152118412,0.0783156715269257,0.9229271807578676
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,009,45214,0.323888727495666,0.08166098934131807,0.09839120787305872,0.4297012227172644
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,011,72010,0.8344198111946071,0.07223338293819499,0.09278582537066336,0.8478947244113212
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,014,53448,0.5283834301502393,0.0816185066522083,0.10043009149459042,0.6549038420797456
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,058,75506,0.6510475166877014,0.0746141700495307,0.09072990748931004,0.6876987392670625
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,062,67788,0.5634813057344317,0.06670080413327205,0.08529884898863481,0.6092158131736893
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,063,31992,0.7742590424304143,0.08010514257958173,0.10938663918357386,0.7854277519852552
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,074,47716,0.7994154122293284,0.06061314602119098,0.0763820135262017,0.8275223084598495
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,075,49752,0.30522358837975044,0.13010482551021726,0.15647401326702218,0.4472587552437495
noxi,metadata_head,single_visual_videomae,ema,0.35,noxi,076,25068,0.6604284458293154,0.05831278825742265,0.07437598322997707,0.6792227045956037
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,007,108642,0.8864896797506001,0.06219851786730533,0.07832193286026175,0.9228501469243394
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,009,45214,0.32405095537147993,0.08169575402175931,0.09844320153508657,0.4295367687811187
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,011,72010,0.8347163182203571,0.07219187287837847,0.09272369652095114,0.8481932104451013
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,014,53448,0.52897327603946,0.08161362092365332,0.10040161934398222,0.6554261510518933
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,058,75506,0.6507386441878262,0.0746600192542303,0.0907972295615519,0.687470695460891
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,062,67788,0.5631961757101602,0.06675725280266635,0.08536533765323968,0.6089629012404227
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,063,31992,0.7739420075010484,0.08018248927581134,0.10948990829231563,0.7850286943016667
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,074,47716,0.7991712105932403,0.06065250641134431,0.07645196582253322,0.8273742009114373
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,075,49752,0.30542781300602523,0.1301158252005136,0.156480899780203,0.4473993493608742
noxi,metadata_head,single_visual_videomae,ema,0.5,noxi,076,25068,0.6603608046634738,0.05834750808673951,0.0744100290278642,0.6790281353479974
noxi,metadata_head,single_visual_videomae,ema,0.7,noxi,007,108642,0.8865274974142042,0.06219714881948921,0.07831653934812784,0.9228342893898637
noxi,metadata_head,single_visual_videomae,ema,0.7,noxi,009,45214,0.32418755124393317,0.08171277457373466,0.09846852771519612,0.4295143832236396
noxi,metadata_head,single_visual_videomae,ema,0.7,noxi,011,72010,0.8349271702297807,0.07215917705128251,0.09267609845640153,0.8484051460055623
noxi,metadata_head,single_visual_videomae,ema,0.7,noxi,014,53448,0.5293646826942099,0.0816044323227416,0.10037644292555888,0.6558060680235566
noxi,metadata_head,single_visual_videomae,ema,0.7,noxi,058,75506,0.6505843868578697,0.07468422700096687,0.09083053418846125,0.6873557115383364
