scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CR,baseline,none,task,65346,0.7003795182566646,0.4054097476920449,5,65341,25,2258,0.00038260816332777274,0.03455716931176443,90.32
CR,baseline,none,social,17295,0.20427869326394912,0.06197379483188226,4,17291,6,386,0.0003470013301717657,0.02232375224105026,64.33333333333333
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.7028739326049032,0.4076986798755909,5,65341,25,1007,0.00038260816332777274,0.015411456818842687,40.28
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.20422087308470657,0.06171522161503112,4,17291,6,172,0.0003470013301717657,0.009947371464923948,28.666666666666668
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.7044807639335231,0.40902955624931436,5,65341,25,845,0.00038260816332777274,0.01293215592047872,33.8
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.20398959236773634,0.06120413490502859,4,17291,6,156,0.0003470013301717657,0.009022034584465908,26.0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.707694426590763,0.41280862539264956,5,65341,25,684,0.00038260816332777274,0.010468159348647864,27.36
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.2049725354148598,0.06154754438052135,4,17291,6,129,0.0003470013301717657,0.007460528598692962,21.5
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.7156673706118202,0.42462571410147865,5,65341,25,542,0.00038260816332777274,0.008294944980946113,21.68
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.2054929170280428,0.06302846452075582,4,17291,6,111,0.0003470013301717657,0.006419524608177665,18.5
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.7250941144063906,0.4365098715590736,5,65341,25,399,0.00038260816332777274,0.0061064262867112536,15.96
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.2039317721884938,0.06014579517364921,4,17291,6,97,0.0003470013301717657,0.005609854837776878,16.166666666666668
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,65346,0.7387139228108835,0.45644766213149063,5,65341,25,282,0.00038260816332777274,0.0043158200823372765,11.28
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,17295,0.20277536860364268,0.06083055512537061,4,17291,6,67,0.0003470013301717657,0.00387484818691805,11.166666666666666
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,65346,0.753466164723166,0.4784182694293794,5,65341,25,217,0.00038260816332777274,0.0033210388576850676,8.68
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,17295,0.20277536860364268,0.05947795465430612,4,17291,6,57,0.0003470013301717657,0.003296512636631774,9.5
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.7044195513114804,0.4091920762407326,5,65341,25,860,0.00038260816332777274,0.013161720818475383,34.4
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.20422087308470657,0.06135544805518078,4,17291,6,159,0.0003470013301717657,0.00919553524955179,26.5
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.7079851865454657,0.4134350943695633,5,65341,25,698,0.00038260816332777274,0.010682419920111416,27.92
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.2049725354148598,0.06170476464096169,4,17291,6,133,0.0003470013301717657,0.007691862818807472,22.166666666666668
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.7153919138126281,0.42379249330958,5,65341,25,553,0.00038260816332777274,0.008463292572810333,22.12
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.2054929170280428,0.062479155845327025,4,17291,6,113,0.0003470013301717657,0.0065351917182349195,18.833333333333332
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.7245125944969852,0.43737608946800305,5,65341,25,415,0.00038260816332777274,0.006351295511241028,16.6
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,17295,0.2039317721884938,0.060303279292996385,4,17291,6,99,0.0003470013301717657,0.005725521947834133,16.5
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,65346,0.7381630092124997,0.45670582137151944,5,65341,25,292,0.00038260816332777274,0.004468863347668386,11.68
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,17295,0.20271754842440012,0.05906236350617915,4,17291,6,73,0.0003470013301717657,0.004221849517089815,12.166666666666666
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,task,65346,0.7585315091971965,0.4855451103074442,5,65341,25,189,0.00038260816332777274,0.0028925177147579623,7.56
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,social,17295,0.20277536860364268,0.05952520397232238,4,17291,6,53,0.0003470013301717657,0.0030651784165172634,8.833333333333334
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,task,65346,0.7742019404401188,0.5130099164224847,5,65341,25,124,0.00038260816332777274,0.001897736490105753,4.96
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,social,17295,0.20254408788667244,0.05734226709366867,4,17291,6,39,0.0003470013301717657,0.002255508646116477,6.5
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,65346,0.7072659382364643,0.4125966223292142,5,65341,25,744,0.00038260816332777274,0.011386418940634517,29.76
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,17295,0.20474125469788956,0.06161483638641727,4,17291,6,138,0.0003470013301717657,0.007981030593950611,23.0
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,65346,0.7119334006672176,0.41915191999965823,5,65341,25,607,0.00038260816332777274,0.009289726205598323,24.28
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,17295,0.20583983810349812,0.06311853047189435,4,17291,6,125,0.0003470013301717657,0.007229194378578451,20.833333333333332
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,65346,0.7195696752670401,0.4298320248822865,5,65341,25,463,0.00038260816332777274,0.007085903184830352,18.52
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,17295,0.20670714079213645,0.06511664520352582,4,17291,6,102,0.0003470013301717657,0.005899022612920016,17.0
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,65346,0.7330364521164264,0.44971598749068936,5,65341,25,322,0.00038260816332777274,0.004927993143661713,12.88
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,17295,0.20271754842440012,0.05895200716204389,4,17291,6,79,0.0003470013301717657,0.004568850847261581,13.166666666666666
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,65346,0.7531754047684632,0.4778972512870822,5,65341,25,217,0.00038260816332777274,0.0033210388576850676,8.68
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,17295,0.20277536860364268,0.05880807891540174,4,17291,6,57,0.0003470013301717657,0.003296512636631774,9.5
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,65346,0.7760536222569093,0.5160653812959631,5,65341,25,120,0.00038260816332777274,0.0018365191839733092,4.8
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,17295,0.20254408788667244,0.05698623695876766,4,17291,6,37,0.0003470013301717657,0.0021398415360592217,6.166666666666667
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,65346,0.7987328987237168,0.5513251729766787,5,65341,25,77,0.00038260816332777274,0.00117843314304954,3.08
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,17295,0.20254408788667244,0.05531325797148191,4,17291,6,27,0.0003470013301717657,0.0015615059857729454,4.5
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,65346,0.7167232883420561,0.4253407949544319,5,65341,25,512,0.00038260816332777274,0.007835815184952787,20.48
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,17295,0.2054929170280428,0.06253411569455065,4,17291,6,109,0.0003470013301717657,0.00630385749812041,18.166666666666668
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,task,65346,0.7270376151562452,0.4406199721015417,5,65341,25,370,0.00038260816332777274,0.005662600817251037,14.8
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,social,17295,0.2039317721884938,0.05956264467612077,4,17291,6,95,0.0003470013301717657,0.005494187727719623,15.833333333333334
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,task,65346,0.7420806170232301,0.4613838712637256,5,65341,25,254,0.00038260816332777274,0.003887298939410171,10.16
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,social,17295,0.20271754842440012,0.05915854867680605,4,17291,6,63,0.0003470013301717657,0.0036435139668035393,10.5
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,task,65346,0.768004162458299,0.5035556929517555,5,65341,25,149,0.00038260816332777274,0.0022803446534335257,5.96
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,social,17295,0.20069384215091066,0.053909832864173626,4,17291,6,45,0.0003470013301717657,0.0026025099762882423,7.5
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,task,65346,0.7985951703241209,0.551211095251923,5,65341,25,77,0.00038260816332777274,0.00117843314304954,3.08
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,social,17295,0.20254408788667244,0.05530531502801201,4,17291,6,27,0.0003470013301717657,0.0015615059857729454,4.5
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,task,65346,0.80615492914639,0.5564332401064332,5,65341,25,44,0.00038260816332777274,0.0006733903674568801,1.76
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,social,17295,0.19589476727377855,0.05455377136781739,4,17291,6,10,0.0003470013301717657,0.0005783355502862761,1.6666666666666667
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,task,65346,0.8217335414562483,0.5849828047446874,5,65341,25,31,0.00038260816332777274,0.00047443412252643825,1.24
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,social,17295,0.19589476727377855,0.05885269764372676,4,17291,6,7,0.0003470013301717657,0.00040483488520039326,1.1666666666666667
CR,baseline,none,mean,82641,0.4523291057603068,0.23369177126196358,9,82632,31,2644,0.0003751573240391132,0.031997289185787585,85.29032258064517
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,mean,82641,0.4535474028448049,0.234706950745311,9,82632,31,1179,0.0003751573240391132,0.014268080162648853,38.03225806451613
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,mean,82641,0.45423517815062975,0.23511684557717147,9,82632,31,1001,0.0003751573240391132,0.01211395101171459,32.29032258064516
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,mean,82641,0.4781207666634043,0.26894811204184277,9,82632,31,274,0.0003751573240391132,0.003315906670539258,8.838709677419354
