scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
CR,baseline,none,task,0,47407,36816,0.9135973489787049,0.709494378467315,0.7987129406456669,33635
CR,baseline,none,task,1,4384,1530,0.4549019607843137,0.15875912408759124,0.2353736895502198,696
CR,baseline,none,task,2,1298,124,0.0,0.0,nan,0
CR,baseline,none,task,3,12257,26876,0.42335168923947014,0.9282858774577792,0.5815041013977973,11378
CR,baseline,none,social,0,954,8729,0.038492381716118684,0.3522012578616352,0.06939997934524424,336
CR,baseline,none,social,1,3077,8558,0.3449404066370647,0.95937601559961,0.5074344649763644,2952
CR,baseline,none,social,2,11812,8,1.0,0.0006772773450728074,0.0013536379018612523,8
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0
CR,baseline,none,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,36987,0.9135912617946846,0.7127850317463665,0.8007915254638955,33791
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,1374,0.5087336244541485,0.1594434306569343,0.24279263633205975,699
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,117,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,26868,0.4247431889236266,0.9310598025618014,0.5833610223642173,11412
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,8755,0.03872073101085094,0.3553459119496855,0.06983211453290761,339
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,8540,0.34613583138173304,0.9606759831004225,0.5089093569768443,2956
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,37110,0.9129884128267314,0.7146834855612041,0.8017558597678573,33881
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,1263,0.5273159144893111,0.15191605839416059,0.23587745705684435,666
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,108,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,26865,0.4250139586823004,0.9315493187566288,0.5837124891365473,11418
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,8768,0.038663321167883215,0.3553459119496855,0.06973873688541452,339
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,3077,8527,0.3464289902662132,0.9600259993500162,0.509134781109962,2954
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,47407,37239,0.9116517629367061,0.7161178728879701,0.802140680008506,33949
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,4384,1132,0.5477031802120141,0.14142335766423358,0.2248005801305294,620
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,1298,108,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,12257,26867,0.4254289649011799,0.9325283511462837,0.5842960842449647,11430
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,954,8762,0.038689796850034236,0.3553459119496855,0.06978180321119802,339
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,3077,8533,0.34489628501113323,0.956451088722782,0.5069767441860465,2943
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,0,47407,37486,0.9107933628554661,0.7201890016242327,0.8043537158540751,34142
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,1,4384,967,0.5977249224405378,0.13184306569343066,0.2160343860960568,578
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,2,1298,86,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,3,12257,26807,0.4276867982243444,0.9353838622827771,0.5869854597583454,11465
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,0,954,8847,0.03831807392336385,0.3553459119496855,0.0691766146311601,339
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,1,3077,8448,0.3494318181818182,0.95937601559961,0.5122776572668113,2952
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,0,47407,37387,0.9122689704977666,0.7194507140295737,0.8044672972144256,34107
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,1,4384,959,0.6590198123044838,0.14416058394160583,0.23657121467340445,632
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,2,1298,78,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,3,12257,26922,0.42719708788351535,0.9383209594517419,0.587100232267286,11501
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,0,954,8871,0.038214406493067295,0.3553459119496855,0.06900763358778625,339
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,1,3077,8424,0.35529439696106363,0.972700682482938,0.5204764803060603,2993
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,0,47407,38217,0.9101970327341236,0.7337523994346826,0.8125058394842568,34785
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,1,4384,762,0.6824146981627297,0.11861313868613138,0.20209871745044694,520
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,2,1298,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,3,12257,26367,0.4353168733644328,0.9364444807049033,0.5943454846727424,11478
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,0,954,8876,0.035038305543037405,0.3259958071278826,0.06327568667344863,311
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,1,3077,8419,0.3555054044423328,0.972700682482938,0.5207028531663187,2993
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,0,47407,38379,0.9113317178665415,0.7377813403083933,0.8154244282283821,34976
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,1,4384,693,0.733044733044733,0.11587591240875912,0.20011818002757534,508
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,2,1298,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,3,12257,26274,0.4384182081144858,0.9397895080362242,0.5979081778308374,11519
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,0,954,9092,0.03420589529256489,0.3259958071278826,0.06191519012542305,311
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,1,3077,8203,0.3688894306960868,0.9834254143646409,0.5365248226950354,3026
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,0,47407,37090,0.9129414936640604,0.7142616069356846,0.8014722416180455,33861
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,1,4384,1289,0.5228859581070597,0.15374087591240876,0.23761678124449145,674
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,2,1298,108,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,3,12257,26859,0.4251089020440076,0.9315493187566288,0.5838020247469067,11418
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,0,954,8772,0.03864569083447333,0.3553459119496855,0.06971005552128316,339
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,1,3077,8523,0.3465915757362431,0.9600259993500162,0.5093103448275862,2954
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,0,47407,37211,0.9115852839214211,0.7155272428122429,0.8017443097213358,33921
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,1,4384,1143,0.5424321959755031,0.14142335766423358,0.22435317532115073,620
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,2,1298,108,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,3,12257,26884,0.4251599464365422,0.9325283511462837,0.5840423085766843,11430
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,0,954,8760,0.0386986301369863,0.3553459119496855,0.06979617047560223,339
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,1,3077,8535,0.34481546572934973,0.956451088722782,0.5068894247330348,2943
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,3,1452,0,nan,0.0,nan,0
