scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CC,baseline,none,task,215692,0.5882693841218033,0.38453546851655324,14,215678,148,3993,0.0006862081436215099,0.018513710253247898,26.97972972972973
CC,baseline,none,social,184616,0.5789422368592104,0.3230605962767158,14,184602,88,2941,0.00047670122750566085,0.015931571705615325,33.42045454545455
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,215692,0.5887469169000241,0.3851435128395272,14,215678,148,2368,0.0006862081436215099,0.010979330297944158,16.0
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,184616,0.5799497335008883,0.3244249164734877,14,184602,88,1744,0.00047670122750566085,0.009447351599657643,19.818181818181817
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,215692,0.5891039074235483,0.38547703373219594,14,215678,148,2085,0.0006862081436215099,0.009667189050343567,14.087837837837839
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,184616,0.5794405685314382,0.3235396332706122,14,184602,88,1526,0.00047670122750566085,0.008266432649700436,17.34090909090909
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,215692,0.5901377890695992,0.3864746414367691,14,215678,148,1775,0.0006862081436215099,0.008229861181947162,11.993243243243244
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,184616,0.5805184816050614,0.32483037493322453,14,184602,88,1294,0.00047670122750566085,0.007009674868094604,14.704545454545455
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,215692,0.5929519870927062,0.3901049268390648,14,215678,148,1492,0.0006862081436215099,0.0069177199343465725,10.08108108108108
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,184616,0.5805672314425618,0.32464795447057004,14,184602,88,1030,0.00047670122750566085,0.005579571185577621,11.704545454545455
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,215692,0.5958032750403353,0.3928360112552932,14,215678,148,1173,0.0006862081436215099,0.005438663192351561,7.925675675675675
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,184616,0.5815855613814621,0.32565553376712686,14,184602,88,772,0.00047670122750566085,0.004181969859481479,8.772727272727273
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,215692,0.6025490050627746,0.3999964589895964,14,215678,148,869,0.0006862081436215099,0.004029154573020892,5.871621621621622
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,184616,0.5826472245092517,0.3258904385778456,14,184602,88,571,0.00047670122750566085,0.003093140919383322,6.488636363636363
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,215692,0.6037080652040873,0.40204995971753177,14,215678,148,729,0.0006862081436215099,0.0033800387614870316,4.925675675675675
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,184616,0.5864280452398491,0.330834506564098,14,184602,88,445,0.00047670122750566085,0.0024105914345456713,5.056818181818182
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,215692,0.5890297275745043,0.3854338397856458,14,215678,148,2108,0.0006862081436215099,0.009773829505095559,14.243243243243244
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,184616,0.5796030679897733,0.3238411878940688,14,184602,88,1560,0.00047670122750566085,0.008450612669418532,17.727272727272727
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,215692,0.5896463475696827,0.38571887946619426,14,215678,148,1805,0.0006862081436215099,0.008368957427275846,12.195945945945946
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,184616,0.5798793170689431,0.323971278130648,14,184602,88,1325,0.00047670122750566085,0.007177603709602279,15.056818181818182
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,215692,0.5927387200267047,0.38976766733094304,14,215678,148,1507,0.0006862081436215099,0.006987268057010915,10.182432432432432
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,184616,0.5803180656064479,0.3242504900422123,14,184602,88,1060,0.00047670122750566085,0.0057420829676818235,12.045454545454545
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,215692,0.5959377260167276,0.39309785602159625,14,215678,148,1199,0.0006862081436215099,0.005559213271636421,8.10135135135135
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,184616,0.5816397278675738,0.3261161970743245,14,184602,88,812,0.00047670122750566085,0.004398652235620416,9.227272727272727
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,215692,0.6026324573929492,0.400952818433086,14,215678,148,893,0.0006862081436215099,0.00414043156928384,6.033783783783784
