scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
both,baseline,none,task,0,172300,152345,0.7675145229577603,0.6786244921648288,0.7203375995317962,116927
both,baseline,none,task,1,23686,14753,0.013624347590320612,0.008486025500295534,0.010458128463279481,201
both,baseline,none,task,2,27940,29531,0.2816023839355254,0.29763779527559053,0.2893981312314037,8316
both,baseline,none,task,3,57112,84409,0.4001587508441043,0.5914168651071579,0.47734258519936973,33777
both,baseline,none,social,0,14335,7406,0.43478260869565216,0.22462504359958144,0.29621452555080263,3220
both,baseline,none,social,1,16812,18234,0.12959306789514094,0.14055436592909826,0.13485133824116874,2363
both,baseline,none,social,2,72606,70383,0.5282383530113806,0.5120651185852408,0.5200260159872437,37179
both,baseline,none,social,3,4152,2842,0.028149190710767064,0.019267822736030827,0.022876751501286815,80
both,baseline,none,social,4,94006,103046,0.6081167633872251,0.6665957492074974,0.636014859021984,62664
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,172300,152950,0.7684145145472376,0.6821183981427742,0.7226994619523444,117529
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,23686,14284,0.01225147017642117,0.007388330659461285,0.009217803529101922,175
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,27940,29490,0.2831807392336385,0.298890479599141,0.2908236113529514,8351
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,57112,84314,0.40106032212918374,0.5920822244011766,0.4782006137485328,33815
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,14335,7139,0.44684129429892144,0.22253226369026857,0.2971034739685201,3190
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,16812,18142,0.13025024804321464,0.14055436592909826,0.1352062710991589,2363
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,72606,70307,0.526362951057505,0.5096961683607415,0.5178955028583824,37007
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,4152,2829,0.02863202545068929,0.019508670520231215,0.023205844434894714,81
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,94006,103494,0.6070206968519914,0.6682871306086845,0.6361822784810126,62823
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,172300,153700,0.7683929733246584,0.6854439930354034,0.7245521472392638,118102
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,23686,13917,0.011496730617230725,0.006755045174364604,0.008509959311757041,160
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,27940,29301,0.2856216511381864,0.2995347172512527,0.2924127810485491,8369
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,57112,84120,0.40218735140275796,0.5923798851379745,0.47909822136626257,33832
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,14335,6990,0.457653791130186,0.22316009766306244,0.3000234466588511,3199
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,16812,18036,0.13195830561100022,0.1415655484177968,0.13659320477502296,2380
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,72606,70214,0.5248525934998718,0.5075613585654078,0.5160621761658032,36852
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,4152,2755,0.0294010889292196,0.019508670520231215,0.023454466483277835,81
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,94006,103916,0.6058258593479349,0.6696912963002362,0.6361596992754721,62955
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,172300,154528,0.768715054876786,0.6894254207777133,0.7269144626531387,118788
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,23686,13517,0.007989938595842273,0.004559655492696107,0.0058059833884364165,108
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,27940,29083,0.28728122958429325,0.2990336435218325,0.2930396506672746,8355
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,57112,83910,0.40569657966869266,0.5960568707101835,0.48278991930337106,34042
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,14335,6789,0.4660480188540286,0.22071852110219742,0.29956447642491957,3164
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,16812,17969,0.12766431075741555,0.13645015465143945,0.1319111008884161,2294
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,72606,70501,0.5250138295910697,0.5097925791256921,0.5172912575904742,37014
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,4152,2661,0.026681698609545283,0.01710019267822736,0.02084250697196536,71
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,94006,103991,0.6071198469098288,0.6716060676978065,0.6377369354081123,63135
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,0,172300,155856,0.77219356328919,0.6984968078932096,0.7334987018369313,120351
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,1,23686,12832,0.004052369077306733,0.0021953896816684962,0.00284791061942056,52
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,2,27940,28739,0.29447788719162116,0.3028990694345025,0.2986291218969989,8463
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,3,57112,83611,0.4094915740751815,0.5994887239109119,0.4866013373791065,34238
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,0,14335,6258,0.4793863854266539,0.20927799093128707,0.2913611421356772,3000
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,1,16812,17749,0.12964110654121358,0.1368665239114918,0.13315586933248458,2301
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,2,72606,70719,0.5256720259053437,0.5120100267195549,0.5187510901796617,37175
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,3,4152,2617,0.027130301872372947,0.01710019267822736,0.020977987885950657,71
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,4,94006,104568,0.6080445260500345,0.6763610833351063,0.640385951836595,63582
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,0,172300,156736,0.7729557982850143,0.7031340684852002,0.7363935861121579,121150
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,1,23686,11940,0.004355108877721943,0.0021953896816684962,0.0029192163027002755,52
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,2,27940,28436,0.300218033478689,0.3055476020042949,0.30285937278274444,8537
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,3,57112,83926,0.4113981364535424,0.6045489564364757,0.48961272848452186,34527
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,0,14335,5608,0.5208630527817404,0.20376700383676316,0.2929348643634358,2921
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,1,16812,16942,0.132569944516586,0.13359505115393766,0.13308052378977306,2246
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,2,72606,70764,0.5246029054321406,0.5112938324656364,0.5178628722884843,37123
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,3,4152,2339,0.030354852501068834,0.01710019267822736,0.0218764443075027,71
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,4,94006,106258,0.6044909559750795,0.6832755356041104,0.641473255303,64232
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,0,172300,158603,0.7764544176339666,0.714730121880441,0.7443147992009743,123148
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,1,23686,9891,0.0,0.0,nan,0
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,2,27940,28174,0.30538794633349897,0.30794559770937724,0.30666143921303063,8604
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,3,57112,84370,0.4085575441507645,0.6035509174954475,0.48727046550091185,34470
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,0,14335,4785,0.5477533960292581,0.18283920474363446,0.274163179916318,2621
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,1,16812,16500,0.1461818181818182,0.14346895074946467,0.1448126801152738,2412
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,2,72606,70803,0.5124217900371453,0.4996969947387268,0.5059794015717284,36281
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,3,4152,1999,0.03551775887943972,0.01710019267822736,0.023085677125670626,71
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,4,94006,107824,0.5984103724588218,0.6863710826968491,0.639379675964921,64523
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,0,172300,159014,0.7795791565522533,0.7194660475914103,0.7483173062412093,123964
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,1,23686,9560,0.0,0.0,nan,0
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,2,27940,26334,0.31461228829649884,0.29652827487473155,0.30530272321922103,8285
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,3,57112,86130,0.41004295831882037,0.6183814259700238,0.49310956283771523,35317
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,0,14335,4248,0.6483050847457628,0.19211719567492153,0.2963999354248507,2754
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,1,16812,15163,0.14020972103145815,0.1264572924101832,0.13297888975762315,2126
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,2,72606,70487,0.500659696114177,0.4860479850150125,0.4932456514294899,35290
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,3,4152,1940,0.0365979381443299,0.01710019267822736,0.023309258043335522,71
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,4,94006,110073,0.5918345098252977,0.6929876816373423,0.6384292357371409,65145
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,0,172300,153659,0.7682530798716639,0.6851363900174114,0.7243180890848235,118049
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,1,23686,13959,0.01146213912171359,0.006755045174364604,0.008500464869172534,160
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,2,27940,29268,0.2856361896952303,0.2992125984251969,0.29226681582995384,8360
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,3,57112,84152,0.40211759672972713,0.5925024513237148,0.47908879827840073,33839
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,0,14335,7022,0.45457134719453146,0.22267178235088944,0.29891838741396265,3192
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,1,16812,18032,0.13232031943212066,0.14192243635498453,0.13695327746527375,2386
