scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
both,baseline,none,task,281038,0.5665461610173713,0.2675082873088324,19,281019,173,7879,0.0006156167376583078,0.028037250150345708,45.543352601156066
both,baseline,none,social,201911,0.5225371574604653,0.23804311189569993,18,201893,94,5342,0.00046559316073365597,0.026459560262119042,56.829787234042556
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,281038,0.5688554572691238,0.2700588622211895,19,281019,173,3749,0.0006156167376583078,0.013340734968098242,21.670520231213874
both,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,201911,0.5223291450193402,0.23677996980475569,18,201893,94,2484,0.00046559316073365597,0.012303546928323418,26.425531914893618
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,281038,0.5709654922110178,0.2720056187056952,19,281019,173,3111,0.0006156167376583078,0.01107042584309246,17.982658959537574
both,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,201911,0.5223440030508492,0.23594449657344135,18,201893,94,2067,0.00046559316073365597,0.010238096417409222,21.98936170212766
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,281038,0.5739188294821341,0.275224622495599,19,281019,173,2482,0.0006156167376583078,0.008832143022357918,14.346820809248555
both,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,201911,0.523389017933644,0.23691277522636428,18,201893,94,1703,0.00046559316073365597,0.008435161199249107,18.117021276595743
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,281038,0.5803627979134495,0.28331658058794235,19,281019,173,1842,0.0006156167376583078,0.006554716940847416,10.647398843930636
both,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,201911,0.5256226753371535,0.23873777094463194,18,201893,94,1300,0.00046559316073365597,0.006439054350571838,13.829787234042554
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,281038,0.5844974700930123,0.2882229815560322,19,281019,173,1333,0.0006156167376583078,0.004743451510396094,7.705202312138728
both,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,201911,0.5279207175438684,0.2382849084194657,18,201893,94,938,0.00046559316073365597,0.0046460253698741415,9.97872340425532
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,281038,0.5914573829873541,0.295697570193526,19,281019,173,865,0.0006156167376583078,0.003078083688291539,5.0
both,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,201911,0.5245281336826622,0.2288613818801019,18,201893,94,621,0.00046559316073365597,0.0030758867320808546,6.6063829787234045
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,281038,0.5962396544239569,0.3022348884473025,19,281019,173,664,0.0006156167376583078,0.002362829559567147,3.838150289017341
both,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,201911,0.521942836200108,0.21976248575239116,18,201893,94,445,0.00046559316073365597,0.0022041378353880522,4.73404255319149
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,281038,0.5707697891388354,0.27175433688548123,19,281019,173,3154,0.0006156167376583078,0.011223440407943947,18.23121387283237
both,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,201911,0.5220716058065187,0.23554914854721412,18,201893,94,2117,0.00046559316073365597,0.010485752353969677,22.52127659574468
