scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
CR,baseline,none,task,0,47407,29836,0.9145327791929213,0.5755690087961693,0.7064976761648305,27286
CR,baseline,none,task,1,4384,6171,0.20353265273051369,0.2864963503649635,0.23799147323543346,1256
CR,baseline,none,task,2,1298,11137,0.04166292538385562,0.3574730354391371,0.0746280659429031,464
CR,baseline,none,task,3,12257,18202,0.4771453686408087,0.7085746920127274,0.5702747956269082,8685
CR,baseline,none,social,0,954,12640,0.028085443037974684,0.3721174004192872,0.052228924525525966,355
CR,baseline,none,social,1,3077,4295,0.6065192083818394,0.8466038349041274,0.7067281606077048,2605
CR,baseline,none,social,2,11812,360,0.6722222222222223,0.020487639688452422,0.039763391390075585,242
CR,baseline,none,social,3,1452,0,nan,0.0,nan,0
CR,baseline,none,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,30141,0.9143359543478982,0.5813276520345096,0.7107597874864601,27559
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,5956,0.20567494963062458,0.2794251824817518,0.2369439071566731,1225
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,11037,0.04113436622270544,0.349768875192604,0.07361167409809485,454
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,18212,0.4782011860311882,0.7105327567920372,0.5716630017394729,8709
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,12668,0.02778654878433849,0.3689727463312369,0.05168110409631478,352
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,4310,0.6062645011600928,0.8492037699057523,0.7074590496818736,2613
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,317,0.637223974763407,0.017101252963088384,0.03330859922499794,202
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,30338,0.9146944426132243,0.5853565929082203,0.7138722747443565,27750
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,5810,0.2099827882960413,0.2782846715328467,0.2393564842063959,1220
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,10985,0.043604915794264905,0.36902927580893685,0.07799397541317268,479
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,18213,0.4803162576181848,0.7137146120584156,0.5742041352149655,8748
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,12672,0.027777777777777776,0.3689727463312369,0.0516659327755761,352
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,3077,4306,0.6079888527635857,0.850828729281768,0.7091968034674253,2618
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,11812,317,0.637223974763407,0.017101252963088384,0.03330859922499794,202
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,47407,30681,0.9150614386754017,0.5922121205729112,0.7190605470750948,28075
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,4384,5598,0.21114683815648447,0.26961678832116787,0.2368262873171709,1182
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,1298,11024,0.04027576197387518,0.3420647149460709,0.0720662230157442,444
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,12257,18043,0.48655988471983597,0.7162437790650241,0.5794719471947195,8779
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,954,12706,0.027703447190303793,0.3689727463312369,0.05153733528550512,352
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,3077,4286,0.6131591227251516,0.8540786480337992,0.7138394676083117,2628
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,11812,303,0.6204620462046204,0.01591601760921097,0.031035905901774657,188
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,0,47407,30963,0.9182895714239576,0.5997637479697091,0.7256092892688528,28433
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,1,4384,5311,0.2304650724910563,0.2791970802919708,0.25250128932439403,1224
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,2,1298,11070,0.041192411924119245,0.35130970724191063,0.07373868046571798,456
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,3,12257,18002,0.49088990112209757,0.720975768948356,0.5840906837635085,8837
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,0,954,12776,0.027551659361302442,0.3689727463312369,0.05127458120903132,352
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,1,3077,4269,0.6181775591473413,0.8576535586610334,0.7184862510209639,2639
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,2,11812,250,0.54,0.011429055198103624,0.022384347537721772,135
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,0,47407,31505,0.9178225678463736,0.6099521167760036,0.73286699107867,28916
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,1,4384,5169,0.2383439736893016,0.28102189781021897,0.25792944624725217,1232
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,2,1298,10714,0.04256113496359903,0.35130970724191063,0.07592407592407592,456
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,3,12257,17958,0.4933734268849538,0.7228522476951946,0.5864636769816317,8860
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,0,954,12696,0.027725267800882167,0.3689727463312369,0.05157509157509157,352
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,1,3077,4363,0.6325922530369013,0.896977575560611,0.7419354838709676,2760
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,2,11812,236,0.5805084745762712,0.011598374534371824,0.022742363877822042,137
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,0,47407,31931,0.9206727005104757,0.620119391651022,0.7410824573344426,29398
