scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CR,baseline,none,task,65346,0.5767912343525234,0.3025447228780409,5,65341,25,3320,0.00038260816332777274,0.05081036408992822,132.8
CR,baseline,none,social,17295,0.1851402139346632,0.09589359310714406,4,17291,6,265,0.0003470013301717657,0.015325892082586317,44.166666666666664
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.580708842163254,0.30537936424484646,5,65341,25,1294,0.00038260816332777274,0.019803798533845517,51.76
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.18311650766117374,0.0951085027054058,4,17291,6,116,0.0003470013301717657,0.006708692383320803,19.333333333333332
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.5845346310409206,0.30940143050084873,5,65341,25,1023,0.00038260816332777274,0.01565632604337246,40.92
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.18340560855738652,0.09545719712428329,4,17291,6,100,0.0003470013301717657,0.0057833555028627606,16.666666666666668
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.5888654240504392,0.3130441154493606,5,65341,25,803,0.00038260816332777274,0.01228937420608806,32.12
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.18317432784041632,0.09585215276542892,4,17291,6,82,0.0003470013301717657,0.004742351512347464,13.666666666666666
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.5960579071404524,0.3219662807310349,5,65341,25,621,0.00038260816332777274,0.009503986777061876,24.84
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.18074588031222896,0.0952117568981906,4,17291,6,66,0.0003470013301717657,0.0038170146318894224,11.0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.6039237290729348,0.32881868341757625,5,65341,25,449,0.00038260816332777274,0.006871642613366799,17.96
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.18785776235906332,0.10290865634079072,4,17291,6,40,0.0003470013301717657,0.0023133422011451044,6.666666666666667
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,65346,0.6137177485997612,0.33985151082213694,5,65341,25,307,0.00038260816332777274,0.004698428245665049,12.28
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,17295,0.18594969644405898,0.10327794815243822,4,17291,6,28,0.0003470013301717657,0.001619339540801573,4.666666666666667
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,65346,0.6353870168028648,0.36317822925409327,5,65341,25,232,0.00038260816332777274,0.0035506037556817314,9.28
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,17295,0.18745302110436543,0.1051718114710477,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.5844581152633673,0.3093489259731689,5,65341,25,1033,0.00038260816332777274,0.01580936930870357,41.32
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.18340560855738652,0.09545719712428329,4,17291,6,104,0.0003470013301717657,0.006014689722977271,17.333333333333332
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.5876105652985646,0.31151014619293055,5,65341,25,827,0.00038260816332777274,0.012656678042882723,33.08
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.18317432784041632,0.09585215276542892,4,17291,6,82,0.0003470013301717657,0.004742351512347464,13.666666666666666
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.5955222966975791,0.3217163547363136,5,65341,25,633,0.00038260816332777274,0.009687638695459206,25.32
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.18074588031222896,0.09498474791004294,4,17291,6,68,0.0003470013301717657,0.003932681741946677,11.333333333333334
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.6034493312521042,0.3284745850899475,5,65341,25,459,0.00038260816332777274,0.007024685878697908,18.36
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,17295,0.18542931483087596,0.0998886582494502,4,17291,6,46,0.0003470013301717657,0.00266034353131687,7.666666666666667
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,65346,0.6104734796315,0.3359779447712951,5,65341,25,322,0.00038260816332777274,0.004927993143661713,12.88
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,17295,0.18594969644405898,0.10327794815243822,4,17291,6,28,0.0003470013301717657,0.001619339540801573,4.666666666666667
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,task,65346,0.6382487068833593,0.36289552749605747,5,65341,25,194,0.00038260816332777274,0.0029690393474235167,7.76
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,social,17295,0.18745302110436543,0.1051718114710477,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,task,65346,0.649634254583295,0.3772231398126518,5,65341,25,126,0.00038260816332777274,0.0019283451431719746,5.04
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,social,17295,0.18745302110436543,0.10663819210001622,4,17291,6,16,0.0003470013301717657,0.0009253368804580418,2.6666666666666665
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,65346,0.5859578245034126,0.31076148823494637,5,65341,25,899,0.00038260816332777274,0.013758589553266708,35.96
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,17295,0.1839838103498121,0.09619715153639702,4,17291,6,88,0.0003470013301717657,0.00508935284251923,14.666666666666666
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,65346,0.5921709056407432,0.3170416407650103,5,65341,25,718,0.00038260816332777274,0.010988506450773634,28.72
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,17295,0.18317432784041632,0.09640142402213535,4,17291,6,74,0.0003470013301717657,0.004279683072118443,12.333333333333334
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,65346,0.5977565574021363,0.32263974556046,5,65341,25,523,0.00038260816332777274,0.008004162776817007,20.92
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,17295,0.18248048568950564,0.09745030065784399,4,17291,6,54,0.0003470013301717657,0.003123011971545891,9.0
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,65346,0.6087748293698161,0.3348387597777693,5,65341,25,360,0.00038260816332777274,0.005509557551919928,14.4
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,17295,0.18444637178375253,0.1015938555120988,4,17291,6,32,0.0003470013301717657,0.0018506737609160836,5.333333333333333
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,65346,0.6327395708995195,0.360701712020304,5,65341,25,234,0.00038260816332777274,0.003581212408747953,9.36
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,17295,0.18745302110436543,0.10515782279928984,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,65346,0.652067456309491,0.37886754587269955,5,65341,25,118,0.00038260816332777274,0.0018059105309070874,4.72
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,17295,0.18745302110436543,0.10663819210001622,4,17291,6,16,0.0003470013301717657,0.0009253368804580418,2.6666666666666665
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,65346,0.6743641538885318,0.40603800942901563,5,65341,25,84,0.00038260816332777274,0.0012855634287813164,3.36
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,17295,0.18745302110436543,0.1080094345539021,4,17291,6,12,0.0003470013301717657,0.0006940026603435314,2.0
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,65346,0.5973892816698804,0.3224809036499224,5,65341,25,584,0.00038260816332777274,0.008937726695336773,23.36
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,17295,0.18022549869904597,0.0949502200587969,4,17291,6,65,0.0003470013301717657,0.0037591810768607945,10.833333333333334
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,task,65346,0.6063263244881094,0.3308718920865029,5,65341,25,412,0.00038260816332777274,0.006305382531641695,16.48
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,social,17295,0.18450419196299508,0.10129919393915814,4,17291,6,35,0.0003470013301717657,0.0020241744260019665,5.833333333333333
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,task,65346,0.6176965690325346,0.34503823391408805,5,65341,25,274,0.00038260816332777274,0.00419338547007239,10.96
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,social,17295,0.18745302110436543,0.1047519609785647,4,17291,6,26,0.0003470013301717657,0.0015036724307443178,4.333333333333333
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,task,65346,0.6451351268631592,0.3722986827411,5,65341,25,164,0.00038260816332777274,0.002509909551430189,6.56
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,social,17295,0.18745302110436543,0.10539557075343665,4,17291,6,20,0.0003470013301717657,0.0011566711005725522,3.3333333333333335
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,task,65346,0.6674624307532213,0.3951428374597367,5,65341,25,85,0.00038260816332777274,0.0013008677553144274,3.4
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,social,17295,0.1830586874819312,0.10482939561991132,4,17291,6,14,0.0003470013301717657,0.0008096697704007865,2.3333333333333335
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,task,65346,0.6811587549352677,0.4137821269016668,5,65341,25,48,0.00038260816332777274,0.0007346076735893237,1.92
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,social,17295,0.1805724197745013,0.10394481161341401,4,17291,6,6,0.0003470013301717657,0.0003470013301717657,1.0
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,task,65346,0.6774859976127078,0.4059252735585651,5,65341,25,38,0.00038260816332777274,0.0005815644082582146,1.52
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,social,17295,0.1805724197745013,0.10394481161341401,4,17291,6,6,0.0003470013301717657,0.0003470013301717657,1.0
CR,baseline,none,mean,82641,0.3809657241435933,0.1992191579925925,9,82632,31,3585,0.0003751573240391132,0.04338512924774906,115.64516129032258
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,mean,82641,0.38191267491221387,0.20024393347512615,9,82632,31,1410,0.0003751573240391132,0.017063607319198374,45.483870967741936
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,mean,82641,0.3839701197991536,0.20242931381256601,9,82632,31,1123,0.0003751573240391132,0.01359037660954594,36.225806451612904
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,mean,82641,0.41142001895361513,0.23417502036257049,9,82632,31,256,0.0003751573240391132,0.003098073385613322,8.258064516129032
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,mean,82641,0.38601987594542775,0.20444813410739476,9,82632,31,885,0.0003751573240391132,0.010710136508858553,28.548387096774192
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,mean,82641,0.38840189372634065,0.20858901881461275,9,82632,31,687,0.0003751573240391132,0.00831397037467325,22.161290322580644
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,mean,82641,0.395890745715999,0.21586366987918348,9,82632,31,489,0.0003751573240391132,0.005917804240487947,15.774193548387096
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,mean,82641,0.39983372252191013,0.2215647294872876,9,82632,31,335,0.0003751573240391132,0.0040541194694549325,10.806451612903226
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,mean,82641,0.3839318619103769,0.2024030615487261,9,82632,31,1137,0.0003751573240391132,0.013759802497821667,36.67741935483871
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,mean,82641,0.38539244656949045,0.20368114947917973,9,82632,31,909,0.0003751573240391132,0.011000580888759803,29.322580645161292
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,mean,82641,0.41854363784383025,0.24193066595633403,9,82632,31,142,0.0003751573240391132,0.0017184625810823895,4.580645161290323
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,mean,82641,0.388134088504904,0.20835055132317826,9,82632,31,701,0.0003751573240391132,0.00848339626294898,22.612903225806452
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,mean,82641,0.3944393230414901,0.21418162166969884,9,82632,31,505,0.0003751573240391132,0.006111433827088779,16.29032258064516
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,mean,82641,0.3982115880377795,0.21962794646186667,9,82632,31,350,0.0003751573240391132,0.004235647206893213,11.290322580645162
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,mean,82641,0.4128508639938624,0.2340336694835526,9,82632,31,218,0.0003751573240391132,0.002638203117436344,7.032258064516129
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,mean,82641,0.3849708174266123,0.2034793198856717,9,82632,31,987,0.0003751573240391132,0.01194452512343886,31.838709677419356
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,mean,82641,0.38767261674057973,0.20672153239357283,9,82632,31,792,0.0003751573240391132,0.009584664536741214,25.548387096774192
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,mean,82641,0.4309085874964486,0.25702372199145884,9,82632,31,96,0.0003751573240391132,0.0011617775196049957,3.096774193548387
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,mean,82641,0.39011852154582094,0.210045023109152,9,82632,31,577,0.0003751573240391132,0.006982766966792526,18.612903225806452
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,mean,82641,0.3966106005767843,0.21821630764493405,9,82632,31,392,0.0003751573240391132,0.004743924871720399,12.64516129032258
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,82641,0.4100962960019425,0.23292976740979693,9,82632,31,258,0.0003751573240391132,0.0031222770839384258,8.32258064516129
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,82641,0.41976023870692825,0.2427528689863579,9,82632,31,134,0.0003751573240391132,0.001621647787781973,4.32258064516129
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,mean,82641,0.3888073901844632,0.20871556185435963,9,82632,31,649,0.0003751573240391132,0.007854100106496273,20.93548387096774
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,mean,82641,0.39541525822555224,0.21608554301283053,9,82632,31,447,0.0003751573240391132,0.005409526575660761,14.419354838709678
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,82641,0.42902920869360456,0.25493504258598954,9,82632,31,44,0.0003751573240391132,0.0005324813631522897,1.4193548387096775
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,mean,82641,0.40257479506845,0.22489509744632638,9,82632,31,300,0.0003751573240391132,0.0036305547487656114,9.67741935483871
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,mean,82641,0.41629407398376234,0.23884712674726832,9,82632,31,184,0.0003751573240391132,0.002226740245909575,5.935483870967742
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,82641,0.42526055911757626,0.24998611653982403,9,82632,31,99,0.0003751573240391132,0.0011980830670926517,3.193548387096774
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,82641,0.4308655873548845,0.25886346925754045,9,82632,31,54,0.0003751573240391132,0.00065349985477781,1.7419354838709677
