scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
CR,baseline,none,task,0,47407,40111,0.8908778140659669,0.75377054021558,0.8166091546881784,35734
CR,baseline,none,task,1,4384,3448,0.34976798143851506,0.2750912408759124,0.3079673135852911,1206
CR,baseline,none,task,2,1298,3410,0.11378299120234604,0.29892141756548535,0.16482582837723025,388
CR,baseline,none,task,3,12257,18377,0.4699896609892801,0.7046585624541079,0.5638832669582816,8637
CR,baseline,none,social,0,954,7174,0.04711458042932813,0.35429769392033544,0.08316929133858267,338
CR,baseline,none,social,1,3077,10119,0.2929143195967981,0.9632759181020475,0.4492270384965141,2964
CR,baseline,none,social,2,11812,1,1.0,8.465966813410092e-05,0.00016930500296283757,1
CR,baseline,none,social,3,1452,1,0.0,0.0,nan,0
CR,baseline,none,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,40358,0.8906288715991872,0.758200265783534,0.8190964507491597,35944
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,3317,0.3548387096774194,0.26847627737226276,0.3056745877158811,1177
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,3240,0.11944444444444445,0.2981510015408321,0.1705597179374174,387
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,18431,0.4718680483967229,0.7095537244023823,0.5668013555787278,8697
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,7096,0.04720969560315671,0.35115303983228513,0.08322981366459628,335
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,10199,0.2911069712716933,0.9649008774780631,0.4472732750828563,2969
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,40413,0.8910746541954322,0.7596135591790242,0.8201093145069459,36011
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,3277,0.35978028684772656,0.2689324817518248,0.30779271635556715,1179
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,3189,0.1213546566321731,0.2981510015408321,0.17249832850456875,387
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,18467,0.4745762711864407,0.7150199885779555,0.5704986329904961,8764
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,7108,0.04712999437253799,0.35115303983228513,0.08310592904986355,335
