scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CR,baseline,none,task,65346,0.7034095430477765,0.40366811967849764,5,65341,25,2086,0.00038260816332777274,0.03192482514806936,83.44
CR,baseline,none,social,17295,0.19098005203816132,0.07326783888344188,4,17291,6,457,0.0003470013301717657,0.02642993464808282,76.16666666666667
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,65346,0.7070823003703364,0.40782476736921824,5,65341,25,861,0.00038260816332777274,0.013177025145008493,34.44
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,17295,0.19103787221740387,0.07277130807957254,4,17291,6,196,0.0003470013301717657,0.011335376785611011,32.666666666666664
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,65346,0.709163529519787,0.411249828999915,5,65341,25,733,0.00038260816332777274,0.011218071348770297,29.32
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,17295,0.19103787221740387,0.0728618173879477,4,17291,6,172,0.0003470013301717657,0.009947371464923948,28.666666666666668
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,65346,0.7138156887950295,0.417942287590055,5,65341,25,598,0.00038260816332777274,0.009151987266800325,23.92
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,17295,0.19196299508528478,0.07374125622506988,4,17291,6,146,0.0003470013301717657,0.00844369903417963,24.333333333333332
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,65346,0.7205490772197227,0.42658398331878766,5,65341,25,452,0.00038260816332777274,0.006917555592966132,18.08
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,17295,0.19248337669846777,0.07417205807366128,4,17291,6,122,0.0003470013301717657,0.007055693713492568,20.333333333333332
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,65346,0.7238698619655373,0.4298122882676151,5,65341,25,332,0.00038260816332777274,0.005081036408992822,13.28
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,17295,0.19329285920786354,0.07464834044263115,4,17291,6,78,0.0003470013301717657,0.004511017292232954,13.0
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,65346,0.7312306797661677,0.44050526775820936,5,65341,25,242,0.00038260816332777274,0.0037036470210128404,9.68
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,17295,0.19404452153801677,0.07614235823756868,4,17291,6,50,0.0003470013301717657,0.0028916777514313803,8.333333333333334
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,65346,0.7312306797661677,0.4361278382556873,5,65341,25,190,0.00038260816332777274,0.002907822041291073,7.6
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,17295,0.19404452153801677,0.0767357697487249,4,17291,6,38,0.0003470013301717657,0.002197675091087849,6.333333333333333
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,65346,0.709117620053255,0.41135295947986533,5,65341,25,739,0.00038260816332777274,0.011309897307968962,29.56
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,17295,0.19103787221740387,0.07283164958185524,4,17291,6,176,0.0003470013301717657,0.01017870568503846,29.333333333333332
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,65346,0.7134484130627735,0.41747801398818163,5,65341,25,604,0.00038260816332777274,0.00924381322599899,24.16
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.19196299508528478,0.0737261839325164,4,17291,6,152,0.0003470013301717657,0.008790700364351397,25.333333333333332
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.7200134667768494,0.42588563464305335,5,65341,25,463,0.00038260816332777274,0.007085903184830352,18.52
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.19248337669846777,0.0741117832125822,4,17291,6,122,0.0003470013301717657,0.007055693713492568,20.333333333333332
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.722737428457748,0.4285838194558958,5,65341,25,339,0.00038260816332777274,0.005188166694724598,13.56
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,17295,0.19329285920786354,0.07491194376920789,4,17291,6,84,0.0003470013301717657,0.004858018622404719,14.0
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,65346,0.7311694671441251,0.44074713080403605,5,65341,25,245,0.00038260816332777274,0.003749560000612173,9.8
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,17295,0.1915004336513443,0.07355020967154936,4,17291,6,52,0.0003470013301717657,0.0030073448614886355,8.666666666666666
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,task,65346,0.7389893796100756,0.4473627161075368,5,65341,25,149,0.00038260816332777274,0.0022803446534335257,5.96
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,social,17295,0.19404452153801677,0.07639033173962924,4,17291,6,36,0.0003470013301717657,0.002082007981030594,6.0
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,task,65346,0.7468398983870475,0.4614489453623292,5,65341,25,113,0.00038260816332777274,0.001729388898241533,4.52
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,social,17295,0.19589476727377855,0.07916228953834402,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,65346,0.7109386955590242,0.4137778459622023,5,65341,25,654,0.00038260816332777274,0.010009029552654536,26.16
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,17295,0.19196299508528478,0.07385428278607312,4,17291,6,156,0.0003470013301717657,0.009022034584465908,26.0
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,65346,0.7179934502494414,0.42340445741462057,5,65341,25,501,0.00038260816332777274,0.007667467593088566,20.04
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,17295,0.19248337669846777,0.0740288924627506,4,17291,6,128,0.0003470013301717657,0.007402695043664334,21.333333333333332
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,65346,0.721084687662596,0.42717769447635506,5,65341,25,391,0.00038260816332777274,0.005983991674446366,15.64
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,17295,0.19329285920786354,0.07585967349162305,4,17291,6,106,0.0003470013301717657,0.006130356833034527,17.666666666666668
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,65346,0.7275732255991185,0.43442155932107085,5,65341,25,265,0.00038260816332777274,0.004055646531274391,10.6
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,17295,0.19329285920786354,0.07612258722725648,4,17291,6,62,0.0003470013301717657,0.003585680411774912,10.333333333333334
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,65346,0.7310776482110611,0.43591938326539564,5,65341,25,190,0.00038260816332777274,0.002907822041291073,7.6
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,17295,0.19404452153801677,0.07621751578308639,4,17291,6,42,0.0003470013301717657,0.0024290093112023597,7.0
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,task,65346,0.7501759862883727,0.46651654564724887,5,65341,25,109,0.00038260816332777274,0.0016681715921090892,4.36
CR,hmm_uniform_start,mix=0.75;strength=8;alpha=1,social,17295,0.19589476727377855,0.07915480498831293,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,task,65346,0.74965567900101,0.4672154726726052,5,65341,25,85,0.00038260816332777274,0.0013008677553144274,3.4
CR,hmm_uniform_start,mix=0.75;strength=12;alpha=1,social,17295,0.19589476727377855,0.07973823475160914,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,65346,0.7212377192177027,0.4272366128616286,5,65341,25,429,0.00038260816332777274,0.00656555608270458,17.16
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,17295,0.19329285920786354,0.07500228748290924,4,17291,6,118,0.0003470013301717657,0.006824359493378058,19.666666666666668
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,task,65346,0.7259816974260093,0.4333067643201576,5,65341,25,308,0.00038260816332777274,0.00471373257219816,12.32
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,social,17295,0.19329285920786354,0.07493453135205366,4,17291,6,74,0.0003470013301717657,0.004279683072118443,12.333333333333334
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,task,65346,0.7322406880298717,0.4436543535845372,5,65341,25,225,0.00038260816332777274,0.0034434734699499547,9.0
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,social,17295,0.19404452153801677,0.07581151969989122,4,17291,6,48,0.0003470013301717657,0.0027760106413741254,8.0
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,task,65346,0.7416215223579102,0.4534903320156088,5,65341,25,138,0.00038260816332777274,0.0021119970615693056,5.52
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,social,17295,0.19404452153801677,0.07658561106483879,4,17291,6,34,0.0003470013301717657,0.0019663408709733386,5.666666666666667
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,task,65346,0.7490741590916047,0.46680396838784644,5,65341,25,86,0.00038260816332777274,0.0013161720818475383,3.44
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,social,17295,0.19589476727377855,0.07911738041305522,4,17291,6,24,0.0003470013301717657,0.0013880053206870627,4.0
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,task,65346,0.7702996357848988,0.49691482401279224,5,65341,25,48,0.00038260816332777274,0.0007346076735893237,1.92
