scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
CR,baseline,none,task,0,47407,39536,0.8858508700930797,0.7387727550783639,0.8056542792404219,35023
CR,baseline,none,task,1,4384,2384,0.37206375838926176,0.20232664233576642,0.2621158392434988,887
CR,baseline,none,task,2,1298,3596,0.10595105672969966,0.2935285053929122,0.15570085819370658,381
CR,baseline,none,task,3,12257,19830,0.4462430660615229,0.7219548013380109,0.5515629382616013,8849
CR,baseline,none,social,0,954,5323,0.07026113094119857,0.3920335429769392,0.1191652063087462,374
CR,baseline,none,social,1,3077,11674,0.25766660955970533,0.9775755606109847,0.40783675683004544,3008
CR,baseline,none,social,2,11812,290,0.4517241379310345,0.01109041652556722,0.021649314162948276,131
CR,baseline,none,social,3,1452,8,0.0,0.0,nan,0
CR,baseline,none,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,47407,39712,0.8868100322320709,0.7428649777459025,0.8084803544576958,35217
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,4384,2268,0.3924162257495591,0.20301094890510948,0.26758869512928446,890
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,1298,3492,0.109106529209622,0.2935285053929122,0.15908141962421712,381
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,12257,19874,0.44938110093589617,0.7286448560006527,0.5559117363294015,8931
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,954,5270,0.07248576850094876,0.40041928721174,0.12275064267352183,382
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,3077,11735,0.2571793779292714,0.9808254793630159,0.40750742641101817,3018
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,11812,285,0.4456140350877193,0.010751777853030817,0.02099694139042738,127
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,1452,5,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,47407,39786,0.8884280902830142,0.7456071888117789,0.8107760944112486,35347
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,4384,2230,0.38968609865470855,0.19822080291970803,0.2627759298457817,869
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,1298,3427,0.11000875401225561,0.29044684129429893,0.15957671957671957,377
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,12257,19903,0.4520424056674873,0.7340295341437546,0.5595149253731344,8997
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,954,5241,0.07288685365388285,0.40041928721174,0.12332526230831316,382
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,3077,11773,0.2571986749341714,0.9840753981150471,0.40781144781144785,3028
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,11812,276,0.4601449275362319,0.010751777853030817,0.021012574454003972,127
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,1452,5,0.0,0.0,nan,0
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,0,0,nan,nan,nan,0
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,47407,39947,0.8892282274013067,0.749298626785074,0.8132884584563957,35522
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,4384,2198,0.39717925386715197,0.1991332116788321,0.2652689152233364,873
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,1298,3315,0.11191553544494721,0.28582434514637906,0.1608497723823976,371
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,12257,19886,0.45439002313185156,0.737211389410133,0.5622375011666615,9036
