dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9025192266614993,0.05767900497823464,0.074061114939285,0.91649369720884
noxi,009,45214,0.5904115185896942,0.07288006911777742,0.09008230682363813,0.6179561947001176
noxi,011,72010,0.8561401650368865,0.05856869084593191,0.07851618299820726,0.869176067231589
noxi,014,53448,0.7532482751072381,0.061298656389260825,0.07576023696152322,0.7795146912523123
noxi,058,75506,0.6815154233850241,0.05849877886210028,0.0776118900391868,0.6965538917009949
noxi,062,67788,0.4936618741586914,0.0942269674438057,0.1153666682195465,0.6096317443273533
noxi,063,31992,0.7982692435462612,0.08539823078022672,0.1103050408518239,0.8184327516691879
noxi,074,47716,0.7691706591501154,0.0586779735550601,0.0789352010999041,0.7959412154635791
noxi,075,49752,0.8434741211449918,0.054299920474617944,0.07278125803869234,0.8764652097166092
noxi,076,25068,0.667115936798301,0.07719999062960609,0.10100420036462913,0.7850447461600027
noxij,121,28100,0.5769228048103899,0.07453891955607726,0.11042205789621816,0.6620986265143947
noxij,122,31700,0.4348049856678583,0.07331728888140868,0.09941346692307264,0.4969707164687405
noxij,123,35150,0.4164108653652141,0.10167205019916274,0.1330909928335784,0.6165872552915943
noxij,124,34400,0.5898593406228858,0.0641007787411556,0.0952473226454678,0.7108871052523454
noxij,125,32750,0.5307643350331066,0.06955018767600751,0.10077791287961739,0.6130877049032218
noxij,126,30800,0.46477619237948353,0.07616004831048769,0.10383949140967375,0.5615555630143121
noxij,143,42050,0.66654972070686,0.04013793562630836,0.05401862592116452,0.6924914104659816
noxij,144,38500,0.6341403846902455,0.04280140183488657,0.059168331845517536,0.7528033269921883
noxij,145,54698,0.6922588168799076,0.043443539789789466,0.058575043385599455,0.7455496313436899
noxij,146,72600,0.7061155582219542,0.03640638432637391,0.05199022756526308,0.7882177473155791
