dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8532817998835223,0.06998148479982655,0.08886702344455684,0.9093741729009028
noxi,009,45214,0.5620980844817146,0.06845497996334786,0.08814664553946666,0.5773638574962133
noxi,011,72010,0.8301632167623755,0.06155383924332456,0.08259878606023419,0.8762149377202818
noxi,014,53448,0.6366761485402983,0.07368500349048429,0.09112465847277532,0.7673174722622232
noxi,058,75506,0.7292655127411432,0.0541400538442151,0.0684185784287709,0.7481016678235627
noxi,062,67788,0.5429224167570639,0.080531955026047,0.09962553151895831,0.6218082297934056
noxi,063,31992,0.8325980623618219,0.0771052770780166,0.09860767032609927,0.8376267976353694
noxi,074,47716,0.7975945148836154,0.05145505978950308,0.06840976007088569,0.8031838638105163
noxi,075,49752,0.8668830231356087,0.04265772540859324,0.06228869669011562,0.866913505888273
noxi,076,25068,0.7568040247744319,0.05216055067734386,0.07131450452436333,0.7603392199560667
noxij,121,28100,0.6560486845916883,0.07049906645434183,0.09873298672704874,0.7475474560528338
noxij,122,31700,0.6558475191986416,0.05536794597465157,0.07814189514033197,0.6843267291863895
noxij,123,35150,0.42522951247942103,0.09055191202913206,0.1257387783523914,0.5632572647855486
noxij,124,34400,0.5661476557919357,0.07332285715721894,0.10475709862954832,0.6589512358747168
noxij,125,32750,0.5161076007936549,0.0854267809345522,0.10998194673340303,0.6054429685280813
noxij,126,30800,0.4910653483420342,0.08127500554208052,0.10389149164476909,0.5704620279052587
noxij,143,42050,0.5009892930959678,0.03311935190177843,0.05854579056231157,0.5021017983514446
noxij,144,38500,0.588878147199682,0.031056771671617186,0.0465744464306841,0.5902155263654797
noxij,145,54698,0.7297970237512382,0.03377146658625976,0.05138179176793413,0.7705703957763826
noxij,146,72600,0.7161118135942824,0.031133099775402177,0.04987051348528592,0.754115932093942
