dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9101400482040625,0.05500475479936823,0.06899753321932242,0.9285937433725875
noxi,009,45214,0.5638756770727726,0.06129563742231942,0.07606745915561658,0.6680645448982524
noxi,011,72010,0.9043335688406852,0.04847060517568197,0.06546346094984093,0.90931865119741
noxi,014,53448,0.7886445449863708,0.05432724697514532,0.06669997091035834,0.8158492330059515
noxi,058,75506,0.7352291378777149,0.06527106432346606,0.07732405215289612,0.7712725347073629
noxi,062,67788,0.5625634919000533,0.07345196981930965,0.08969984887170494,0.6379058263668629
noxi,063,31992,0.8012984412729605,0.07628231722982398,0.10229866037886401,0.8174749820910642
noxi,074,47716,0.839634512825774,0.05355158031770786,0.0685189523660264,0.8694786703193296
noxi,075,49752,0.8489602286893476,0.04519737240923557,0.07144237194074579,0.8652699736762622
noxi,076,25068,0.741161167968263,0.06615945536721136,0.07894608327070622,0.8398919888994092
noxij,121,28100,0.7254905122668327,0.0676264129807092,0.08997915077545887,0.8144343245528493
noxij,122,31700,0.43849524065670975,0.085370855152795,0.1077115093099512,0.7059474702449562
noxij,123,35150,0.7004619591185762,0.06382226942316398,0.08424732441729559,0.8054588137625908
noxij,124,34400,0.6951214080677924,0.06039394172796503,0.0870212506246168,0.7443067084081193
noxij,125,32750,0.7252324066390714,0.0683486446576719,0.08358910762345353,0.7900091731500932
noxij,126,30800,0.6749638404208133,0.06486961968364073,0.0832551821259133,0.7258143309327817
noxij,143,42050,0.7825831602058801,0.027886553126056184,0.04058585053748952,0.7930852042985607
noxij,144,38500,0.6605208727625304,0.03314475934962174,0.04644025191617822,0.6919466179894381
noxij,145,54698,0.7511862604825215,0.0383227446561481,0.05712412030440805,0.8442371260197503
noxij,146,72600,0.7622135446416228,0.03170501923470786,0.04565963387960701,0.798343281889317
