dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8716418594188157,0.06603860248663815,0.08158134581271122,0.8978043279535697
noxi,009,45214,0.3865169730421478,0.08661563363358475,0.1000329726715112,0.6359556796114455
noxi,011,72010,0.907026371449354,0.048893506444681274,0.06574082959903561,0.9122826821527903
noxi,014,53448,0.5832652092710555,0.08977725875589429,0.10125358805349047,0.8202717671936847
noxi,058,75506,0.6384754586402295,0.08760054197266838,0.10143260754217198,0.7126545944265823
noxi,062,67788,0.675270609547121,0.054925566495994324,0.07023336082009,0.6901854427329757
noxi,063,31992,0.8384015899749908,0.06969356584217364,0.09212875386776587,0.8561792314062283
noxi,074,47716,0.8573827766747673,0.046873043415366404,0.062458159881222414,0.8778802490004881
noxi,075,49752,0.8447408398044582,0.05082817664789815,0.06973323956819814,0.8596099932554871
noxi,076,25068,0.8137766036847036,0.04348377030949804,0.05719599420767848,0.8220903185623357
noxij,121,28100,0.7102967103901631,0.07549802899254598,0.10093163551975157,0.8375408971428117
noxij,122,31700,0.373930157322523,0.09143394082502612,0.11780203488979216,0.579169269621919
noxij,123,35150,0.5598297161518974,0.08779314845291683,0.10932994965088744,0.7498405616330422
noxij,124,34400,0.5430567742126227,0.0694551316334671,0.10277470666697794,0.7299587045112527
noxij,125,32750,0.6821047181927808,0.06615047461886442,0.08528109980279364,0.7380613192461869
noxij,126,30800,0.6316000539955534,0.069331641911783,0.08536114699205835,0.7144588941897972
noxij,143,42050,0.7481220322641712,0.031202731318727542,0.044789632572234506,0.7630253615140723
noxij,144,38500,0.687411190196101,0.031812367458622176,0.045653177677613725,0.712275908249238
noxij,145,54698,0.7702464586099576,0.03567870092591547,0.04962131620400203,0.8190477972293211
noxij,146,72600,0.7600531403685451,0.029528944132331317,0.04152744116992701,0.7696036393625125
