dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.7254697131193552,0.09155610011060954,0.11671762023125858,0.814341037856401
noxi,009,45214,0.4568014015888541,0.0818325549969839,0.1057898182196844,0.5260207838067962
noxi,011,72010,0.6832372947749964,0.08324160520848699,0.110182942593856,0.7670416520980307
noxi,014,53448,0.4041792802800641,0.07774258110622888,0.10667409677239402,0.4498163699030654
noxi,058,75506,0.6195357315515718,0.06633767999799779,0.08671640525290036,0.6484719853854403
noxi,062,67788,0.3582889001924718,0.10445600170008919,0.13055096716109812,0.47463283706808856
noxi,063,31992,0.7489559229588596,0.08748552037990333,0.11507508876315335,0.782708906845044
noxi,074,47716,0.7639245675283758,0.06255370160645662,0.08137916174635129,0.7897406841817003
noxi,075,49752,0.7306317405940055,0.062000725748827826,0.09287636229353217,0.7446117598925962
noxi,076,25068,0.5164029851615431,0.08180129889460708,0.10951702394710566,0.5394068253561086
noxij,121,28100,0.39761266822274993,0.09208575092123497,0.13179336349343318,0.5374206931586127
noxij,122,31700,0.40017679521981636,0.08007861539721489,0.10823558246002683,0.5381873945393948
noxij,123,35150,0.2382392662709943,0.12887288512664702,0.16265127757664716,0.4708071774644385
noxij,124,34400,0.3906126475427873,0.08941001721527861,0.12622834266307725,0.5120866642706028
noxij,125,32750,0.30184373686492527,0.10324177786912626,0.13240360230291343,0.3766245572558636
noxij,126,30800,0.2419589998001935,0.09306678635515757,0.12076948519046625,0.31479452933539265
noxij,143,42050,0.16423415218331783,0.05136795366349033,0.07465398346485137,0.18599383976349146
noxij,144,38500,0.044254382191738696,0.049245799334018264,0.072255834352627,0.05344775194566286
noxij,145,54698,0.42713276758313196,0.04687496768264013,0.06443628954494052,0.5388224364046651
noxij,146,72600,0.4348564641443956,0.040633806040915904,0.056252814880130564,0.4638725283089454
