dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8568388680691059,0.06788413138888032,0.0839786038031336,0.8953767176391878
noxi,009,45214,0.4640956001440319,0.07368278632658698,0.08713865343258693,0.6549242730942254
noxi,011,72010,0.8503079350257162,0.06076618124090819,0.07999807878201494,0.8927604187044934
noxi,014,53448,0.5279384210158677,0.08314493290623189,0.09855227241282165,0.7078411676247611
noxi,058,75506,0.6826401953326803,0.07363436026527291,0.08929738888467711,0.73175519112569
noxi,062,67788,0.5952713328204375,0.06269795320874763,0.08011813485275406,0.6162717715384375
noxi,063,31992,0.812700340357608,0.07417226872601596,0.09635352420923234,0.8393262828368616
noxi,074,47716,0.8181379528586306,0.05277295450328867,0.07058005878312137,0.8432522086812532
noxi,075,49752,0.8830041160516662,0.04105243901373018,0.059407672001301405,0.8936012906578005
noxi,076,25068,0.7065213679439758,0.06502791849616707,0.07914672845239532,0.7903296927102305
noxij,121,28100,0.4681840718837046,0.07720329796345209,0.11277064314249126,0.712730815872026
noxij,122,31700,0.4749117125723045,0.06337562147563189,0.08908365177342815,0.5898175809451207
noxij,123,35150,0.7157160850707014,0.06105145581034813,0.08123317868370114,0.7971111154938352
noxij,124,34400,0.6741687352433171,0.06208154462862673,0.08650047208181295,0.7218130468626379
noxij,125,32750,0.4996218182544262,0.09338753969068746,0.11250309698486484,0.6915236502454064
noxij,126,30800,0.49024717289280145,0.07903152438945003,0.09893374456868315,0.6602956623769559
noxij,143,42050,0.46901213828831884,0.04299746067997392,0.05761103681353716,0.49517081900024884
noxij,144,38500,0.3744230790975245,0.0471111840141284,0.05602300560535066,0.4678209726959755
noxij,145,54698,0.6463375275812404,0.04318038171636779,0.06072642988350117,0.7026833054569176
noxij,146,72600,0.5956532280433419,0.038446599917265664,0.051278089598564426,0.5980157810169748
