dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8946834166424833,0.05920614796245933,0.07631701156971099,0.9046772007657841
noxi,009,45214,0.2638242144435982,0.08218209160332889,0.097234106087776,0.4183732048913225
noxi,011,72010,0.8090420226875865,0.07796248698578892,0.09817888851452199,0.9003603702566477
noxi,014,53448,0.5543384277939674,0.0809927344313283,0.09643815180484511,0.7237792059594159
noxi,058,75506,0.657982938313208,0.07583265352560871,0.094082971914484,0.7132065748398952
noxi,062,67788,0.5775582371614134,0.06389504843616381,0.08571357529158502,0.6023520131818848
noxi,063,31992,0.7929958834152974,0.07974856818544558,0.10660870422763541,0.7996956145584304
noxi,074,47716,0.7497799510195788,0.07852792837829184,0.09460975405886735,0.815715050159055
noxi,075,49752,0.8052941468690158,0.06183272189194544,0.07975407023438236,0.8454374821615459
noxi,076,25068,0.6517316402313341,0.07557315099038893,0.0927717131171039,0.715373305924335
noxij,121,28100,0.6868147174805554,0.06751152488499138,0.09804636111485289,0.7451864416680688
noxij,122,31700,0.3407378754156156,0.07344748043064439,0.1017231149263105,0.3831109640084023
noxij,123,35150,0.6767159692326035,0.06933955407837886,0.09343538560576514,0.6892329077849056
noxij,124,34400,0.5685364850662555,0.06930763388604878,0.10343967765818686,0.592009887192625
noxij,125,32750,0.534382168615835,0.09228716360601305,0.11248517054309756,0.6589267573986322
noxij,126,30800,0.501569002761292,0.08072261520020374,0.10464291881119137,0.5867380378585139
noxij,143,42050,0.4907055285643043,0.06414643034028879,0.07826865534268995,0.7020384056473588
noxij,144,38500,0.17979919494612054,0.10937252621701012,0.12546933386674927,0.4849612900095137
noxij,145,54698,0.36103703753781524,0.08799374707426202,0.10723310260805728,0.6340602345977856
noxij,146,72600,0.6937536556936937,0.04453901898803461,0.05583591803522988,0.757834008080455
