dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.7978759053344646,0.08233671596633298,0.10376569936705245,0.898108451284075
noxi,009,45214,0.5685292067731403,0.07465500969748881,0.0924391859911755,0.6217909416309036
noxi,011,72010,0.8242012500717333,0.0633533410329634,0.08441465039150961,0.8527301416769806
noxi,014,53448,0.6504098654737368,0.07671149058913308,0.0945504767205526,0.7252616461785155
noxi,058,75506,0.6339977857597822,0.07254629355355224,0.08998321996560776,0.6739596990392738
noxi,062,67788,0.5145868355509731,0.08402550150506356,0.1010557563617585,0.5785016680745089
noxi,063,31992,0.774128897967279,0.07916196332304737,0.10697649882504674,0.798750020698962
noxi,074,47716,0.7834071759140848,0.0608589074772558,0.07621048778066478,0.7998787865818245
noxi,075,49752,0.8646289249935368,0.044257612799349776,0.06157346643772818,0.865892942433809
noxi,076,25068,0.7409110027448255,0.06539213436097159,0.08383283709178782,0.7838267750954041
noxij,121,28100,0.5941190609543422,0.0750803119341886,0.1112399527182202,0.6686549814299463
noxij,122,31700,0.4586237181195061,0.07754283712771412,0.10270632772403415,0.4613258034589427
noxij,123,35150,0.3830472460015771,0.09753641717888382,0.13214802329760778,0.5709566934378226
noxij,124,34400,0.48462040495642406,0.07523770131452312,0.1094444256621376,0.6286319623250176
noxij,125,32750,0.5816432944079639,0.06753362352019958,0.09798031475361382,0.6387156963412284
noxij,126,30800,0.5335935234312318,0.07744975873474758,0.10218216377616104,0.5966875987868837
noxij,143,42050,0.6245908135797306,0.04248710216261119,0.05664693331347145,0.6455205790010775
noxij,144,38500,0.591637314364595,0.04780003418783089,0.0630631936241688,0.6917868497627067
noxij,145,54698,0.6149220260418412,0.04160130775852253,0.057289155127119185,0.6223218821658321
noxij,146,72600,0.5480362633694265,0.04902181123693784,0.06425206177780682,0.6653308601449075
