dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8841410395395122,0.06241328867023842,0.08001994034951007,0.9148307545690961
noxi,009,45214,0.5728109344219919,0.07505976004680011,0.09388875874369661,0.6074343388532848
noxi,011,72010,0.8075046606293365,0.06516470101044676,0.08795675638531032,0.8414846121767239
noxi,014,53448,0.6901279596239274,0.07233671824367796,0.0890886332754487,0.7816968622994531
noxi,058,75506,0.684395693075299,0.062137086270844515,0.07895666406359404,0.7119069815644794
noxi,062,67788,0.5033094648069468,0.09979099294578586,0.11813498889795748,0.6199602893906753
noxi,063,31992,0.8384158800780535,0.07818100384108641,0.10016226903708901,0.843386605302758
noxi,074,47716,0.7726419505428976,0.06222749523549456,0.0774654586826183,0.7963640567242989
noxi,075,49752,0.8714851166166308,0.044165944887972035,0.06303586542973733,0.8750424151397368
noxi,076,25068,0.7156349918111349,0.06604298904646415,0.08706402903032019,0.7460268619887803
noxij,121,28100,0.5601674527193373,0.0737158854761794,0.10747462588975497,0.7054136684255429
noxij,122,31700,0.571048462229631,0.0589657486650846,0.08401656793775843,0.6465020534010885
noxij,123,35150,0.34813059679354547,0.09621429740195593,0.13252795678538135,0.5392220408730222
noxij,124,34400,0.4606404794192129,0.07708174319266406,0.11013759647765274,0.6395823859423903
noxij,125,32750,0.4708161978892111,0.08453390666592211,0.10853006080027437,0.5943526049818281
noxij,126,30800,0.48380133540688064,0.07775856578335553,0.10078637343658603,0.5719522837055406
noxij,143,42050,0.4174586670674258,0.037247490417234394,0.05636302777148023,0.4356004654983536
noxij,144,38500,0.5941824106045094,0.029823818520679102,0.04360918875946955,0.6012465211907893
noxij,145,54698,0.7440432044431948,0.03276682517736907,0.046525320952827416,0.76284782296838
noxij,146,72600,0.6639281127340408,0.032225782047166966,0.04716463148633855,0.6733096698998471
