dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9058007909059479,0.05715090962483266,0.07375763779223174,0.9142935323618672
noxi,009,45214,0.4712851242139759,0.07197258387968576,0.09020723319877437,0.5173060829245374
noxi,011,72010,0.8385746644432021,0.06942832768073343,0.08598887673911591,0.8659717024851065
noxi,014,53448,0.8058793881459516,0.04987899119318365,0.06385777017285492,0.8188459545117814
noxi,058,75506,0.6698281759396235,0.07321070840140087,0.09358332000099849,0.7580109791415564
noxi,062,67788,0.566830273105811,0.07712425998503546,0.09505019422461256,0.6896967974475595
noxi,063,31992,0.8256638224115646,0.07731576836694737,0.0977764374869857,0.8588713050308538
noxi,074,47716,0.8125424114799692,0.05254890948398908,0.07086326511834237,0.8299248080994605
noxi,075,49752,0.7674257968164279,0.05830669003478099,0.0810056602497363,0.7740713264763942
noxi,076,25068,0.6847104881502147,0.07688234508641582,0.09196587475756468,0.8068199698471263
noxij,121,28100,0.5759123593570846,0.080624440458348,0.11545398041643871,0.7580192286484441
noxij,122,31700,0.31761414167833657,0.09203949172684353,0.12038960159210091,0.5101181769480301
noxij,123,35150,0.754446607152504,0.06108847308061371,0.0814628175958377,0.764911196067718
noxij,124,34400,0.7274188026581052,0.06142562488667927,0.08719655796923736,0.7323606543553177
noxij,125,32750,0.6106025548398719,0.07720008342388932,0.09800483679559743,0.664348191573906
noxij,126,30800,0.6507914046345162,0.07252201024007487,0.08805580656952629,0.6791462607108005
noxij,143,42050,0.6056079207824556,0.04581103140592362,0.06354473680365766,0.6751550376848288
noxij,144,38500,0.557701958028055,0.03962421745526326,0.054697435881238786,0.5920824533880298
noxij,145,54698,0.7156347153093338,0.03979301482869202,0.05754504168958382,0.778366644659759
noxij,146,72600,0.645990539870487,0.03975971544597596,0.053298221823019784,0.6954148004299818
