dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.7513829271323322,0.08733827266510676,0.1110638871075989,0.8587979447257519
noxi,009,45214,0.5043404392454557,0.08308395096606139,0.10305755815975477,0.5607941097615559
noxi,011,72010,0.6915938168257414,0.08376295228937915,0.11018697560265134,0.7824641335570247
noxi,014,53448,0.3697726274095083,0.09038307354316774,0.1192016743840634,0.42859970043402634
noxi,058,75506,0.6146898850910666,0.07242378018431296,0.09312510479576018,0.6411398325617426
noxi,062,67788,0.3722384076359202,0.09829617540414613,0.12579509634522812,0.4631272224475645
noxi,063,31992,0.7438173168417492,0.08818374053858291,0.1165262360388335,0.7643333454552246
noxi,074,47716,0.7298562628429687,0.0723571642051365,0.092793735412347,0.7718952970133864
noxi,075,49752,0.7327983130350202,0.0659719371325272,0.09953576538584372,0.7517917008640098
noxi,076,25068,0.5707343054967807,0.0857038502756217,0.11344423680742109,0.6245750073849711
noxij,121,28100,0.49496883742559034,0.08305967034659352,0.11691725461481194,0.5919240426285446
noxij,122,31700,0.482831749165368,0.06561125905543848,0.09356313600616964,0.5498672924339505
noxij,123,35150,0.33743791943837764,0.10387502934736005,0.1377814822682881,0.5083119381943998
noxij,124,34400,0.49766307437460516,0.08046690243772815,0.11061469776937564,0.5633678830108055
noxij,125,32750,0.30198207865170307,0.12645511838316006,0.15282223451827678,0.44110925318873684
noxij,126,30800,0.3621559520394342,0.10204792052579971,0.12687492491420319,0.49395617520834406
noxij,143,42050,0.20276517594846183,0.04758595657511642,0.07589494539614522,0.20429138750356265
noxij,144,38500,0.19040284120695575,0.05152457794353559,0.07565924813899105,0.1998420357040388
noxij,145,54698,0.6174228629975544,0.04189656546440258,0.05575080286395604,0.6232812264264892
noxij,146,72600,0.6883160408904273,0.037798656074140354,0.05313327803444756,0.7280405881521873
