epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.5610078316367133,0.7615067241622404,0.10788528314493581,0.14086336476664693,0.8005476604886156,1,0.7615067241622404,0
2,0.31724375519304643,0.7986768217756632,0.09190885869868766,0.12100454691066556,0.8038830544517047,2,0.7986768217756632,0
3,0.27899169082141057,0.7932398589763385,0.09185299740699379,0.12108742197673353,0.8163707503775961,2,0.7986768217756632,1
4,0.24697080814377378,0.8162143810291618,0.08050622596044164,0.109895303702524,0.8196445975265131,4,0.8162143810291618,0
5,0.23047723295938902,0.8127888942003157,0.08250861309152913,0.1111158612458094,0.8171678587876121,4,0.8162143810291618,1
6,0.22493877298924145,0.7682516913447288,0.10331713224274684,0.12892101332418407,0.7813896526816763,4,0.8162143810291618,2
7,0.21023489592483688,0.8257498609480631,0.07678008509017374,0.10455703717792648,0.8264769175442808,7,0.8257498609480631,0
8,0.20084089156013826,0.8066106731921425,0.08170785222471753,0.11021392263638932,0.809098220787073,7,0.8257498609480631,1
9,0.19692201821843563,0.8212333174442749,0.08028963394237275,0.10886040508959359,0.8219690209635643,7,0.8257498609480631,2
10,0.1813986721289092,0.7830392613276866,0.09307290510656994,0.12017275377337631,0.8121986026324347,7,0.8257498609480631,3
11,0.18311837611936074,0.8234755209422773,0.07900541383074686,0.10652332652659784,0.8279211748427364,7,0.8257498609480631,4
12,0.17257674754653846,0.7853264360087461,0.0907873796711869,0.11628934819874785,0.8145882895858103,7,0.8257498609480631,5
13,0.16401855277093075,0.816523589430022,0.07950270176771604,0.10805729864460814,0.8167439956951262,7,0.8257498609480631,6
