dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8786329309422615,0.06329462461824342,0.0774894865529043,0.9171683328671174
noxi,009,45214,0.6471572300510792,0.04992931667489062,0.06479624197839828,0.6643095640064042
noxi,011,72010,0.8876176740600843,0.05248491638776553,0.07050268097103553,0.896321379615039
noxi,014,53448,0.6787929818034685,0.056580182599935885,0.07318091856392372,0.7212531612123593
noxi,058,75506,0.6911560193703874,0.07127832397637743,0.08896219371982705,0.7586145090790762
noxi,062,67788,0.4162864244417563,0.10037028597586452,0.1226640678829638,0.6206742326378463
noxi,063,31992,0.7650189269250816,0.0899370174715144,0.11363474890516845,0.8367041600113625
noxi,074,47716,0.7625656301652477,0.06682281886907515,0.08724343871568761,0.8335015662828296
noxi,075,49752,0.7692004735679716,0.06491421846934625,0.0903845390764481,0.8077458456842888
noxi,076,25068,0.6117261451354221,0.09069053173340927,0.10664841737195142,0.7406173053785886
noxij,121,28100,0.5591107515920578,0.07215576418407023,0.10873961230448236,0.7109600551392862
noxij,122,31700,0.43075865167411037,0.07288071917058542,0.09955298414640373,0.616459816266878
noxij,123,35150,0.6153956181830234,0.08167381533094355,0.10337787277044898,0.7688883185622081
noxij,124,34400,0.7249778804376011,0.06338747198195305,0.08885881344298988,0.7279246832008984
noxij,125,32750,0.5524585116058744,0.09156821353198918,0.10961179889308323,0.7075754621534456
noxij,126,30800,0.5830927361492022,0.07377819862724705,0.09498948710210946,0.6710773562924133
noxij,143,42050,0.7238327164847128,0.029257292133023992,0.046420536276355354,0.736166619117568
noxij,144,38500,0.6337107816372406,0.0329093337848589,0.044342508879913936,0.6457553188537024
noxij,145,54698,0.6193019729659274,0.050677800686112086,0.06667387526878421,0.6859303280541771
noxij,146,72600,0.7719569631428612,0.030670946390257723,0.04073642146185317,0.7800223954089858
