dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8112106231107677,0.07663086573636738,0.09579819267576827,0.8838877228726922
noxi,009,45214,0.273235602502924,0.06942878130213835,0.085800239800657,0.33444885585886824
noxi,011,72010,0.8860105612926439,0.05509589618510868,0.07424500089013111,0.9003903442843645
noxi,014,53448,0.5279461281351628,0.0707406765680488,0.0880702386945118,0.634616242186027
noxi,058,75506,0.6336995357669062,0.06754973026926869,0.08507755533084585,0.6649649681012323
noxi,062,67788,0.5541644936692312,0.06261540293898277,0.08046152672743682,0.5841561499961163
noxi,063,31992,0.749534025059893,0.07904903756001153,0.10767507175059848,0.7980753363114689
noxi,074,47716,0.8080240712143587,0.056006006230891775,0.07382932430055168,0.839885226960774
noxi,075,49752,0.6831704403348153,0.07126604764080254,0.08858058959153506,0.7195275804787062
noxi,076,25068,0.5775886643997566,0.0848318964214291,0.09995138622163434,0.741124566501478
noxij,121,28100,0.5024931478397708,0.0824971490096155,0.11152000724845568,0.6785931231666636
noxij,122,31700,0.18864272639691299,0.07661995658081036,0.10513063282560751,0.2656797643564328
noxij,123,35150,0.6265381384270501,0.0611286827099442,0.08659222726716558,0.6947946323747793
noxij,124,34400,0.49969366562626427,0.06901863520120292,0.10169213297678324,0.5777580663296561
noxij,125,32750,0.25242493649824127,0.13418007466447263,0.156221363578048,0.49639973660776887
noxij,126,30800,0.39024847246565847,0.08531744932223644,0.10791699311245398,0.6178398649240604
noxij,143,42050,0.28406321886037444,0.08092890507826199,0.089834631897932,0.5855450867965425
noxij,144,38500,0.38256329860048294,0.05088999950034278,0.06290857829379816,0.51339887537448
noxij,145,54698,0.1758469032473924,0.10614166454381362,0.12137006684973285,0.38392665964496325
noxij,146,72600,0.5519347967471683,0.03709173694909768,0.05418056055044817,0.5524511340976137
