dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9109813201733539,0.05439654606668761,0.0681347030734902,0.9355272318733969
noxi,009,45214,0.6024536963279384,0.055916852953655054,0.06986360294532716,0.6707531698837783
noxi,011,72010,0.8578129735344256,0.058430931234721664,0.07661796840438957,0.8933683520913784
noxi,014,53448,0.7391610338483793,0.0537218946684124,0.06945436875293806,0.7598077688629278
noxi,058,75506,0.7053998166312826,0.07238605010808191,0.08799562450097743,0.7754886775290561
noxi,062,67788,0.5442585000038596,0.065786577145368,0.08338740341040242,0.6320576526403777
noxi,063,31992,0.8022360325542267,0.07309316288244103,0.0964250519013854,0.8525052917574659
noxi,074,47716,0.8497660718239269,0.04738196544275025,0.061121248858212573,0.8569013872159397
noxi,075,49752,0.8815088277362829,0.036367076333401575,0.057287497346766775,0.8866684790547059
noxi,076,25068,0.8209734839077648,0.045311198456911186,0.058226651921092235,0.8309395757981961
noxij,121,28100,0.7071944752164401,0.06291238837766053,0.0906784683931205,0.8251466394467836
noxij,122,31700,0.5575827529724634,0.07251383549501467,0.09278254832883194,0.694952370886699
noxij,123,35150,0.6396089351993476,0.06841251809388442,0.09178409438925501,0.7792273264558717
noxij,124,34400,0.6724081441925579,0.06975074513685392,0.09324387148473587,0.7829109163035614
noxij,125,32750,0.6411596861877065,0.06917872765455538,0.08733339892629843,0.7470727502688314
noxij,126,30800,0.677002925626246,0.06898029884202526,0.08477351997911968,0.7148608058277318
noxij,143,42050,0.6904043532633024,0.03852005359463119,0.05145981982359235,0.7378645864521765
noxij,144,38500,0.5073066665772838,0.04643796334638224,0.06427364581264455,0.6353474742643693
noxij,145,54698,0.7232847987790927,0.03972298141611534,0.055702176095296076,0.7858770302188121
noxij,146,72600,0.5801425313685908,0.056302858743375324,0.0694291655462131,0.76514916085576
