dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8890776138828133,0.06095380481267587,0.07445780028879241,0.9287053252407673
noxi,009,45214,0.43046822284930936,0.06315266841373039,0.07883600169032381,0.526811825540478
noxi,011,72010,0.8864423376624327,0.052002572225102316,0.07135087245114581,0.8912127886368006
noxi,014,53448,0.7081561690329679,0.06435024887269711,0.07729470420986087,0.7944656440510124
noxi,058,75506,0.7602629590329008,0.054082865514441095,0.06862939664059932,0.7730607037841615
noxi,062,67788,0.5835652310618523,0.06558281141237247,0.08284315553519338,0.6377638971136763
noxi,063,31992,0.8150716144159065,0.07139880072308467,0.0948010040701112,0.8527849258654945
noxi,074,47716,0.8445319273959603,0.047243485983824336,0.06344385281183451,0.8626746482237165
noxi,075,49752,0.8287343622973744,0.04971067006063098,0.06868893684772569,0.8545946243210392
noxi,076,25068,0.7976274945288828,0.05021197277666858,0.06234226835313705,0.836242800813065
noxij,121,28100,0.7964237132884957,0.06373624668797989,0.08014109639912323,0.8377507205433611
noxij,122,31700,0.5397174926752677,0.06277802933277768,0.0871013895605608,0.6550624048804742
noxij,123,35150,0.7957314068006587,0.05406170956991814,0.07115116832851795,0.8330830335417747
noxij,124,34400,0.7532202176430077,0.057686158802230346,0.07889428948061003,0.7727109188064679
noxij,125,32750,0.6610527592028215,0.08302158559051179,0.09999149357668921,0.799482862903856
noxij,126,30800,0.6331600174879949,0.07244261549205168,0.09170676413483533,0.7112425415369068
noxij,143,42050,0.7153201572566938,0.038197617801028115,0.054526371815625446,0.8132901806207551
noxij,144,38500,0.5997698924252037,0.04303358468452057,0.055208085744825545,0.7441764517976763
noxij,145,54698,0.6772607479461279,0.0485164392505929,0.067215268288822,0.8140382638467283
noxij,146,72600,0.7097354790113497,0.038747630243705325,0.05326530173811696,0.8011720605964409
