dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.8486038059084162,0.06865173839807723,0.08364707375742884,0.931886059248422
noxi,009,45214,0.5653427089475564,0.052882907764240754,0.06727117017840362,0.657627246319693
noxi,011,72010,0.8489559719346628,0.05599439951153145,0.07594647118278584,0.9137962122185859
noxi,014,53448,0.7055973536016653,0.058764692782722006,0.07183761303996512,0.7851107437095757
noxi,058,75506,0.7631186779666538,0.04899922008816483,0.06437112134028096,0.7659421494351233
noxi,062,67788,0.543387380605586,0.06873728820306906,0.08561518390160115,0.6247339881903549
noxi,063,31992,0.7615919391907983,0.0780298773133063,0.10446096764723305,0.8397494014668182
noxi,074,47716,0.8398568856558543,0.0513622867107352,0.06608526628956901,0.862062466602398
noxi,075,49752,0.8991563890310481,0.03753827498021673,0.05416928019014088,0.9010008523148405
noxi,076,25068,0.713509968885176,0.06588285265425992,0.07865867774040516,0.8211459737156848
noxij,121,28100,0.6120426672712564,0.07013328734719032,0.10232725943258719,0.7553459183046964
noxij,122,31700,0.5090470180110762,0.06164709787169465,0.08653213621773405,0.6284404062198254
noxij,123,35150,0.5328604777660751,0.06636225078556988,0.09928359792945918,0.6693848819712958
noxij,124,34400,0.6239859504020026,0.06677118591422779,0.0934960668767235,0.7118370208173344
noxij,125,32750,0.5884575113290982,0.07779016892191108,0.09604275169720826,0.7310947878233647
noxij,126,30800,0.5438535475872016,0.07755949099850538,0.09771576967564026,0.7025987803396659
noxij,143,42050,0.711577692402918,0.030324069209104486,0.04163606401061772,0.7266510205655273
noxij,144,38500,0.582438082197177,0.03632340146194805,0.0515040704972942,0.6210197028583673
noxij,145,54698,0.7183705348871551,0.03870083185957487,0.05133580595972289,0.7390692114615711
noxij,146,72600,0.7511763208464558,0.030429792385291792,0.04150207425729314,0.7659226175181099
