dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9158412349297476,0.05289920521765514,0.07497076285246874,0.9217642146956683
noxi,009,45214,0.5069849326061746,0.08413406949747043,0.10456097552167708,0.6688578562396135
noxi,011,72010,0.897396616300574,0.057439933882634624,0.07543072984251824,0.9027461776499538
noxi,014,53448,0.7132263689793971,0.07392411599680251,0.09102366819632883,0.7980972201950899
noxi,058,75506,0.6457232724956812,0.08048736413136484,0.098431818919915,0.7088051632561111
noxi,062,67788,0.5490151278276791,0.07173240955189307,0.09220916902386828,0.6630559658675209
noxi,063,31992,0.8219128300513306,0.07802132796825108,0.09945235013171881,0.8622946679027165
noxi,074,47716,0.7859117019144679,0.07109664590488325,0.08664225888171262,0.8653276519443323
noxi,075,49752,0.7476350385796984,0.08429314530725669,0.10753623348343604,0.8557822379781148
noxi,076,25068,0.7103800091523969,0.06892825475653096,0.0898231766376868,0.7726463022054008
noxij,121,28100,0.6469990107715559,0.07506276116305399,0.10993825028419839,0.6613517357795681
noxij,122,31700,0.40817434848185874,0.07054219185647904,0.09740312770350255,0.5351523948513033
noxij,123,35150,0.524769691451718,0.08446031871128556,0.1215322499102644,0.5856007160152462
noxij,124,34400,0.545299368280917,0.0770464154724898,0.11118200338316656,0.6353876220882811
noxij,125,32750,0.5302077483328047,0.0912538791023593,0.11217387609856354,0.6471177502066185
noxij,126,30800,0.5202855186142749,0.07613354080731606,0.0984051953428651,0.6159974108199888
noxij,143,42050,0.5410569517989825,0.05114453151414567,0.06830067718607948,0.65040947780729
noxij,144,38500,0.4990926641285581,0.04296832766625788,0.0632736341587958,0.5762936232324888
noxij,145,54698,0.4654545368977168,0.05356511570530411,0.07677232440804703,0.5233158913940864
noxij,146,72600,0.6032140355717489,0.05365223534672057,0.06827289076219907,0.693029724058997
