dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9326966591774585,0.050912032882438736,0.06633973331566645,0.9415347346581125
noxi,009,45214,0.6769955967045976,0.05670064733197132,0.0710427511833906,0.7039233498024938
noxi,011,72010,0.9181528375622564,0.04882168548815123,0.06529400600439422,0.9230798071738991
noxi,014,53448,0.7468889913758879,0.06510818989292544,0.07715425145451124,0.8146030985171898
noxi,058,75506,0.6912173430227846,0.06829044160206185,0.08595999406024937,0.741622557541112
noxi,062,67788,0.5643632529744375,0.0770144871786164,0.09004070572816346,0.6037687888868049
noxi,063,31992,0.8379427947788238,0.06897303422609152,0.09205043085445665,0.8524812328868265
noxi,074,47716,0.8309763476032087,0.056881971853744696,0.06926503919092993,0.8565381146678475
noxi,075,49752,0.9019800746376625,0.04055591307332141,0.055562134965656415,0.9134815972817657
noxi,076,25068,0.8090362994425678,0.04810592036509495,0.061572066002014036,0.8128729872371796
