dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9097271492963738,0.05607648581100124,0.07114963130099058,0.9220941270959342
noxi,009,45214,0.6262637748086698,0.056352667034837524,0.07143121012987867,0.6467833218712495
noxi,011,72010,0.8641499582723854,0.057951268307278016,0.07599376780958628,0.8763816539781315
noxi,014,53448,0.6993815186832758,0.06666186715528769,0.0813005972703189,0.7361377703896963
noxi,058,75506,0.7308153695334222,0.058633931461523126,0.0755547636454362,0.760804289623385
noxi,062,67788,0.602302135091676,0.06920673150217406,0.08630092974745093,0.681458692611327
noxi,063,31992,0.7995898110559176,0.078087021313042,0.1007606845793885,0.8452136149786195
noxi,074,47716,0.812125668999737,0.05305707867111146,0.07130033790875194,0.8372561090939825
noxi,075,49752,0.8723903404940704,0.03812382941846057,0.058424773486914494,0.8783343758758267
noxi,076,25068,0.6966078442641004,0.06659261702016506,0.08299815069434431,0.7653945574633301
