dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9410043487399046,0.04626341650480651,0.060403158626882704,0.9416399860278196
noxi,009,45214,0.582961348268274,0.0663699746257051,0.0808258154750914,0.6753958870491343
noxi,011,72010,0.9328111683406977,0.03978191678509387,0.0568602724544647,0.9335451350659503
noxi,014,53448,0.7859945034153423,0.059455979024364655,0.07132404282370607,0.8303088146325766
noxi,058,75506,0.6959370875077061,0.059115186903543435,0.0787177376446834,0.7123375442406255
noxi,062,67788,0.5598044382487429,0.07770805815211013,0.09310353218946267,0.6188463984185246
noxi,063,31992,0.8253684008501231,0.07668920603725629,0.09924106961625029,0.8360671207802786
noxi,074,47716,0.824183027438789,0.05778454373396951,0.0721100753199861,0.8599648344026652
noxi,075,49752,0.8993814605942855,0.040073232025451,0.05660125315674364,0.9056887333477487
noxi,076,25068,0.846720825151752,0.041945257222972265,0.0544873840288927,0.8615732724189553
