dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9306321243152919,0.04966725583410441,0.0658437563243799,0.9308286410036997
noxi,009,45214,0.5637236218204602,0.07152917131401913,0.08716906651022331,0.6608762679483111
noxi,011,72010,0.9042532390602719,0.04920416162108079,0.06361925126824451,0.9217496366854676
noxi,014,53448,0.7447677691473669,0.06281859248838516,0.07683985510627823,0.7832102379481366
noxi,058,75506,0.6722486275934076,0.06674595892820254,0.08806607300835653,0.7145988199068656
noxi,062,67788,0.5967644030446321,0.06904614044846395,0.08742290629578886,0.6750814508480464
noxi,063,31992,0.8021912638910138,0.08066096322687362,0.10441961427916334,0.8408215855600444
noxi,074,47716,0.8295082212335465,0.056282938214713626,0.0715886295514909,0.8703298315925723
noxi,075,49752,0.8516279534677778,0.05107857612120814,0.06740889318715335,0.8789062570894662
noxi,076,25068,0.7776182837301059,0.05585044158693731,0.07229320856734854,0.8271092073086301
