dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28100,0.6315658455920726,0.08267335087478532,0.11156101450247337,0.667902018581848
noxij,122,31700,0.5999929481294536,0.09157920014019175,0.11082624307176474,0.7103103971451646
noxij,123,35150,0.4775956623688664,0.09891333039717519,0.13018909358882172,0.6081874365405351
noxij,124,34400,0.7510602490916938,0.07396882553633606,0.09589013207955265,0.7825193478232703
noxij,125,32750,0.7280850617144642,0.07222472240838386,0.08989868300476084,0.7723888216916635
noxij,126,30800,0.703949267410502,0.07256698010087183,0.09653467812952633,0.7171689592768526
noxij,143,42050,0.41007369616247014,0.07986487049179752,0.09814571072958829,0.6180288030240993
noxij,144,38500,0.29989979598734795,0.07618585057172005,0.10353298879536246,0.430195745780929
noxij,145,54698,0.48818589457165606,0.06927151516572108,0.1000606373079165,0.6495256731230509
noxij,146,72600,0.5339826295442978,0.06955033017287784,0.08772157882743434,0.6862770812334659
