dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28100,0.5401803233044186,0.09101728952890825,0.11368609032102071,0.6584100828556706
noxij,122,31700,0.4782872902565948,0.07191306118450895,0.09670297803929193,0.5405190627673208
noxij,123,35150,0.4689249067629191,0.074481603278544,0.10384497194829889,0.5347319311799855
noxij,124,34400,0.7092098519119736,0.06439735319681986,0.0871508531803538,0.7227461927619727
noxij,125,32750,0.3362011058823946,0.12369885441825818,0.14578360402018636,0.5544679692723751
noxij,126,30800,0.4885784965827268,0.09818429964274022,0.12052557282374345,0.6376314651653912
noxij,143,42050,0.6352729590167451,0.04302687547790877,0.05715983871592473,0.6673918554676026
noxij,144,38500,0.5185563237515955,0.04666891435175747,0.062033403338762214,0.5755230119682051
noxij,145,54698,0.6057603461440455,0.054321218090741225,0.07207703070248504,0.6793838407294256
noxij,146,72600,0.6304384713425258,0.04190264429599457,0.056154626430557804,0.6639762867974341
