dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28100,0.6472246022810256,0.07188560963737582,0.09819524772663568,0.7552479611166419
noxij,122,31700,0.5178152178905222,0.06484745263771304,0.09135151441240603,0.6088228368187476
noxij,123,35150,0.632139736039186,0.06525962252789846,0.09305702240491857,0.7338742876355567
noxij,124,34400,0.7343274604008768,0.06138619652732687,0.08341454137157644,0.7493429577906067
noxij,125,32750,0.5802177627869293,0.09203299617221337,0.10906613092502901,0.7403280990220767
noxij,126,30800,0.5667726334420071,0.08090739620843443,0.1005813322377903,0.6369723253250574
noxij,143,42050,0.6869169726877183,0.03973562826512118,0.05399761082236856,0.7240451338207788
noxij,144,38500,0.5859835589535815,0.04369127746086036,0.06369878779215656,0.703458447977591
noxij,145,54698,0.564910518328633,0.0641805053372878,0.08536973824919465,0.7816073565550904
noxij,146,72600,0.5745258718823572,0.055185374038976415,0.06928663695399394,0.7596360508775213
