dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxij,121,28100,0.6290820577582169,0.09214088393786253,0.12364443260879995,0.673136363663641
noxij,122,31700,0.6143366445294255,0.06446435532688342,0.08431566325676801,0.6232909564174651
noxij,123,35150,0.4817956635658659,0.0951504755316893,0.12802984955364827,0.5171470220384013
noxij,124,34400,0.6868460665351525,0.07776697181907027,0.10292548687803879,0.689561470890885
noxij,125,32750,0.5090963289803944,0.12290135383054272,0.14539643840487046,0.6676551736113049
noxij,126,30800,0.5510455375725521,0.09423874536015142,0.1175709485428028,0.6578089526361885
noxij,143,42050,0.43802937819767557,0.06377161223215452,0.09091657861481896,0.5829223890572067
noxij,144,38500,0.45976243625013896,0.04588373229894545,0.07223416525594333,0.5303511611331597
noxij,145,54698,0.45360526082646174,0.06496908284112571,0.09689525270799139,0.600444398288562
noxij,146,72600,0.4277575350267261,0.07013591763519839,0.09780515894356326,0.6198016405612211
