dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9237209390362274,0.05182115962147161,0.06522714525778295,0.9326919561668243
noxi,009,45214,0.5032601566954656,0.06974801010908953,0.08422786808947656,0.6457007517091127
noxi,011,72010,0.8832567752228466,0.0532418817612814,0.0737902078966853,0.9081070761357287
noxi,014,53448,0.6523945313272694,0.0821103006132257,0.09346102300373695,0.850494663232961
noxi,058,75506,0.7371112301304741,0.06923799437191705,0.08111457841611638,0.7896827803794145
noxi,062,67788,0.6182925264762705,0.06587083320318284,0.0830047859646897,0.6624817171551132
noxi,063,31992,0.8343251134047001,0.07205793814726405,0.09619737301899162,0.83950182486078
noxi,074,47716,0.8246210000477396,0.06202488272184716,0.07463169362720504,0.8723460516628109
noxi,075,49752,0.8288095364945113,0.06460037297176821,0.08366486585526542,0.90417145868094
noxi,076,25068,0.8243725535572292,0.04827295886552535,0.06253498468567392,0.8486428708644441
noxij,121,28100,0.7613209371030778,0.06493493305353508,0.0852268369356832,0.830024217026741
noxij,122,31700,0.5767843371335144,0.06231512973925293,0.08567985266388284,0.7113532178151949
noxij,123,35150,0.8012198495525588,0.05550227173488815,0.07068323596613196,0.8376303095259947
noxij,124,34400,0.7688193339237759,0.05665444728398566,0.07797462206058571,0.7820547145151758
noxij,125,32750,0.6947998886716924,0.07580190008036963,0.09187421217501075,0.7882370059250027
noxij,126,30800,0.697956367250732,0.06592171893152711,0.08239534116704311,0.7252008197739489
noxij,143,42050,0.7378401975487545,0.033506456622045475,0.04572580613224799,0.7787998372293763
noxij,144,38500,0.5891587516323729,0.0465129419611646,0.05769061309369415,0.7563589191457847
noxij,145,54698,0.648533055463822,0.05377856574745831,0.07200958903180915,0.7923953762101551
noxij,146,72600,0.724058627396624,0.04127303052662818,0.05497180362905182,0.8189512515191774
