dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,007,108642,0.9175216315816551,0.05699546431003299,0.07186544998925973,0.9403129810801488
noxi,009,45214,0.5301190090234804,0.07422213802764947,0.09329062476296218,0.6441629432421342
noxi,011,72010,0.9185005206092618,0.04573329986419558,0.06318237538490452,0.9185658395299064
noxi,014,53448,0.5281722409915971,0.10770458324989807,0.12076387920436447,0.7984344393095854
noxi,058,75506,0.574424870304462,0.11018667741412305,0.12485007108987083,0.7211980343037074
noxi,062,67788,0.570314616223098,0.07212156833764247,0.08975133446310751,0.6094275164512069
noxi,063,31992,0.8312932319315098,0.07418804702554066,0.09585481252377956,0.8392424823497407
noxi,074,47716,0.7610729057055517,0.08404602346526797,0.09801202389865823,0.857516338272554
noxi,075,49752,0.8350686149553518,0.052832243093993654,0.07541685840341188,0.8557934876170776
noxi,076,25068,0.763574066936467,0.060739437214637426,0.07766570263473052,0.8119234960946613
noxij,121,28100,0.8046726610570835,0.06003286395685953,0.08087678831406123,0.8278220898961653
noxij,122,31700,0.6886867045087592,0.058947008625377995,0.07607659534616079,0.7172347228132109
noxij,123,35150,0.7589759245345847,0.05554873749083849,0.07576762386000895,0.7723039285443938
noxij,124,34400,0.7055564896087734,0.06490631454624235,0.08944418269039138,0.7152731114484073
noxij,125,32750,0.7119990617712688,0.06401167675648027,0.08114183316940074,0.7740761114065499
noxij,126,30800,0.6874663401061317,0.07306533849265959,0.09091729519766663,0.6901799090236201
noxij,143,42050,0.6462630036331587,0.04454459527230575,0.05841759854178564,0.7336297306427211
noxij,144,38500,0.5697297880765854,0.04571377048438246,0.06180854127878859,0.6622834526488025
noxij,145,54698,0.6561998154555897,0.04986651774794555,0.06521816493268291,0.7259321748954487
noxij,146,72600,0.6763324593668842,0.04617252218308692,0.059363419418797685,0.766849024786604
