dataset,session_id,model_split,combo_name,feature_set_combo,turn_idx,speaker,start_frame,end_frame,turn_len,session_aligned_len,modality_order_json,modalities_json
noxi,001,train_internal,videomae_only,visual_videomae,0,both,0,750,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,1,both,563,1313,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,2,both,1126,1876,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,3,both,1689,2439,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,4,both,2252,3002,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,5,both,2815,3565,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,6,both,3378,4128,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,7,both,3941,4691,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,8,both,4504,5254,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,videomae_only,visual_videomae,9,both,5067,5817,750,26626,"[""visual_videomae""]","{""visual_videomae"": {""expert_aligned_len"": 26644, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/expert.visual_videomae.raw.npz"", ""feature_set"": ""visual_videomae"", ""n_features_per_role"": 1408, ""novice_aligned_len"": 26643, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/visual_videomae/noxi/001/novice.visual_videomae.raw.npz"", ""session_aligned_len"": 26643, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
