dataset,corpus,source_split,session_id,role,age,gender,language
noxij,noxi_j,train,086,novice,4,1,Japanese
noxij,noxi_j,train,086,expert,3,1,Japanese
noxij,noxi_j,train,101,novice,4,1,Japanese
noxij,noxi_j,train,101,expert,3,1,Japanese
noxij,noxi_j,train,102,novice,3,1,Japanese
noxij,noxi_j,train,102,expert,4,1,Japanese
noxij,noxi_j,train,103,novice,3,1,Japanese
noxij,noxi_j,train,103,expert,3,1,Japanese
noxij,noxi_j,train,104,novice,3,1,Japanese
noxij,noxi_j,train,104,expert,3,1,Japanese
noxij,noxi_j,train,105,novice,3,1,Japanese
noxij,noxi_j,train,105,expert,3,1,Japanese
noxij,noxi_j,train,106,novice,3,1,Japanese
noxij,noxi_j,train,106,expert,3,1,Japanese
noxij,noxi_j,train,107,novice,3,1,Japanese
noxij,noxi_j,train,107,expert,3,1,Japanese
noxij,noxi_j,train,108,novice,3,1,Japanese
noxij,noxi_j,train,108,expert,3,1,Japanese
noxij,noxi_j,train,109,novice,2,2,Japanese
noxij,noxi_j,train,109,expert,2,2,Japanese
noxij,noxi_j,train,110,novice,2,2,Japanese
noxij,noxi_j,train,110,expert,2,2,Japanese
noxij,noxi_j,train,111,novice,3,2,Japanese
noxij,noxi_j,train,111,expert,3,2,Japanese
noxij,noxi_j,train,112,novice,3,2,Japanese
noxij,noxi_j,train,112,expert,3,2,Japanese
noxij,noxi_j,train,113,novice,3,1,Japanese
noxij,noxi_j,train,113,expert,3,2,Japanese
noxij,noxi_j,train,114,novice,3,2,Japanese
noxij,noxi_j,train,114,expert,3,1,Japanese
noxij,noxi_j,train,115,novice,5,2,Japanese
noxij,noxi_j,train,115,expert,3,2,Japanese
noxij,noxi_j,train,116,novice,3,2,Japanese
noxij,noxi_j,train,116,expert,5,2,Japanese
noxij,noxi_j,train,117,novice,4,2,Japanese
noxij,noxi_j,train,117,expert,5,2,Japanese
noxij,noxi_j,train,118,novice,5,2,Japanese
noxij,noxi_j,train,118,expert,4,2,Japanese
noxij,noxi_j,train,119,novice,3,1,Japanese
noxij,noxi_j,train,119,expert,3,1,Japanese
noxij,noxi_j,train,120,novice,3,1,Japanese
noxij,noxi_j,train,120,expert,3,1,Japanese
noxij,noxi_j,train,133,novice,3,1,Chinese
noxij,noxi_j,train,133,expert,4,2,Chinese
noxij,noxi_j,train,134,novice,4,2,Chinese
noxij,noxi_j,train,134,expert,3,1,Chinese
noxij,noxi_j,train,135,novice,4,1,Chinese
noxij,noxi_j,train,135,expert,3,1,Chinese
noxij,noxi_j,train,136,novice,3,1,Chinese
noxij,noxi_j,train,136,expert,4,1,Chinese
noxij,noxi_j,train,137,novice,3,1,Chinese
noxij,noxi_j,train,137,expert,5,2,Chinese
noxij,noxi_j,train,138,novice,5,2,Chinese
noxij,noxi_j,train,138,expert,3,1,Chinese
noxij,noxi_j,train,139,novice,4,2,Chinese
noxij,noxi_j,train,139,expert,3,1,Chinese
noxij,noxi_j,train,140,novice,3,1,Chinese
noxij,noxi_j,train,140,expert,4,2,Chinese
noxij,noxi_j,train,141,novice,5,2,Chinese
noxij,noxi_j,train,141,expert,4,2,Chinese
noxij,noxi_j,train,142,novice,4,2,Chinese
noxij,noxi_j,train,142,expert,5,2,Chinese
noxij,noxi_j,val,121,novice,2,2,Japanese
noxij,noxi_j,val,121,expert,2,2,Japanese
noxij,noxi_j,val,122,novice,2,2,Japanese
noxij,noxi_j,val,122,expert,2,2,Japanese
noxij,noxi_j,val,123,novice,3,2,Japanese
noxij,noxi_j,val,123,expert,3,2,Japanese
noxij,noxi_j,val,124,novice,3,2,Japanese
noxij,noxi_j,val,124,expert,3,2,Japanese
noxij,noxi_j,val,125,novice,2,1,Japanese
noxij,noxi_j,val,125,expert,3,1,Japanese
noxij,noxi_j,val,126,novice,3,1,Japanese
noxij,noxi_j,val,126,expert,2,1,Japanese
noxij,noxi_j,val,143,novice,4,2,Chinese
noxij,noxi_j,val,143,expert,4,2,Chinese
noxij,noxi_j,val,144,novice,4,2,Chinese
noxij,noxi_j,val,144,expert,4,2,Chinese
noxij,noxi_j,val,145,novice,4,1,Chinese
noxij,noxi_j,val,145,expert,4,1,Chinese
noxij,noxi_j,val,146,novice,4,1,Chinese
noxij,noxi_j,val,146,expert,4,1,Chinese
noxij,noxi_j,test,127,novice,5,2,Japanese
noxij,noxi_j,test,127,expert,6,1,Japanese
noxij,noxi_j,test,128,novice,6,1,Japanese
noxij,noxi_j,test,128,expert,5,2,Japanese
noxij,noxi_j,test,129,novice,2,2,Japanese
noxij,noxi_j,test,129,expert,2,2,Japanese
noxij,noxi_j,test,130,novice,2,2,Japanese
noxij,noxi_j,test,130,expert,2,2,Japanese
noxij,noxi_j,test,131,novice,2,2,Japanese
noxij,noxi_j,test,131,expert,2,2,Japanese
noxij,noxi_j,test,132,novice,2,2,Japanese
noxij,noxi_j,test,132,expert,2,2,Japanese
noxij,noxi_j,test,147,novice,5,2,Chinese
noxij,noxi_j,test,147,expert,4,2,Chinese
noxij,noxi_j,test,148,novice,4,2,Chinese
noxij,noxi_j,test,148,expert,5,2,Chinese
noxij,noxi_j,test,149,novice,4,2,Chinese
noxij,noxi_j,test,149,expert,5,1,Chinese
noxij,noxi_j,test,150,novice,5,1,Chinese
noxij,noxi_j,test,150,expert,4,2,Chinese
