dataset,corpus,source_split,session_id,role,age,gender,language
noxi,noxi,train,001,novice,5,1,French
noxi,noxi,train,001,expert,4,1,French
noxi,noxi,train,003,novice,3,1,French
noxi,noxi,train,003,expert,4,1,French
noxi,noxi,train,013,novice,4,1,French
noxi,noxi,train,013,expert,3,1,French
noxi,noxi,train,020,novice,2,1,French
noxi,noxi,train,020,expert,4,1,French
noxi,noxi,train,021,novice,5,1,French
noxi,noxi,train,021,expert,5,1,French
noxi,noxi,train,022,novice,5,1,French
noxi,noxi,train,022,expert,3,2,French
noxi,noxi,train,023,novice,4,2,French
noxi,noxi,train,023,expert,3,2,French
noxi,noxi,train,026,novice,4,1,English
noxi,noxi,train,026,expert,4,2,English
noxi,noxi,train,027,novice,4,2,English
noxi,noxi,train,027,expert,4,2,English
noxi,noxi,train,028,novice,4,1,English
noxi,noxi,train,028,expert,4,2,English
noxi,noxi,train,029,novice,4,2,English
noxi,noxi,train,029,expert,4,2,English
noxi,noxi,train,030,novice,4,2,English
noxi,noxi,train,030,expert,4,2,English
noxi,noxi,train,031,novice,4,1,English
noxi,noxi,train,031,expert,4,1,English
noxi,noxi,train,038,novice,4,1,English
noxi,noxi,train,038,expert,4,1,English
noxi,noxi,train,039,novice,2,1,English
noxi,noxi,train,039,expert,4,2,English
noxi,noxi,train,040,novice,4,2,English
noxi,noxi,train,040,expert,3,1,English
noxi,noxi,train,042,novice,3,1,English
noxi,noxi,train,042,expert,3,1,English
noxi,noxi,train,043,novice,4,2,English
noxi,noxi,train,043,expert,3,1,English
noxi,noxi,train,044,novice,3,1,English
noxi,noxi,train,044,expert,4,1,English
noxi,noxi,train,045,novice,3,1,English
noxi,noxi,train,045,expert,4,1,English
noxi,noxi,train,046,novice,2,1,English
noxi,noxi,train,046,expert,4,1,English
noxi,noxi,train,047,novice,2,1,English
noxi,noxi,train,047,expert,4,1,English
noxi,noxi,train,048,novice,4,2,English
noxi,noxi,train,048,expert,4,2,English
noxi,noxi,train,049,novice,2,2,English
noxi,noxi,train,049,expert,4,2,English
noxi,noxi,train,050,novice,4,1,English
noxi,noxi,train,050,expert,3,1,English
noxi,noxi,train,052,novice,3,1,English
noxi,noxi,train,052,expert,6,2,English
noxi,noxi,train,055,novice,3,1,English
noxi,noxi,train,055,expert,4,1,English
noxi,noxi,train,056,novice,3,1,English
noxi,noxi,train,056,expert,4,1,English
noxi,noxi,train,057,novice,3,1,English
noxi,noxi,train,057,expert,4,1,English
noxi,noxi,train,064,novice,2,1,English
noxi,noxi,train,064,expert,6,2,English
noxi,noxi,train,066,novice,3,2,German
noxi,noxi,train,066,expert,4,1,German
noxi,noxi,train,067,novice,3,1,German
noxi,noxi,train,067,expert,3,1,German
noxi,noxi,train,068,novice,3,1,German
noxi,noxi,train,068,expert,3,1,German
noxi,noxi,train,069,novice,3,1,German
noxi,noxi,train,069,expert,3,1,German
noxi,noxi,train,070,novice,3,1,German
noxi,noxi,train,070,expert,3,1,German
noxi,noxi,train,072,novice,4,1,German
noxi,noxi,train,072,expert,3,1,German
noxi,noxi,train,073,novice,4,1,German
noxi,noxi,train,073,expert,3,1,German
noxi,noxi,train,077,novice,5,1,German
noxi,noxi,train,077,expert,5,1,German
noxi,noxi,val,007,novice,3,2,French
noxi,noxi,val,007,expert,3,1,French
noxi,noxi,val,009,novice,3,1,French
noxi,noxi,val,009,expert,3,1,French
noxi,noxi,val,011,novice,3,1,French
noxi,noxi,val,011,expert,4,1,French
noxi,noxi,val,014,novice,7,2,French
noxi,noxi,val,014,expert,7,2,French
noxi,noxi,val,058,novice,4,1,English
noxi,noxi,val,058,expert,3,2,English
noxi,noxi,val,062,novice,3,1,English
noxi,noxi,val,062,expert,2,1,English
noxi,noxi,val,063,novice,3,1,English
noxi,noxi,val,063,expert,2,1,English
noxi,noxi,val,074,novice,3,1,German
noxi,noxi,val,074,expert,3,1,German
noxi,noxi,val,075,novice,3,1,German
noxi,noxi,val,075,expert,3,1,German
