dataset,domain,source_split,model_split,session_id,window_idx,start_frame,end_frame,window_len,session_aligned_len,feature_set,purple_supervised,yellow_supervised,purple_tensor_relative_path,yellow_tensor_relative_path,n_features_per_role
pinsoro,CC,test-cc,test_internal,007,0,0,2400,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,1,1200,3600,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,2,2400,4800,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,3,3600,6000,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,4,4800,7200,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,5,6000,8400,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,6,7200,9600,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,7,8400,10800,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,8,9600,12000,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,9,10800,13200,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,10,12000,14400,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,11,13200,15600,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
pinsoro,CC,test-cc,test_internal,007,12,14400,16800,2400,27130,audio_w2vbert2,no,no,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/purple.audio_w2vbert2.raw.npz,MoE/moe_data/processed/domain_norm/audio_w2vbert2/test-cc/007/yellow.audio_w2vbert2.raw.npz,1024
